"final_new_id","source_subset","effective_name","source_origin","primary_status","gap_category","review_class"
"281","modlu_kalan","NORWEGIAN IMPASSABLE 1","modlu","mod_only","named_land_or_special","needs_manual_review"
"299","modlu_kalan","NORWEGIAN IMPASSABLE 9","modlu","mod_only","named_land_or_special","needs_manual_review"
"375","modlu_kalan","ARVIESJAVRRIE","modlu","mod_only","named_land_or_special","needs_manual_review"
"376","modlu_kalan","TUORPON","modlu","mod_only","named_land_or_special","needs_manual_review"
"377","modlu_kalan","SEMISJAUR","modlu","mod_only","named_land_or_special","needs_manual_review"
"378","modlu_kalan","SJOKKSJOKK","modlu","mod_only","named_land_or_special","needs_manual_review"
"379","modlu_kalan","SIRKAS","modlu","mod_only","named_land_or_special","needs_manual_review"
"394","modlu_kalan","GUOVDAGEAIDNU","modlu","mod_only","named_land_or_special","needs_manual_review"
"395","modlu_kalan","IESJAVRI","modlu","mod_only","named_land_or_special","needs_manual_review"
"397","orijinal_dogu","west_hokkaido_mountains","orijinal","id_conflict","terrain_or_impassable","likely_benign_or_low_priority"
"398","modlu_kalan","LAGGUJAKKA","modlu","mod_only","named_land_or_special","needs_manual_review"
"399","modlu_kalan","OHCEJOHKA","modlu","mod_only","named_land_or_special","needs_manual_review"
"400","modlu_kalan","PEACCAM","modlu","mod_only","named_land_or_special","needs_manual_review"
"401","modlu_kalan","SUONNJEL","modlu","mod_only","named_land_or_special","needs_manual_review"
"402","orijinal_dogu","IMPASSABLE CENTRAL GOBI 2","orijinal","id_conflict","terrain_or_impassable","likely_benign_or_low_priority"
"404","modlu_kalan","KIILT","modlu","mod_only","named_land_or_special","needs_manual_review"
"405","modlu_kalan","KOARDEGK","modlu","mod_only","named_land_or_special","needs_manual_review"
"406","modlu_kalan","MASELK","modlu","mod_only","named_land_or_special","needs_manual_review"
"407","modlu_kalan","CUKKSUAL","modlu","mod_only","named_land_or_special","needs_manual_review"
"408","orijinal_dogu","IMPASSABLE EASTERN GOBI 1","orijinal","id_conflict","terrain_or_impassable","likely_benign_or_low_priority"
"410","modlu_kalan","LUJAVVR","modlu","mod_only","named_land_or_special","needs_manual_review"
"411","modlu_kalan","LEJJAVVR","modlu","mod_only","named_land_or_special","needs_manual_review"
"412","modlu_kalan","ARSJOGK","modlu","mod_only","named_land_or_special","needs_manual_review"
"414","modlu_kalan","KINTUS","modlu","mod_only","named_land_or_special","needs_manual_review"
"415","modlu_kalan","JOVVKUJ","modlu","mod_only","named_land_or_special","needs_manual_review"
"416","modlu_kalan","Lappland","modlu","mod_only","named_land_or_special","needs_manual_review"
"417","modlu_kalan","SOSNEVKE","modlu","mod_only","named_land_or_special","needs_manual_review"
"420","modlu_kalan","MAANSELKA","modlu","mod_only","named_land_or_special","needs_manual_review"
"423","modlu_kalan","GALASEATNU","modlu","mod_only","named_land_or_special","needs_manual_review"
"428","modlu_kalan","UDDJAUR","modlu","mod_only","named_land_or_special","needs_manual_review"
