"source","comment","unmapped","action"
"modlu","Pagan-Myitche","From=9550; To=9555; Through=8610","dropped"
"modlu","Sriksetra-Thayetmyo","From=9588; To=10961; Through=8608","dropped"
"modlu","Krapan-Bogale","From=9599; To=11059; Through=8607","dropped"
"modlu","Myaungmya-Bogale","From=9633; To=11059; Through=8606","dropped"
"modlu","Ava-Sagaing","From=9556; To=9568; Through=8610","dropped"
"modlu","","From=13345; To=13346; Through=11598","dropped"
"modlu","","From=11565; To=13350; Through=11598","dropped"
"modlu","","From=13337; To=11253; Through=11598","dropped"
"modlu","","From=11569; To=11561; Through=11597","dropped"
"modlu","","From=12998; To=12999; Through=10772","dropped"
"modlu","","From=11452; To=11456; Through=13344","dropped"
"modlu","","From=10617; To=13398; Through=13516","dropped"
"modlu","","From=13371; To=13386; Through=13516","dropped"
"modlu","","From=13157; To=10622; Through=13515","dropped"
"modlu","","From=13394; To=13393; Through=13517","dropped"
"modlu","","From=11436; To=11389; Through=11411","dropped"
"modlu","","From=13308; To=13222; Through=11417","dropped"
"modlu","","From=13294; To=13214; Through=11416","dropped"
"modlu","","From=11299; To=13216; Through=11415","dropped"
"modlu","","From=11265; To=11259; Through=11600","dropped"
"modlu","","From=13250; To=11255; Through=11599","dropped"
"modlu","","From=10508; To=10509; Through=10904","dropped"
"modlu","","From=10495; To=10492; Through=10905","dropped"
"modlu","","From=10523; To=10555; Through=10908","dropped"
"modlu","","From=10541; To=10548; Through=10909","dropped"
"modlu","","From=10867; To=10783; Through=13560","dropped"
"modlu","","From=13141; To=10830; Through=13561","dropped"
"modlu","","From=12713; To=12775; Through=13572","dropped"
"modlu","","From=12780; To=12860; Through=13563","dropped"
"modlu","","From=12786; To=12784; Through=13563","dropped"
"modlu","","From=12288; To=12326; Through=13536","dropped"
"modlu","","From=12306; To=12347; Through=13537","dropped"
"modlu","","From=12249; To=12236; Through=11683","dropped"
"modlu","","From=12389; To=12331; Through=13539","dropped"
"modlu","","From=12545; To=12569; Through=13541","dropped"
"modlu","","From=12837; To=12897; Through=13544","dropped"
"modlu","","From=11826; To=11809; Through=13523","dropped"
"modlu","","From=11853; To=11976; Through=13569","dropped"
"modlu","","From=11865; To=12099; Through=13568","dropped"
"modlu","","From=12115; To=12099; Through=13567","dropped"
"modlu","","From=12411; To=12372; Through=13566","dropped"
"modlu","","From=11363; To=13205; Through=11413","dropped"
"modlu","","From=11966; To=11924; Through=13531","dropped"
"modlu","","From=12974; To=12939; Through=13545","dropped"
"modlu","","From=10409; To=10408; Through=13555","dropped"
"modlu","","From=10403; To=10405; Through=13474","dropped"
"modlu","","From=10404; To=10405; Through=13474","dropped"
"modlu","","From=13409; To=13408; Through=13474","dropped"
"modlu","","From=13409; To=10405; Through=13474","dropped"
"modlu","","From=10341; To=10340; Through=13473","dropped"
"modlu","","From=10335; To=10334; Through=13473","dropped"
"modlu","","From=11071; To=11032; Through=13553","dropped"
"modlu","","From=11033; To=11014; Through=13553","dropped"
"modlu","","From=10978; To=10979; Through=13556","dropped"
"modlu","","From=10543; To=10545; Through=13493","dropped"
"modlu","","From=11757; To=12999; Through=13469","dropped"
"modlu","","From=12694; To=12784; Through=10802","dropped"
"modlu","","From=12304; To=12282; Through=13534","dropped"
"modlu","","From=12848; To=12805; Through=13540","dropped"
"modlu","","From=10397; To=10398; Through=13559","dropped"
