"candidate_type","source_origin","preferred_source_subset","current_id","effective_rgb","effective_name","modlu_source_id","modlu_source_rgb","modlu_source_name","orijinal_source_id","orijinal_source_rgb","orijinal_source_name","primary_status","rgb_resolution_status","source_id_conflict_status","final_new_id","final_id_status","notes"
"single_source","modlu","modlu_kalan","1","42,3,128","VESTFIRDIR","1","42,3,128","VESTFIRDIR","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","2","84,6,1","REYKJAVIK","2","84,6,1","REYKJAVIK","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","3","126,9,129","STOKKSEYRI","3","126,9,129","STOKKSEYRI","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","4","168,12,2","REYDARFJALL","4","168,12,2","REYDARFJALL","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","5","0,15,130","HUSAVIK","5","0,15,130","HUSAVIK","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","6","168,45,177","TORSHAVN","6","168,45,177","TORSHAVN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","7","84,21,131","SCALLOWAY","7","84,21,131","SCALLOWAY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","8","126,24,4","KIRKWALL","8","126,24,4","KIRKWALL","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","9","168,27,132","DONEGAL","9","168,27,132","DONEGAL","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","10","0,30,5","RAPHOE","10","0,30,5","RAPHOE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","11","42,33,133","FAHAN","11","42,33,133","FAHAN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","12","84,36,6","DERRY","12","84,36,6","DERRY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","13","126,39,134","SLEMISH","13","126,39,134","SLEMISH","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","14","168,42,7","CARRICKFERGUS","14","168,42,7","CARRICKFERGUS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","15","0,45,135","DOWNPATRICK","15","0,45,135","DOWNPATRICK","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","16","42,48,8","BALTIMORE","16","42,48,8","BALTIMORE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","17","84,51,136","ARMAGH","17","84,51,136","ARMAGH","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","18","126,54,9","DUNDALK","18","126,54,9","DUNDALK","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","19","168,57,137","ARDEE","19","168,57,137","ARDEE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","20","0,60,10","GALWAY","20","0,60,10","GALWAY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
