"subset_name","source_label","rgb","r","g","b","present_in_png","present_in_definition","source_id","source_name","definition_path","image_path"
"orijinal_kalan","orijinal","0,0,55","0","0","55","True","True","710","sea_irish","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,0,205","0","0","205","True","True","355","OKLABO","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,3,20","0","3","20","True","True","640","sea_baltic","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,3,170","0","3","170","True","True","285","BORGARSYSLAR","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,3,225","0","3","225","True","True","848","Somapur","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,6,85","0","6","85","True","True","570","Dmitrov","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,6,135","0","6","135","True","True","215","LEVANLUHTA","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,6,190","0","6","190","True","True","1031","sea_gulf_napoli","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,9,50","0","9","50","True","True","500","Serdica","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,9,155","0","9","155","True","True","981","sea_gulf_cadiz","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,9,200","0","9","200","True","True","145","TARTU","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,12,15","0","12","15","True","True","430","SJELTIE","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,12,165","0","12","165","True","True","75","ONSALA","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,12,220","0","12","220","True","True","785","German Mountains 12","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,15,80","0","15","80","True","True","360","NORALE","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,15,130","0","15","130","True","True","5","HUSAVIK","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,15,185","0","15","185","True","True","715","sea_galway_bay","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,18,45","0","18","45","True","True","290","HEIANE","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,18,150","0","18","150","True","True","645","sea_skagerrak","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
"orijinal_kalan","orijinal","0,21,10","0","21","10","True","True","220","STRAND","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\definition_orijinal.csv","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\provinces_orijinal_kalan.png"
