"rgb","shared_id","modlu_name","orijinal_name","names_equal"
"168,144,142","829","Candranatha","Candranatha","True"
"127,45,174","1293","EAST INDIAN OCEAN TI","EAST INDIAN OCEAN TI","True"
"43,138,33","1466","Eastern Wasteland 1","","False"
"8,69,170","8685","sea_bay_of_bengal","sea_bay_of_bengal","True"
"92,75,171","8687","sea_andaman","sea_andaman","True"
"134,78,44","8688","sea_bay_of_bengal","sea_bay_of_bengal","True"
"51,0,178","9301","Mountains","Karub","False"
"93,159,211","9567","Naga Hills","Naga Hills","True"
"177,24,32","9664","Stablo","PLACEHOLDER_REGION_KOREA","False"
"9,27,160","9665","Laar","IMPASSABLE CENTRAL GOBI 1","False"
"51,30,33","9666","Eutin","","False"
"135,36,34","9668","Crivitz","IMPASSABLE CENTRAL GOBI 3","False"
"51,45,163","9671","Kyburg","","False"
"93,48,36","9672","Stauffen","PLACEHOLDER_REGION_SOUTHEAST_COAST","False"
"51,60,38","9676","Eberstein","Marakele","False"
"51,75,168","9681","Blamont","Siantan Island","False"
"135,180,29","9858","Babruysk","Goryeo_Donggye_Myeongju","False"
"9,201,160","9865","Caymont","Goryeo_Donggye_Deungju","False"
"51,204,33","9866","Bethsan","Goryeo_Donggye_Uiju","False"
"93,207,161","9867","Jericho","Goryeo_Donggye_Hwaju","False"
"51,51,43","9886","Artvini","Goryeo_Bukgye_Maengju","False"
