"current_id","duplicate_group_size","candidate_type","source_origin","preferred_source_subset","effective_rgb","effective_name","modlu_source_id","orijinal_source_id","primary_status","rgb_resolution_status","source_id_conflict_status","notes"
"3222","2","single_source","modlu","modlu_kalan","5,5,5","IMPASSABLE","3222","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"3222","2","single_source","orijinal","orijinal_dogu","202,16,154","b_quanzhou_tong_an","","3222","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9662","2","single_source","modlu","modlu_kalan","93,19,31","Valkenburg","9662","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9662","2","single_source","orijinal","orijinal_dogu","93,18,31","west_hokkaido_mountains","","9662","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9667","2","single_source","modlu","modlu_kalan","93,63,161","Lauenburg","9667","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9667","2","single_source","orijinal","orijinal_dogu","93,33,161","IMPASSABLE CENTRAL GOBI 2","","9667","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9669","2","single_source","modlu","modlu_kalan","177,39,169","Sternberg","9669","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9669","2","single_source","orijinal","orijinal_dogu","57,119,44","b_fuzhou_linchuan","","9669","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9670","2","single_source","modlu","modlu_kalan","9,43,35","Aargau","9670","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9670","2","single_source","orijinal","orijinal_dogu","9,42,35","IMPASSABLE EASTERN GOBI 1","","9670","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9673","2","single_source","modlu","modlu_kalan","135,51,164","Esslingen","9673","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9673","2","single_source","orijinal","orijinal_dogu","216,152,3","b_fuzhou_chongren","","9673","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9674","2","single_source","modlu","modlu_kalan","177,54,37","Oettingen","9674","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9674","2","single_source","orijinal","orijinal_dogu","162,179,245","b_fuzhou_nancheng","","9674","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9675","2","single_source","modlu","modlu_kalan","9,57,165","Nagold","9675","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9675","2","single_source","orijinal","orijinal_dogu","187,93,211","b_fuzhou_nanfeng","","9675","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9679","2","single_source","modlu","modlu_kalan","177,69,167","Solothurn","9679","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9679","2","single_source","orijinal","orijinal_dogu","241,113,46","b_xinzhou_shangrao","","9679","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9680","2","single_source","modlu","modlu_kalan","9,73,41","Fribourg","9680","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9680","2","single_source","orijinal","orijinal_dogu","9,72,40","IMPASSABLE Borneo deep jungle","","9680","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9682","2","single_source","modlu","modlu_kalan","93,79,41","Dagsburg","9682","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9682","2","single_source","orijinal","orijinal_dogu","171,155,197","b_xinzhou_yiyang","","9682","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9683","2","single_source","modlu","modlu_kalan","135,81,169","Fenis","9683","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9683","2","single_source","orijinal","orijinal_dogu","100,216,6","b_xinzhou_guixi","","9683","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9684","2","single_source","modlu","modlu_kalan","177,85,43","Verres","9684","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9684","2","single_source","orijinal","orijinal_dogu","196,187,19","b_raozhou_huangshan","","9684","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9685","2","single_source","modlu","modlu_kalan","9,87,170","SusaPied","9685","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9685","2","single_source","orijinal","orijinal_dogu","54,105,188","b_raozhou_pengze","","9685","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9686","2","single_source","modlu","modlu_kalan","51,91,43","Racconigi","9686","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9686","2","single_source","orijinal","orijinal_dogu","223,251,73","b_xuzhou_teng","","9686","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
"9687","2","single_source","modlu","modlu_kalan","93,93,171","Rapallo","9687","","id_conflict","unchanged","id_conflict","Same ID maps to different RGB values across subsets."
