"source_label","old_id","final_new_id","old_rgb","effective_rgb","old_name","effective_name","policy_name","keeps_current_id","assignment_type","id_change_reason","notes"
"modlu","1","1","42,3,128","42,3,128","VESTFIRDIR","VESTFIRDIR","preserve_old_ids","True","keep_current_id","",""
"modlu","2","2","84,6,1","84,6,1","REYKJAVIK","REYKJAVIK","preserve_old_ids","True","keep_current_id","",""
"modlu","3","3","126,9,129","126,9,129","STOKKSEYRI","STOKKSEYRI","preserve_old_ids","True","keep_current_id","",""
"modlu","4","4","168,12,2","168,12,2","REYDARFJALL","REYDARFJALL","preserve_old_ids","True","keep_current_id","",""
"modlu","5","5","0,15,130","0,15,130","HUSAVIK","HUSAVIK","preserve_old_ids","True","keep_current_id","",""
"modlu","6","6","168,45,177","168,45,177","TORSHAVN","TORSHAVN","preserve_old_ids","True","keep_current_id","",""
"modlu","7","7","84,21,131","84,21,131","SCALLOWAY","SCALLOWAY","preserve_old_ids","True","keep_current_id","",""
"modlu","8","8","126,24,4","126,24,4","KIRKWALL","KIRKWALL","preserve_old_ids","True","keep_current_id","",""
"modlu","9","9","168,27,132","168,27,132","DONEGAL","DONEGAL","preserve_old_ids","True","keep_current_id","",""
"modlu","10","10","0,30,5","0,30,5","RAPHOE","RAPHOE","preserve_old_ids","True","keep_current_id","",""
"modlu","11","11","42,33,133","42,33,133","FAHAN","FAHAN","preserve_old_ids","True","keep_current_id","",""
"modlu","12","12","84,36,6","84,36,6","DERRY","DERRY","preserve_old_ids","True","keep_current_id","",""
"modlu","13","13","126,39,134","126,39,134","SLEMISH","SLEMISH","preserve_old_ids","True","keep_current_id","",""
"modlu","14","14","168,42,7","168,42,7","CARRICKFERGUS","CARRICKFERGUS","preserve_old_ids","True","keep_current_id","",""
"modlu","15","15","0,45,135","0,45,135","DOWNPATRICK","DOWNPATRICK","preserve_old_ids","True","keep_current_id","",""
"modlu","16","16","42,48,8","42,48,8","BALTIMORE","BALTIMORE","preserve_old_ids","True","keep_current_id","",""
"modlu","17","17","84,51,136","84,51,136","ARMAGH","ARMAGH","preserve_old_ids","True","keep_current_id","",""
"modlu","18","18","126,54,9","126,54,9","DUNDALK","DUNDALK","preserve_old_ids","True","keep_current_id","",""
"modlu","19","19","168,57,137","168,57,137","ARDEE","ARDEE","preserve_old_ids","True","keep_current_id","",""
"modlu","20","20","0,60,10","0,60,10","GALWAY","GALWAY","preserve_old_ids","True","keep_current_id","",""
"modlu","21","21","42,63,138","42,63,138","CASTLEBAR","CASTLEBAR","preserve_old_ids","True","keep_current_id","",""
"modlu","22","22","84,66,11","84,66,11","SLIGO","SLIGO","preserve_old_ids","True","keep_current_id","",""
"modlu","23","23","126,69,139","126,69,139","ATHENRY","ATHENRY","preserve_old_ids","True","keep_current_id","",""
"modlu","24","24","168,72,12","168,72,12","DROMAHAIR","DROMAHAIR","preserve_old_ids","True","keep_current_id","",""
"modlu","25","25","0,75,140","0,75,140","BELCOO","BELCOO","preserve_old_ids","True","keep_current_id","",""
"modlu","26","26","42,78,13","42,78,13","LONGFORD","LONGFORD","preserve_old_ids","True","keep_current_id","",""
"modlu","27","27","126,84,14","126,84,14","CAVAN","CAVAN","preserve_old_ids","True","keep_current_id","",""
"modlu","28","28","84,81,141","84,81,141","DUBLIN","DUBLIN","preserve_old_ids","True","keep_current_id","",""
"modlu","29","29","168,87,142","168,87,142","WICKLOW","WICKLOW","preserve_old_ids","True","keep_current_id","",""
"modlu","30","30","0,90,15","0,90,15","KILDARE","KILDARE","preserve_old_ids","True","keep_current_id","",""
"modlu","31","31","42,93,143","42,93,143","TRIM","TRIM","preserve_old_ids","True","keep_current_id","",""
"modlu","32","32","84,96,16","84,96,16","DROGHEDA","DROGHEDA","preserve_old_ids","True","keep_current_id","",""
"modlu","33","33","126,99,144","126,99,144","BIRR","BIRR","preserve_old_ids","True","keep_current_id","",""
"modlu","34","34","168,102,17","168,102,17","ATHLONE","ATHLONE","preserve_old_ids","True","keep_current_id","",""
"modlu","35","35","0,105,145","0,105,145","ARDNAMURCHON","ARDNAMURCHON","preserve_old_ids","True","keep_current_id","",""
"modlu","36","36","42,108,18","42,108,18","UISNEACH","UISNEACH","preserve_old_ids","True","keep_current_id","",""
"modlu","37","37","84,111,146","84,111,146","WEXFORD","WEXFORD","preserve_old_ids","True","keep_current_id","",""
"modlu","38","38","126,114,19","126,114,19","ENNISCORTHY","ENNISCORTHY","preserve_old_ids","True","keep_current_id","",""
"modlu","39","39","168,117,147","168,117,147","FERNS","FERNS","preserve_old_ids","True","keep_current_id","",""
"modlu","40","40","0,120,20","0,120,20","CARLOW","CARLOW","preserve_old_ids","True","keep_current_id","",""
"modlu","41","41","42,123,148","42,123,148","KILKENNY","KILKENNY","preserve_old_ids","True","keep_current_id","",""
"modlu","42","42","84,126,21","84,126,21","ATHY","ATHY","preserve_old_ids","True","keep_current_id","",""
"modlu","43","43","126,129,149","126,129,149","GOWRAN","GOWRAN","preserve_old_ids","True","keep_current_id","",""
"modlu","44","44","168,132,22","168,132,22","CARRICK","CARRICK","preserve_old_ids","True","keep_current_id","",""
"modlu","45","45","0,135,150","0,135,150","LIMERICK","LIMERICK","preserve_old_ids","True","keep_current_id","",""
"modlu","46","46","42,138,23","42,138,23","ENNIS","ENNIS","preserve_old_ids","True","keep_current_id","",""
"modlu","47","47","84,141,151","84,141,151","NENAGH","NENAGH","preserve_old_ids","True","keep_current_id","",""
"modlu","48","48","126,144,24","126,144,24","ROSCREA","ROSCREA","preserve_old_ids","True","keep_current_id","",""
"modlu","49","49","168,147,152","168,147,152","WATERFORD","WATERFORD","preserve_old_ids","True","keep_current_id","",""
