"source_label","old_id","final_new_id","old_rgb","effective_rgb","old_name","effective_name","policy_name","keeps_current_id","assignment_type","id_change_reason","notes"
"orijinal","808","798","126,81,4","126,81,4","Tinsukia","Tinsukia","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","811","801","42,90,133","42,90,133","Carguya","Carguya","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","826","816","42,135,13","42,135,13","Manipur","Manipur","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","827","817","84,138,141","84,138,141","Khoupum","Khoupum","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","828","818","126,141,14","126,141,14","Chatigama","Chatigama","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","829","819","168,144,142","168,144,142","Candranatha","Candranatha","full_renumber","False","renumbered","full_renumber_policy_reassigned","Merged benign shared row before final ID assignment."
"orijinal","830","820","0,147,15","0,147,15","Pattikera","Pattikera","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","854","844","169,90,12","169,90,12","Tlawng","Tlawng","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","1293","1280","127,45,174","127,45,174","EAST INDIAN OCEAN TI","EAST INDIAN OCEAN TI","full_renumber","False","renumbered","full_renumber_policy_reassigned","Merged benign shared row before final ID assignment."
"orijinal","1408","1395","169,132,32","169,132,32","Anxi","Anxi","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","1466","1453","43,138,33","43,138,33","","Eastern Wasteland 1","full_renumber","False","renumbered","full_renumber_policy_reassigned","Merged benign shared row before final ID assignment."
"orijinal","1468","1455","127,144,34","127,144,34","Onge","Onge","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","1469","1456","167,238,13","167,238,13","b_xinghua_putian","b_xinghua_putian","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","1470","1457","68,255,219","68,255,219","b_fuzhou_fuqing","b_fuzhou_fuqing","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","1496","1478","43,15,48","43,15,48","LAKES EAST OF BURMA","LAKES EAST OF BURMA","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","3222","3205","202,16,154","202,16,154","b_quanzhou_tong_an","b_quanzhou_tong_an","full_renumber","False","renumbered","full_renumber_policy_reassigned","Same ID maps to different RGB values across subsets."
"orijinal","8543","8497","134,69,199","134,69,199","GOBI DESERT","GOBI DESERT","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8556","8510","50,108,78","50,108,78","HIMALAYA","HIMALAYA","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8606","8560","50,45,3","50,45,3","river_irrawaddy_delta","river_irrawaddy_delta","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8607","8561","92,48,131","92,48,131","river_irrawaddy_delta","river_irrawaddy_delta","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8608","8562","134,51,4","134,51,4","river_irrawaddy","river_irrawaddy","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8609","8563","176,54,132","176,54,132","river_irrawaddy","river_irrawaddy","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8610","8564","8,57,5","8,57,5","river_irrawaddy","river_irrawaddy","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8611","8565","50,60,133","50,60,133","river_irrawaddy","river_irrawaddy","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8685","8639","8,69,170","8,69,170","sea_bay_of_bengal","sea_bay_of_bengal","full_renumber","False","renumbered","full_renumber_policy_reassigned","Merged benign shared row before final ID assignment."
"orijinal","8686","8640","50,72,43","50,72,43","sea_gulf_martaban","sea_gulf_martaban","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8687","8641","92,75,171","92,75,171","sea_andaman","sea_andaman","full_renumber","False","renumbered","full_renumber_policy_reassigned","Merged benign shared row before final ID assignment."
"orijinal","8688","8642","134,78,44","134,78,44","sea_bay_of_bengal","sea_bay_of_bengal","full_renumber","False","renumbered","full_renumber_policy_reassigned","Merged benign shared row before final ID assignment."
"orijinal","8691","8645","50,87,173","50,87,173","sea_andaman","sea_andaman","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8722","8676","92,180,61","92,180,61","Karnaphuli","Karnaphuli","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8802","8695","0,139,47","0,139,47","b_quanzhou_jinjiang","b_quanzhou_jinjiang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8803","8696","251,169,80","251,169,80","b_quanzhou_anxi","b_quanzhou_anxi","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8804","8697","229,206,162","229,206,162","b_quanzhou_dehua","b_quanzhou_dehua","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8805","8698","158,47,143","158,47,143","b_zhangzhou_zhangpu","b_zhangzhou_zhangpu","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8806","8699","120,46,125","120,46,125","b_zhangzhou_longxi","b_zhangzhou_longxi","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8807","8700","57,119,185","57,119,185","b_zhangzhou_longyan","b_zhangzhou_longyan","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8808","8701","50,188,31","50,188,31","b_tingzhou_shanghang","b_tingzhou_shanghang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8809","8702","190,74,163","190,74,163","b_tingzhou_liancheng","b_tingzhou_liancheng","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8810","8703","248,32,71","248,32,71","b_tingzhou_changting","b_tingzhou_changting","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8811","8704","110,3,102","110,3,102","b_tingzhou_wuping","b_tingzhou_wuping","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8812","8705","230,218,207","230,218,207","b_tingzhou_ninghua","b_tingzhou_ninghua","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8813","8706","170,92,47","170,92,47","b_nanjianzhou_sha","b_nanjianzhou_sha","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8814","8707","250,38,146","250,38,146","b_nanjianzhou_youxi","b_nanjianzhou_youxi","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8815","8708","169,76,4","169,76,4","b_nanjianzhou_jianpu","b_nanjianzhou_jianpu","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8816","8709","178,235,129","178,235,129","b_nanjianzhou_shunchang","b_nanjianzhou_shunchang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8817","8710","115,136,42","115,136,42","b_nanjianzhou_jiangle","b_nanjianzhou_jiangle","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8818","8711","228,230,32","228,230,32","b_jianning_jian_an","b_jianning_jian_an","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8819","8712","151,160,11","151,160,11","b_jianning_jianyang","b_jianning_jianyang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8820","8713","209,170,153","209,170,153","b_fuzhou_yongfu","b_fuzhou_yongfu","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8821","8714","150,45,252","150,45,252","b_fuzhou_gutian","b_fuzhou_gutian","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8822","8715","185,203,99","185,203,99","b_fuzhou_minqing","b_fuzhou_minqing","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8823","8716","8,242,126","8,242,126","b_fuzhou_ningde","b_fuzhou_ningde","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8824","8717","38,151,240","38,151,240","b_fuzhou_lianjiang","b_fuzhou_lianjiang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8825","8718","112,40,168","112,40,168","b_mingzhou_mao","b_mingzhou_mao","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8826","8719","159,33,196","159,33,196","b_mingzhou_xiangshan","b_mingzhou_xiangshan","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8827","8720","38,109,70","38,109,70","b_yuezhou_yuyao","b_yuezhou_yuyao","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8828","8721","107,14,128","107,14,128","b_yuezhou_kuaiji","b_yuezhou_kuaiji","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8829","8722","61,156,229","61,156,229","b_yuezhou_zhuji","b_yuezhou_zhuji","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8830","8723","197,42,134","197,42,134","b_taizhou_huangyan","b_taizhou_huangyan","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8831","8724","142,185,175","142,185,175","b_wenzhou_yuecheng","b_wenzhou_yuecheng","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8832","8725","249,199,243","249,199,243","b_wenzhou_yongjia","b_wenzhou_yongjia","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8833","8726","132,229,43","132,229,43","b_chuzhou_lishui","b_chuzhou_lishui","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8834","8727","3,139,100","3,139,100","b_chuzhou_qingtian","b_chuzhou_qingtian","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8835","8728","24,199,66","24,199,66","b_chuzhou_xujiang","b_chuzhou_xujiang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8836","8729","165,193,67","165,193,67","b_wuzhou_jinhua","b_wuzhou_jinhua","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8837","8730","84,92,17","84,92,17","b_wuzhou_wucheng","b_wuzhou_wucheng","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8838","8731","167,41,245","167,41,245","b_wuzhou_dongyang","b_wuzhou_dongyang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8839","8732","248,155,214","248,155,214","b_wuzhou_puyang","b_wuzhou_puyang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8841","8733","180,86,70","180,86,70","b_hangzhou_qiantang","b_hangzhou_qiantang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8842","8734","215,99,211","215,99,211","b_jianning_zhenghe","b_jianning_zhenghe","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8843","8735","121,46,221","121,46,221","b_jianning_pucheng","b_jianning_pucheng","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8844","8736","25,24,27","25,24,27","b_jianning_chong_an","b_jianning_chong_an","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8845","8737","88,224,61","88,224,61","b_jianning_songxi","b_jianning_songxi","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8846","8738","184,87,227","184,87,227","b_xuanzhou_liyang","b_xuanzhou_liyang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8847","8739","129,133,193","129,133,193","b_xuanzhou_ningguo","b_xuanzhou_ningguo","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8848","8740","8,83,107","8,83,107","b_shezhou_taiping","b_shezhou_taiping","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8849","8741","17,69,1","17,69,1","b_something_wendeng","b_something_wendeng","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8850","8742","3,103,152","3,103,152","b_something_muping","b_something_muping","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8851","8743","250,209,136","250,209,136","b_something_huang","b_something_huang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8852","8744","38,97,87","38,97,87","b_laizhou_changyang","b_laizhou_changyang","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8853","8745","113,19,19","113,19,19","b_laizhou_ye","b_laizhou_ye","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8854","8746","61,29,74","61,29,74","b_laizhou_jimo","b_laizhou_jimo","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8855","8747","196,121,213","196,121,213","b_mizhou_gaomi","b_mizhou_gaomi","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
"orijinal","8856","8748","67,108,22","67,108,22","b_mizhou_zhucheng","b_mizhou_zhucheng","full_renumber","False","renumbered","full_renumber_policy_reassigned",""
