"file_path","context_count","reference_rows","total_references","preserve_changed_references","preserve_touched_lines","full_changed_references","full_touched_lines"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt","1","12311","12311","0","0","8327","8327"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\history\provinces\00_MB_PROVINCES.txt","1","11818","11818","0","0","7897","7897"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\history\province_mapping\00_guinea.txt","2","600","600","0","0","600","600"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\\adjacencies.csv","3","819","819","0","0","562","562"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\connection_arrows\silk_road_arrows.txt","1","694","694","0","0","486","486"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\\default.map","9","201","2403","0","0","1190","170"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\history\province_mapping\00_persia.txt","2","58","58","0","0","58","58"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\history\province_mapping\00_sapmi.txt","2","52","52","0","0","42","42"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\geographical_regions\geographical_region.txt","1","52","530","0","0","305","35"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\history\province_mapping\00_arabia.txt","2","18","18","0","0","18","18"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\situation\situations\tgp_silk_road.txt","1","8","8","0","0","6","6"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\map_data\geographical_regions\CE_geographical_region.txt","1","3","13","0","0","6","3"
"F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\history\province_mapping\00_egypt.txt","2","2","2","0","0","2","2"
