"root","barony","source_type","old_source_id","final_new_id","reason"
"h_india","b_sakala","modlu","1179","1179","tracking"
"h_india","b_jammu","modlu","3430","3430","tracking"
"h_india","b_bhuttar","modlu","3429","3429","tracking"
"h_india","b_campa2","modlu","7946","7946","tracking"
"h_india","b_jalandhar","modlu","1193","1193","tracking"
"h_india","b_pathankot","modlu","3432","3432","tracking"
"h_india","b_kangra","modlu","3434","3434","tracking"
"h_india","b_rahon","modlu","3431","3431","tracking"
"h_india","b_kahlur","modlu","3433","3433","tracking"
"h_india","b_brahmapura","modlu","7945","7945","tracking"
"h_india","b_sadhaura","modlu","7944","7944","tracking"
"h_india","b_kartikeyapura","modlu","9091","9091","tracking"
"h_india","b_almora","modlu","9093","9093","tracking"
"h_india","b_askot","modlu","9097","9097","tracking"
"h_india","b_devalgarh","modlu","9090","9090","tracking"
"h_india","b_srinagar","modlu","9089","9089","tracking"
"h_india","b_dehradun","modlu","9087","9087","tracking"
"h_india","b_uttarkashi","modlu","9088","9088","tracking"
"h_india","b_champawat","modlu","9092","9092","tracking"
"h_india","b_bhimtal","modlu","9094","9094","tracking"
"h_india","b_doti","modlu","9095","9095","tracking"
"h_india","b_godawari","modlu","9096","9096","tracking"
"h_india","b_baitadi","modlu","9098","9098","tracking"
"h_india","b_sinja","modlu","9101","9101","tracking"
"h_india","b_jumla","modlu","9102","9102","tracking"
"h_india","b_dullu","modlu","9103","9103","tracking"
"h_india","b_bajura","modlu","9099","9099","tracking"
"h_india","b_simikot","modlu","9100","9100","tracking"
"h_india","b_jagatipur","modlu","9104","9104","tracking"
"h_india","b_rukum","modlu","9106","9106","tracking"
"h_india","b_gautamkot","modlu","9105","9105","tracking"
"h_india","b_dang","modlu","9108","9108","tracking"
"h_india","b_gulariya","modlu","9107","9107","tracking"
"h_india","b_lumbini","modlu","9109","9109","tracking"
"h_india","b_gulmi","modlu","9110","9110","tracking"
"h_india","b_kaski","modlu","9111","9111","tracking"
"h_india","b_tanahun","modlu","9112","9112","tracking"
"h_india","b_gorkha","modlu","9113","9113","tracking"
"h_india","b_kathmandu","modlu","9116","9116","tracking"
"h_india","b_kirtipur","modlu","9130","9130","tracking"
"h_india","b_hetauda","modlu","9115","9115","tracking"
"h_india","b_bharatpur","modlu","9123","9123","tracking"
"h_india","b_bhaktapur","modlu","9117","9117","tracking"
"h_india","b_lalitpur","modlu","9131","9131","tracking"
"h_india","b_dhulikhel","modlu","9132","9132","tracking"
"h_india","b_janakpur","modlu","9118","9118","tracking"
"h_india","b_rajbiraj","modlu","9122","9122","tracking"
"h_india","b_ilam","modlu","9125","9125","tracking"
"h_india","b_panchthar","modlu","9127","9127","tracking"
"h_india","b_gograha","modlu","9124","9124","tracking"
"h_india","b_yangwarok","modlu","9136","9136","tracking"
