"line_number","barony","expected_name","current_id","current_name","new_id","new_name","reason","status"
"5875","b_colchester","colchester","1514","COLCHESTER","","","already_matches_expected_name","kept"
"5886","b_maldon","maldon","1515","MALDON","","","already_matches_expected_name","kept"
"5892","b_chelmsford","chelmsford","1516","CHELMSFORD","","","already_matches_expected_name","kept"
"5898","b_dunmow","dunmow","1517","DUNMOW","","","already_matches_expected_name","kept"
"5913","b_berkhamsted","berkhamsted","1531","BERKHAMSTED","","","already_matches_expected_name","kept"
"5919","b_saint_albans","saint_albans","1532","SAINT ALBANS","","","already_matches_expected_name","kept"
"5925","b_hertford","hertford","1533","HERTFORD","","","already_matches_expected_name","kept"
"5941","b_london","london","1527","LONDON","","","already_matches_expected_name","kept"
"5962","b_southwark","southwark","1526","SOUTHWARK","","","already_matches_expected_name","kept"
"5973","b_woxbrigge","woxbrigge","1528","WOXBRIGGE","","","already_matches_expected_name","kept"
"5979","b_gore","gore","1529","GORE","","","already_matches_expected_name","kept"
"5985","b_brentford","brentford","1530","BRENTFORD","","","already_matches_expected_name","kept"
"6001","b_st_peter_port","st_peter_port","9811","Channel Islands","","","no_unique_definition_match","unresolved"
"6008","b_gorey","gorey","9812","Channel Islands2","","","no_unique_definition_match","unresolved"
"6039","b_bedford","bedford","1538","BEDFORD","","","already_matches_expected_name","kept"
"6050","b_ampthill","ampthill","1539","AMPTHILL","","","already_matches_expected_name","kept"
"6056","b_luton","luton","1540","LUTON","","","already_matches_expected_name","kept"
"6066","b_hurstingstone","hurstingstone","1541","HURSTINGSTONE","","","already_matches_expected_name","kept"
"6072","b_norman_cross","norman_cross","1542","NORMAN CROSS","","","already_matches_expected_name","kept"
"6078","b_leightonstone","leightonstone","1543","LEIGHTONSTONE","","","already_matches_expected_name","kept"
"6088","b_northampton","northampton","1600","NORTHAMPTON","","","already_matches_expected_name","kept"
"6094","b_peterborough","peterborough","1601","PETERBOROUGH","","","already_matches_expected_name","kept"
"6100","b_kettering","kettering","1602","KETTERING","","","already_matches_expected_name","kept"
"6116","b_buckingham","buckingham","1551","BUCKINGHAM","","","already_matches_expected_name","kept"
"6127","b_aylesbury","aylesbury","1552","AYLESBURY","","","already_matches_expected_name","kept"
"6133","b_newport","newport","1553","NEWPORT","","","multiple_definition_matches","unresolved"
"6139","b_wycombe","wycombe","1554","WYCOMBE","","","already_matches_expected_name","kept"
"6208","b_rothbury","rothbury","1612","ROTHBURY","","","already_matches_expected_name","kept"
"6214","b_lindisfarne","lindisfarne","1610","BAMBURGH","","","no_unique_definition_match","unresolved"
"6227","b_hexham","hexham","1611","HEXHAM","","","already_matches_expected_name","kept"
"6246","b_durham","durham","1606","DURHAM","","","already_matches_expected_name","kept"
"6261","b_hartlepool","hartlepool","1607","HARTLEPOOL","","","already_matches_expected_name","kept"
"6267","b_darlingtonlocalize","darlingtonlocalize","1608","DARLINGTON","","","no_unique_definition_match","unresolved"
"6293","b_lancaster","lancaster","1639","LANCASTER","","","already_matches_expected_name","kept"
"6299","b_salford","salford","1640","SALFORD","","","already_matches_expected_name","kept"
"6305","b_west_derby","west_derby","1641","WEST DERBY","","","already_matches_expected_name","kept"
"6315","b_kendal","kendal","1637","KENDAL","","","already_matches_expected_name","kept"
"6321","b_appleby","appleby","1638","APPLEBY","","","already_matches_expected_name","kept"
"6331","b_chester","chester","1643","CHESTER","","","already_matches_expected_name","kept"
"6337","b_northwich","northwich","1644","NORTHWICH","","","already_matches_expected_name","kept"
"6343","b_macclesfield","macclesfield","1645","MACCLESFIELD","","","already_matches_expected_name","kept"
"6407","b_york","york","1595","YORK","","","already_matches_expected_name","kept"
"6431","b_scarborough","scarborough","1596","SCARBOROUGH","","","already_matches_expected_name","kept"
"6437","b_whitby","whitby","1597","WHITBY","","","already_matches_expected_name","kept"
"6444","b_yarlestre","yarlestre","1500","YARLESTRE","","","already_matches_expected_name","kept"
"6455","b_richmond","richmond","1598","RICHMOND","","","already_matches_expected_name","kept"
"6462","b_bolton","bolton","1499","BOLTON","","","already_matches_expected_name","kept"
"6477","b_pockington","pockington","1588","POCKLINGTON","","","no_unique_definition_match","unresolved"
"6483","b_cottingham","cottingham","1589","COTTINGHAM","","","already_matches_expected_name","kept"
"6489","b_bridlington","bridlington","1590","BRIDLINGTON","","","already_matches_expected_name","kept"
"6516","b_leeds","leeds","1591","LEEDS","","","already_matches_expected_name","kept"
"6522","b_doncaster","doncaster","1592","DONCASTER","","","already_matches_expected_name","kept"
"6528","b_halifax","halifax","1593","HALIFAX","","","already_matches_expected_name","kept"
"6534","b_sheffield","sheffield","1594","SHEFFIELD","","","already_matches_expected_name","kept"
"6540","b_ripon","ripon","1599","RIPON","","","already_matches_expected_name","kept"
"6565","b_norwich","norwich","1522","NORWICH","","","already_matches_expected_name","kept"
"6571","b_thetford","thetford","1523","THETFORD","","","already_matches_expected_name","kept"
"6577","b_walsingham","walsingham","1524","WALSINGHAM","","","already_matches_expected_name","kept"
"6583","b_lynn","lynn","1525","LYNN","","","already_matches_expected_name","kept"
"6593","b_ipswich","ipswich","1518","IPSWICH","","","already_matches_expected_name","kept"
"6599","b_sudbury","sudbury","1519","SUDBURY","","","already_matches_expected_name","kept"
"6605","b_blything","blything","1520","BLYTHING","","","already_matches_expected_name","kept"
"6611","b_beodericsworth","beodericsworth","1521","BEODERICSWORTH","","","already_matches_expected_name","kept"
"6622","b_cambridge","cambridge","1534","CAMBRIDGE","","","already_matches_expected_name","kept"
"6628","b_radfield","radfield","1535","RADFIELD","","","already_matches_expected_name","kept"
"6634","b_papworth","papworth","1536","PAPWORTH","","","already_matches_expected_name","kept"
"6640","b_ely","ely","1537","ELY","","","already_matches_expected_name","kept"
"6669","b_lincoln","lincoln","1583","LINCOLN","","","already_matches_expected_name","kept"
"6675","b_stamford","stamford","1584","STAMFORD","","","already_matches_expected_name","kept"
"6681","b_boston","boston","1585","BOSTON","","","already_matches_expected_name","kept"
"6687","b_bolingsbroke","bolingsbroke","1586","BOLINGBROKE","","","no_unique_definition_match","unresolved"
"6693","b_grimsby","grimsby","1587","GRIMSBY","","","already_matches_expected_name","kept"
"6704","b_rutland","rutland","1613","OAKHAM","","","no_unique_definition_match","unresolved"
"6716","b_leicester","leicester","1615","LEICESTER","","","already_matches_expected_name","kept"
"6722","b_melton","melton","1616","MELTON","","","already_matches_expected_name","kept"
"6728","b_bosworth","bosworth","1617","BOSWORTH","","","already_matches_expected_name","kept"
"6738","b_nottingham","nottingham","1618","NOTTINGHAM","","","already_matches_expected_name","kept"
"6744","b_newark","newark","1619","NEWARK","","","already_matches_expected_name","kept"
"6750","b_retford","retford","1620","RETFORD","","","already_matches_expected_name","kept"
"6768","b_derby","derby","1621","DERBY","","","already_matches_expected_name","kept"
"6780","b_chesterfield","chesterfield","1622","CHESTERFIELD","","","already_matches_expected_name","kept"
"6786","b_castleton","castleton","1623","CASTLETON","","","already_matches_expected_name","kept"
"6821","b_warwick","warwick","1603","WARWICK","","","already_matches_expected_name","kept"
"6827","b_coventry","coventry","1604","COVENTRY","","","already_matches_expected_name","kept"
"6833","b_birmingham","birmingham","1605","BIRMINGHAM","","","already_matches_expected_name","kept"
"6844","b_stafford","stafford","1627","STAFFORD","","","already_matches_expected_name","kept"
"6850","b_wolverhampton","wolverhampton","1628","WOLVERHAMPTON","","","already_matches_expected_name","kept"
"6856","b_stoke_on_trent","stoke_on_trent","1629","STOKE-ON-TRENT","","","already_matches_expected_name","kept"
"6866","b_worcester","worcester","1624","WORCESTER","","","already_matches_expected_name","kept"
"6872","b_evesham","evesham","1625","EVESHAM","","","already_matches_expected_name","kept"
"6878","b_kidderminster","kidderminster","1626","KIDDERMINSTER","","","already_matches_expected_name","kept"
"6892","b_shrewsbury","shrewsbury","1646","SHREWSBURY","","","already_matches_expected_name","kept"
"6898","b_ludlow","ludlow","1647","LUDLOW","","","already_matches_expected_name","kept"
"6904","b_bishops_castle","bishops_castle","1648","BISHOP'S CASTLE","","","already_matches_expected_name","kept"
"6932","b_gloucester","gloucester","1580","GLOUCESTER","","","already_matches_expected_name","kept"
"6938","b_bristol","bristol","1581","BRISTOL","","","already_matches_expected_name","kept"
"6944","b_winchcombe","winchcombe","1582","WINCHCOMBE","","","already_matches_expected_name","kept"
"6954","b_salisbury","salisbury","1561","SALISBURY","","","already_matches_expected_name","kept"
"6960","b_wilton","wilton","1562","WILTON","","","already_matches_expected_name","kept"
"6966","b_ramsbury","ramsbury","1563","RAMSBURY","","","already_matches_expected_name","kept"
"6972","b_malmesbury","malmesbury","1564","MALMESBURY","","","already_matches_expected_name","kept"
"6982","b_oxford","oxford","1558","OXFORD","","","already_matches_expected_name","kept"
"6988","b_banbury","banbury","1559","BANBURY","","","already_matches_expected_name","kept"
"6994","b_witney","witney","1560","WITNEY","","","already_matches_expected_name","kept"
"7004","b_reading","reading","1555","READING","","","already_matches_expected_name","kept"
"7010","b_newbury","newbury","1556","NEWBURY","","","already_matches_expected_name","kept"
"7016","b_abingdon","abingdon","1557","ABINGDON","","","already_matches_expected_name","kept"
"7041","b_dover","dover","1502","DOVER","","","already_matches_expected_name","kept"
"7047","b_canterbury","canterbury","1503","CANTERBURY","","","already_matches_expected_name","kept"
"7053","b_rochester","rochester","1504","ROCHESTER","","","already_matches_expected_name","kept"
"7059","b_tonbridge","tonbridge","1505","TONBRIDGE","","","already_matches_expected_name","kept"
"7069","b_chertsey","chertsey","1510","CHERTSEY","","","already_matches_expected_name","kept"
"7075","b_guildford","guildford","1511","GUILDFORD","","","already_matches_expected_name","kept"
"7081","b_kingston","kingston","1512","KINGSTON","","","already_matches_expected_name","kept"
"7087","b_tandbridge","tandbridge","1513","TANDBRIDGE","","","already_matches_expected_name","kept"
"7097","b_lewes","lewes","1506","LEWES","","","already_matches_expected_name","kept"
"7103","b_chichester","chichester","1507","CHICHESTER","","","already_matches_expected_name","kept"
"7109","b_arun","arun","1508","ARUN","","","already_matches_expected_name","kept"
"7115","b_hastings","hastings","1509","HASTINGS","","","already_matches_expected_name","kept"
"7149","b_winchester","winchester","1544","WINCHESTER","","","already_matches_expected_name","kept"
"7155","b_southampton","southampton","1545","SOUTHAMPTON","","","already_matches_expected_name","kept"
"7161","b_portsmouth","portsmouth","1546","PORTSMOUTH","","","already_matches_expected_name","kept"
