county_id,audit_status,expected_source,current_block_source,current_file,current_start_line,current_end_line,current_parent_id,current_root_title,current_title_path,province_ids,province_names,province_sources,vanilla_east_count,mod_kalan_count,both_masks_count,unknown_count,vanilla_exact,vanilla_best_match,vanilla_similarity,mod_exact,mod_best_match,mod_similarity
c_essex,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,5855,5892,d_essex,e_britannia,e_britannia > k_england > d_essex > c_essex,1514 1515 1516 1517,COLCHESTER | MALDON | CHELMSFORD | DUNMOW,mod_kalan | mod_kalan | mod_kalan | mod_kalan,0,4,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1448,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:5861,1.000000
c_hertfordshire,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,5893,5919,d_essex,e_britannia,e_britannia > k_england > d_essex > c_hertfordshire,1531 1532 1533,BERKHAMSTED | SAINT ALBANS | HERTFORD,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1512,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:5899,1.000000
c_middlesex,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,5921,5979,d_essex,e_britannia,e_britannia > k_england > d_essex > c_middlesex,1527 1526 1528 1529 1530,LONDON | SOUTHWARK | WOXBRIGGE | GORE | BRENTFORD,mod_kalan | mod_kalan | mod_kalan | mod_kalan | mod_kalan,0,5,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1393,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:5927,1.000000
c_jersey,ok,mod,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,5986,6002,d_channel_islands,e_britannia,e_britannia > k_england > d_channel_islands > c_jersey,9811 9812,Channel Islands | Channel Islands2,mod_kalan | mod_kalan,0,2,0,0,,,0.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:5992,1.000000
c_bedford,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6019,6050,d_bedford,e_britannia,e_britannia > k_england > d_bedford > c_bedford,1538 1539 1540,BEDFORD | AMPTHILL | LUTON,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1482,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6025,1.000000
c_huntingdonshire,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6051,6072,d_bedford,e_britannia,e_britannia > k_england > d_bedford > c_huntingdonshire,1541 1542 1543,HURSTINGSTONE | NORMAN CROSS | LEIGHTONSTONE,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:2250,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6057,1.000000
c_northamptonshire,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6073,6094,d_bedford,e_britannia,e_britannia > k_england > d_bedford > c_northamptonshire,1600 1601 1602,NORTHAMPTON | PETERBOROUGH | KETTERING,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:2269,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6079,1.000000
c_buckinghamshire,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6096,6133,d_bedford,e_britannia,e_britannia > k_england > d_bedford > c_buckinghamshire,1551 1552 1553 1554,BUCKINGHAM | AYLESBURY | NEWPORT | WYCOMBE,mod_kalan | mod_kalan | mod_kalan | mod_kalan,0,4,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1537,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6102,1.000000
c_northumberland,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6163,6221,d_northumberland,e_britannia,e_britannia > k_england > d_northumberland > c_northumberland,1609 1612 1610 1611,MONKCHESTER | ROTHBURY | BAMBURGH | HEXHAM,mod_kalan | mod_kalan | mod_kalan | mod_kalan,0,4,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1600,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6169,1.000000
c_durham,ok,mod,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6222,6261,d_northumberland,e_britannia,e_britannia > k_england > d_northumberland > c_durham,1606 1607 1608,DURHAM | HARTLEPOOL | DARLINGTON,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1657,0.850000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6228,1.000000
c_lancashire,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6278,6299,d_lancaster,e_britannia,e_britannia > k_england > d_lancaster > c_lancashire,1639 1640 1641,LANCASTER | SALFORD | WEST DERBY,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1761,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6284,1.000000
c_westmorland,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6300,6315,d_lancaster,e_britannia,e_britannia > k_england > d_lancaster > c_westmorland,1637 1638,KENDAL | APPLEBY,mod_kalan | mod_kalan,0,2,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1780,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6306,1.000000
c_cheshire,ok,mod,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6316,6337,d_lancaster,e_britannia,e_britannia > k_england > d_lancaster > c_cheshire,1643 1644 1645,CHESTER | NORTHWICH | MACCLESFIELD,mod_kalan | mod_kalan | mod_kalan,0,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1794,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6322,1.000000
c_north_riding,ok,mod,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6384,6438,d_york,e_britannia,e_britannia > k_england > d_york > c_north_riding,1595 1596 1597 1500,YORK | SCARBOROUGH | WHITBY | YARLESTRE,mod_kalan | mod_kalan | mod_kalan | mod_kalan,0,4,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:1877,0.583889,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6390,1.000000
c_richmond,ok,mod,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,6440,6457,d_york,e_britannia,e_britannia > k_england > d_york > c_richmond,1598 1499,RICHMOND | BOLTON,mod_kalan | mod_kalan,0,2,0,0,,,0.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:6446,1.000000
