county_id,action,expected_source,current_block_source,source_block_path,confidence,reason
c_essex,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_hertfordshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_middlesex,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_jersey,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_bedford,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_huntingdonshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_northamptonshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_buckinghamshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_northumberland,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_durham,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_lancashire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_westmorland,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_cheshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_north_riding,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_richmond,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_east_riding,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_west_riding,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_norfolk,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_suffolk,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_cambridgeshire,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_lincolnshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_rutland,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_leicestershire,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_nottinghamshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_derby,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_warwickshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_staffordshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_worcestershire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_shropshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_gloucestershire,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_wiltshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_oxfordshire,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_berkshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_kent,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_surrey,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_sussex,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
