county_id,audit_status,expected_source,current_block_source,current_file,current_start_line,current_end_line,current_parent_id,current_root_title,current_title_path,province_ids,province_names,province_sources,vanilla_east_count,mod_kalan_count,both_masks_count,unknown_count,vanilla_exact,vanilla_best_match,vanilla_similarity,mod_exact,mod_best_match,mod_similarity
c_LIAO_linhuang,review:expected_vanilla_source_not_exact,vanilla,vanilla_closest,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,43498,43521,d_LIAO_linhuang,e_great_liao,e_great_liao > k_khitan > d_LIAO_linhuang > c_LIAO_linhuang,11709 11710 11711 11717,Liao_Linhuang | Liao_Songzhanzhou | Liao_Zuzhou | Liao_Yungzhou,vanilla_east | vanilla_east | vanilla_east | vanilla_east,4,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:72842,0.904615,no,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:103117,0.462585
c_LIAO_heicaoan,review:expected_vanilla_source_not_exact,vanilla,mod_closest,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,43563,43581,d_LIAO_linhuang,e_great_liao,e_great_liao > k_khitan > d_LIAO_linhuang > c_LIAO_heicaoan,11726 11727 11708,FIC_Liao_Baicaoer | FIC_Liao_Caoyuanan | Liao_Huaizhou,vanilla_east | vanilla_east | vanilla_east,3,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:72932,0.729614,no,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:103188,0.832618
c_SW_hongxingan,review:expected_vanilla_source_not_exact,vanilla,mod_closest,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,43958,43986,d_hejes_china,e_great_liao,e_great_liao > k_khitan > d_hejes_china > c_SW_hongxingan,11724 11723 11722 11725 11656,Liao_Wuzhou | FIC_Liao_Liquan | FIC_Liao_Wuluan | FIC_Liao_Matudi | FIC_Amur_Shangwulu,vanilla_east | vanilla_east | vanilla_east | vanilla_east | vanilla_east,5,0,0,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:72694,0.904615,no,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:103583,0.952247
c_rima,manual_review:mixed,mixed,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,82743,82764,d_dzayul,h_india,h_india > e_himalaya > k_lhomon > d_dzayul > c_rima,9175 9173 9174,Rima | Dzayul | Zayu,vanilla_east | mod_kalan | vanilla_east,2,1,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:71226,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:77597,1.000000
c_tezu,manual_review:mixed,mixed,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,82803,82824,d_dzayul,h_india,h_india > e_himalaya > k_lhomon > d_dzayul > c_tezu,9166 9167 9168,Tezu | Kibithu | Hawai,mod_kalan | mod_kalan | vanilla_east,1,2,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:71278,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:77657,1.000000
c_karmanta,manual_review:mixed,mixed,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,85407,85434,d_vanga,h_india,h_india > e_bengal > k_bengal_east > d_vanga > c_karmanta,1131 831 832 9657,Karmanta | Tripura | Mainamati | Udaipur,mod_kalan | mod_kalan | mod_kalan | vanilla_east,1,3,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:64957,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:80261,1.000000
c_chatigama,review:expected_vanilla_source_not_exact,vanilla,mod_closest,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,85440,85457,d_chattogram,h_india,h_india > e_bengal > k_bengal_east > d_chattogram > c_chatigama,828 8722,Chatigama | Karnaphuli,vanilla_east | vanilla_east,2,0,0,0,,,0.000000,no,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:80294,0.884120
c_samatata,manual_review:mixed,mixed,mod_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,85458,85479,d_chattogram,h_india,h_india > e_bengal > k_bengal_east > d_chattogram > c_samatata,1318 829 830,Devaparvata | Candranatha | Pattikera,mod_kalan | both_masks | vanilla_east,1,1,1,0,no,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:64981,0.784091,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:80317,1.000000
c_charaideo,manual_review:mixed,mixed,vanilla_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,86954,86975,d_sutiya,h_india,h_india > e_pragjyotisha > k_kamarupa > d_sutiya > c_charaideo,810 811 10488,Charaideo | Carguya | Patkai Hills,mod_kalan | vanilla_east | vanilla_east,2,1,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:65238,1.000000,no,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:81813,0.845070
c_kundina,manual_review:mixed,mixed,both_exact,F:\Storage\Codding\git\Crusader Kings III\Yusseter MoreBookmarksPlus\BookmarksGit\common\landed_titles\00_landed_titles.txt,86976,86997,d_sutiya,h_india,h_india > e_pragjyotisha > k_kamarupa > d_sutiya > c_kundina,1177 808 809,Kundina | Tinsukia | Ghuguha_Dol,mod_kalan | vanilla_east | mod_kalan,1,2,0,0,yes,C:\Program Files (x86)\Steam\steamapps\common\Crusader Kings III\game\common\landed_titles\00_landed_titles.txt:65256,1.000000,yes,F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\common\landed_titles\00_landed_titles.txt:81829,1.000000
