county_id,county_path,county_line,province_id,rgb,province_name,province_source,in_final_map
c_essex,e_britannia > k_england > d_essex > c_essex,5855,1514,"169,69,57",COLCHESTER,mod_kalan,yes
c_essex,e_britannia > k_england > d_essex > c_essex,5855,1515,"1,72,185",MALDON,mod_kalan,yes
c_essex,e_britannia > k_england > d_essex > c_essex,5855,1516,"43,75,58",CHELMSFORD,mod_kalan,yes
c_essex,e_britannia > k_england > d_essex > c_essex,5855,1517,"85,78,186",DUNMOW,mod_kalan,yes
c_hertfordshire,e_britannia > k_england > d_essex > c_hertfordshire,5893,1531,"43,120,193",BERKHAMSTED,mod_kalan,yes
c_hertfordshire,e_britannia > k_england > d_essex > c_hertfordshire,5893,1532,"85,123,66",SAINT ALBANS,mod_kalan,yes
c_hertfordshire,e_britannia > k_england > d_essex > c_hertfordshire,5893,1533,"127,126,194",HERTFORD,mod_kalan,yes
c_middlesex,e_britannia > k_england > d_essex > c_middlesex,5921,1527,"85,108,191",LONDON,mod_kalan,yes
c_middlesex,e_britannia > k_england > d_essex > c_middlesex,5921,1526,"43,105,63",SOUTHWARK,mod_kalan,yes
c_middlesex,e_britannia > k_england > d_essex > c_middlesex,5921,1528,"127,111,64",WOXBRIGGE,mod_kalan,yes
c_middlesex,e_britannia > k_england > d_essex > c_middlesex,5921,1529,"169,114,192",GORE,mod_kalan,yes
c_middlesex,e_britannia > k_england > d_essex > c_middlesex,5921,1530,"1,117,65",BRENTFORD,mod_kalan,yes
c_jersey,e_britannia > k_england > d_channel_islands > c_jersey,5986,9811,"51,39,133",Channel Islands,mod_kalan,yes
c_jersey,e_britannia > k_england > d_channel_islands > c_jersey,5986,9812,"93,43,7",Channel Islands2,mod_kalan,yes
c_bedford,e_britannia > k_england > d_bedford > c_bedford,6019,1538,"127,141,69",BEDFORD,mod_kalan,yes
c_bedford,e_britannia > k_england > d_bedford > c_bedford,6019,1539,"169,144,197",AMPTHILL,mod_kalan,yes
c_bedford,e_britannia > k_england > d_bedford > c_bedford,6019,1540,"1,147,70",LUTON,mod_kalan,yes
c_huntingdonshire,e_britannia > k_england > d_bedford > c_huntingdonshire,6051,1541,"43,150,198",HURSTINGSTONE,mod_kalan,yes
c_huntingdonshire,e_britannia > k_england > d_bedford > c_huntingdonshire,6051,1542,"85,153,71",NORMAN CROSS,mod_kalan,yes
c_huntingdonshire,e_britannia > k_england > d_bedford > c_huntingdonshire,6051,1543,"127,156,199",LEIGHTONSTONE,mod_kalan,yes
c_northamptonshire,e_britannia > k_england > d_bedford > c_northamptonshire,6073,1600,"1,114,0",NORTHAMPTON,mod_kalan,yes
