"final_new_id","final_name","final_rgb","preferred_source_subset","source_origin","source_old_id","source_old_name","source_file_labels","source_binding_count","source_root_title","source_kingdom","source_duchy","source_county","source_barony","source_title_path","cluster_root","cluster_subtree","live_binding_defined","live_binding_count","live_root_title_present","live_kingdom_present","live_duchy_present","live_county_present","status"
"1438","Yarkand","127,54,19","modlu_kalan","modlu","1438","Yarkand","00_landed_titles.txt","1","e_qixi","k_khotan","d_kashgar","c_yarkand","b_yarkand","e_qixi > k_khotan > d_kashgar > c_yarkand > b_yarkand","e_qixi","d_kashgar","True","1","True","True","True","True","ok"
"1439","Kashgar","169,57,147","modlu_kalan","modlu","1439","Kashgar","00_landed_titles.txt","1","e_qixi","k_khotan","d_kashgar","c_kashgar","b_kashgar","e_qixi > k_khotan > d_kashgar > c_kashgar > b_kashgar","e_qixi","d_kashgar","True","1","True","True","True","True","ok"
"1440","Khotan","1,60,20","modlu_kalan","modlu","1440","Khotan","00_landed_titles.txt","1","e_qixi","k_khotan","d_khotan","c_khotan","b_khotan","e_qixi > k_khotan > d_khotan > c_khotan > b_khotan","e_qixi","d_khotan","True","1","True","True","True","True","ok"
"1441","Cherchen","86,135,186","modlu_kalan","modlu","1441","Cherchen","00_landed_titles.txt","1","e_qixi","k_khotan","d_khotan","c_cherchen","b_cherchen","e_qixi > k_khotan > d_khotan > c_cherchen > b_cherchen","e_qixi","d_khotan","True","1","True","True","True","True","ok"
"1442","Charkliq","128,138,59","modlu_kalan","modlu","1442","Charkliq","00_landed_titles.txt","1","e_qixi","k_khotan","d_charkliq","c_charkliq","b_charkliq","e_qixi > k_khotan > d_charkliq > c_charkliq > b_charkliq","e_qixi","d_charkliq","True","1","True","True","True","True","ok"
"1443","Karashar","170,141,187","modlu_kalan","modlu","1443","Karashar","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_karashar","c_karashar","b_karashar","e_qixi > k_dzungaria > d_karashar > c_karashar > b_karashar","e_qixi","d_karashar","True","1","True","True","True","True","ok"
"1444","Kucha","2,144,60","modlu_kalan","modlu","1444","Kucha","00_landed_titles.txt","1","e_qixi","k_khotan","d_kucha","c_kucha","b_kucha","e_qixi > k_khotan > d_kucha > c_kucha > b_kucha","e_qixi","d_kucha","True","1","True","True","True","True","ok"
"1445","Aksu","44,147,188","modlu_kalan","modlu","1445","Aksu","00_landed_titles.txt","1","e_qixi","k_khotan","d_kashgar","c_aksu","b_aksu_mongolia","e_qixi > k_khotan > d_kashgar > c_aksu > b_aksu_mongolia","e_qixi","d_kashgar","True","1","True","True","True","True","ok"
"1446","Kara Khoja","86,150,61","modlu_kalan","modlu","1446","Kara Khoja","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_kara_khoja","c_kara_khoja","b_kara_khoja","e_qixi > k_dzungaria > d_kara_khoja > c_kara_khoja > b_kara_khoja","e_qixi","d_kara_khoja","True","1","True","True","True","True","ok"
"1447","Loulan","128,153,189","modlu_kalan","modlu","1447","Loulan","00_landed_titles.txt","1","e_qixi","k_khotan","d_loulan","c_loulan","b_loulan","e_qixi > k_khotan > d_loulan > c_loulan > b_loulan","e_qixi","d_loulan","True","1","True","True","True","True","ok"
"1448","Dunhuang","170,156,62","modlu_kalan","modlu","1448","Dunhuang","00_landed_titles.txt","1","e_qixi","k_khotan","d_charkliq","c_luobupo","b_dunhuang","e_qixi > k_khotan > d_charkliq > c_luobupo > b_dunhuang","e_qixi","d_charkliq","True","1","True","True","True","True","ok"
"1449","Luntai","2,159,190","modlu_kalan","modlu","1449","Luntai","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_beshbalik","c_bugur","b_bugur","e_qixi > k_dzungaria > d_beshbalik > c_bugur > b_bugur","e_qixi","d_beshbalik","True","1","True","True","True","True","ok"
"2807","MECKLENBURG","86,114,131","modlu_kalan","modlu","2807","MECKLENBURG","00_landed_titles.txt","1","e_wendish_empire","k_pomerania","d_nordmark","c_mecklenburg","b_crivitz","e_wendish_empire > k_pomerania > d_nordmark > c_mecklenburg > b_crivitz","e_wendish_empire","d_nordmark","False","0","True","True","True","True","ok"
"4885","b_pingzhou_lulong","88,207,29","orijinal_dogu","orijinal","9694","b_pingzhou_lulong","00_landed_titles.txt","1","e_andong","k_raole","d_liaoxi","c_lnj_liaoxi","b_pingzhou","e_andong > k_raole > d_liaoxi > c_lnj_liaoxi > b_pingzhou","e_andong","d_liaoxi","True","1","True","True","True","True","ok"
"7455","Yarkhoto","7,0,155","modlu_kalan","modlu","7455","Yarkhoto","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_kara_khoja","c_kara_khoja","b_yarkhoto","e_qixi > k_dzungaria > d_kara_khoja > c_kara_khoja > b_yarkhoto","e_qixi","d_kara_khoja","True","1","True","True","True","True","ok"
"7456","Turpan","49,3,28","modlu_kalan","modlu","7456","Turpan","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_kara_khoja","c_kara_khoja","b_turpan","e_qixi > k_dzungaria > d_kara_khoja > c_kara_khoja > b_turpan","e_qixi","d_kara_khoja","True","1","True","True","True","True","ok"
"7457","Yidu","91,6,156","modlu_kalan","modlu","7457","Yidu","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_kara_khoja","c_kara_khoja","b_yidu","e_qixi > k_dzungaria > d_kara_khoja > c_kara_khoja > b_yidu","e_qixi","d_kara_khoja","True","1","True","True","True","True","ok"
"7458","Hami","133,9,29","modlu_kalan","modlu","7458","Hami","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_kara_khoja","c_chamil","b_hami","e_qixi > k_dzungaria > d_kara_khoja > c_chamil > b_hami","e_qixi","d_kara_khoja","True","1","True","True","True","True","ok"
"7459","Beshbalik","175,12,157","modlu_kalan","modlu","7459","Beshbalik","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_beshbalik","c_beshbalik","b_beshbalik","e_qixi > k_dzungaria > d_beshbalik > c_beshbalik > b_beshbalik","e_qixi","d_beshbalik","True","1","True","True","True","True","ok"
"7460","Fukang","7,15,30","modlu_kalan","modlu","7460","Fukang","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_beshbalik","c_beshbalik","b_fukang","e_qixi > k_dzungaria > d_beshbalik > c_beshbalik > b_fukang","e_qixi","d_beshbalik","True","1","True","True","True","True","ok"
"7461","Cheshi","49,18,158","modlu_kalan","modlu","7461","Cheshi","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_beshbalik","c_beshbalik","b_cheshi","e_qixi > k_dzungaria > d_beshbalik > c_beshbalik > b_cheshi","e_qixi","d_beshbalik","True","1","True","True","True","True","ok"
"7462","Jimsar","91,21,31","modlu_kalan","modlu","7462","Jimsar","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_beshbalik","c_jimsar","b_jimsar","e_qixi > k_dzungaria > d_beshbalik > c_jimsar > b_jimsar","e_qixi","d_beshbalik","True","1","True","True","True","True","ok"
"7463","Beilu","133,24,159","modlu_kalan","modlu","7463","Beilu","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_beshbalik","c_beshbalik","b_beilu","e_qixi > k_dzungaria > d_beshbalik > c_beshbalik > b_beilu","e_qixi","d_beshbalik","True","1","True","True","True","True","ok"
"7464","Pilu","175,27,32","modlu_kalan","modlu","7464","Pilu","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_beshbalik","c_beshbalik","b_pilu","e_qixi > k_dzungaria > d_beshbalik > c_beshbalik > b_pilu","e_qixi","d_beshbalik","True","1","True","True","True","True","ok"
"7465","Yangjibalik","7,30,160","modlu_kalan","modlu","7465","Yangjibalik","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_beshbalik","c_yangjibaliq","b_yangjibalik","e_qixi > k_dzungaria > d_beshbalik > c_yangjibaliq > b_yangjibalik","e_qixi","d_beshbalik","True","1","True","True","True","True","ok"
"7466","Manas","49,33,33","modlu_kalan","modlu","7466","Manas","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_beshbalik","c_bugur","b_manas","e_qixi > k_dzungaria > d_beshbalik > c_bugur > b_manas","e_qixi","d_beshbalik","True","1","True","True","True","True","ok"
"7467","Wutanzili","91,36,161","modlu_kalan","modlu","7467","Wutanzili","00_landed_titles.txt","1","e_qixi","k_dzungaria","d_beshbalik","c_yangjibaliq","b_wutanzili","e_qixi > k_dzungaria > d_beshbalik > c_yangjibaliq > b_wutanzili","e_qixi","d_beshbalik","True","1","True","True","True","True","ok"
