"final_new_id","placeholder_rgb","x","y","overwritten_rgb","overwritten_final_new_id","overwritten_name","overwritten_row_type","overwritten_source_origin"
"12773","48,240,48","9215","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12774","48,240,80","9214","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12775","48,240,112","9213","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12776","48,240,144","9212","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12777","48,240,176","9211","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12778","48,240,208","9210","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12779","48,240,240","9209","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12780","80,16,16","9208","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12781","80,16,48","9207","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12782","80,16,80","9206","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12783","80,16,112","9205","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12784","80,16,144","9204","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12785","80,16,176","9203","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12786","80,16,208","9202","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12787","80,16,240","9201","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12788","80,48,16","9200","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12789","80,48,48","9199","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12790","80,48,80","9198","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12791","80,48,112","9197","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12792","80,48,144","9196","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12793","80,48,176","9195","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12794","80,48,208","9194","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12795","80,48,240","9193","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12796","80,80,16","9192","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12797","80,80,48","9191","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12798","80,80,80","9190","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12799","80,80,112","9189","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12800","80,80,144","9188","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12801","80,80,176","9187","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12802","80,80,208","9186","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12803","80,80,240","9185","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12804","80,112,16","9184","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12805","80,112,48","9183","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12806","80,112,80","9182","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
"12807","80,112,112","9181","4607","126,186,199","12763","sea_indian_ocean","candidate","orijinal"
