filter_reason,source_province_id,source_name,source_root_title,source_kingdom,source_duchy,source_county,source_barony,source_rgb,target_province_id,target_rgb,target_name,target_root_title,target_kingdom,target_duchy,target_county,target_barony,target_title_path,classification,status,apply_to_history,confidence,overlap_score,centroid_score,neighbor_score,name_score,target_coverage,overlap_pixels,source_pixel_count,target_pixel_count,candidate_count,target_source_count_all,target_best_source_id,target_best_overlap_score,target_second_best_overlap_score,target_overlap_gap,target_is_best_source,source_history_exists,source_history_file,live_target_history_exists,test_target_history_exists,target_kind,promotion_hint,notes,top_candidates
target_title_block,14327,FIC_EMan_Shuishanpu,e_tunguse,k_amur,d_eman_sikhotebei,c_eman_wuguihai,b_fic_eman_shuishanpu,"178,154,11",12432,"21,70,231",FIC_Amur_Birigugda,e_amur,k_amur,d_eman_bureya,c_eman_birija,b_fic_eman_birigugda,e_amur > k_amur > d_eman_bureya > c_eman_birija > b_fic_eman_birigugda,exact,mapped,yes,0.838078,0.839734,0.999599,1.000000,0.200000,0.721676,2274,2708,3151,4,1,14327,0.839734,0.000000,0.839734,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:12432:0.8397:0.7217 | 2:1466:0.0971:0.0002 | 3:12485:0.0532:0.0078 | 4:12433:0.0100:0.0099
target_title_block,14367,IMPASSABLE Sikhote mountains center 2,,,,,,"195,93,86",10499,"186,191,167",FIC_Amur_Molamu,e_amur,k_amur,d_eman_bureya,c_eman_turma,b_fic_eman_molamu,e_amur > k_amur > d_eman_bureya > c_eman_turma > b_fic_eman_molamu,split,manual_review,no,0.684101,0.711639,0.998480,0.571429,0.000000,0.760982,1767,2483,2322,6,1,14367,0.711639,0.000000,0.711639,yes,no,,yes,yes,playable,blocked:no_source_history,auto: top_two_overlap_share,1:10499:0.7116:0.7610 | 2:10500:0.1490:0.1890 | 3:12434:0.0463:0.0564 | 4:10489:0.0411:0.0358 | 5:12431:0.0375:0.0791
target_title_block,14305,IMPASSABLE Sikhote mountains north 2,,,,,,"35,154,37",12433,"92,83,17",FIC_Amur_Birija,e_amur,k_amur,d_eman_bureya,c_eman_birija,b_fic_eman_birija,e_amur > k_amur > d_eman_bureya > c_eman_birija > b_fic_eman_birija,manual_review,manual_review,no,0.674755,0.642803,0.994796,0.800000,0.000000,0.625825,1706,2654,2726,5,1,14305,0.642803,0.000000,0.642803,yes,no,,yes,yes,playable,blocked:no_source_history,auto: strong_but_not_exact,1:12433:0.6428:0.6258 | 2:12485:0.1345:0.0194 | 3:12434:0.1240:0.1614 | 4:12432:0.0784:0.0660 | 5:1466:0.0203:0.0000
target_title_block,14368,IMPASSABLE Sikhote mountains center 1,,,,,,"72,17,189",10491,"69,159,150",FIC_Amur_Pichan,e_amur,k_amur,d_eman_amar,c_eman_murkonno,b_fic_eman_pichan,e_amur > k_amur > d_eman_amar > c_eman_murkonno > b_fic_eman_pichan,merge,manual_review,no,0.666810,0.915353,0.991445,0.333333,0.000000,0.288819,1103,1205,3819,2,3,14368,0.915353,0.761935,0.153418,yes,no,,yes,yes,playable,blocked:no_source_history,auto: best_target_shared_by_multiple_sources,1:10491:0.9154:0.2888 | 2:12431:0.0846:0.0868
target_title_block,14398,FIC_EMan_Heizhuhai,e_jurchen_china,k_luzhen,d_BAL_anbian,c_BAL_north_anbyeon,b_FIC_EMan_Heizhuhai,"137,101,84",10491,"69,159,150",FIC_Amur_Pichan,e_amur,k_amur,d_eman_amar,c_eman_murkonno,b_fic_eman_pichan,e_amur > k_amur > d_eman_amar > c_eman_murkonno > b_fic_eman_pichan,merge,manual_review,no,0.562811,0.761935,0.992000,0.125000,0.200000,0.317622,1213,1592,3819,4,3,14368,0.915353,0.761935,0.153418,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:not_primary_target_source,auto: best_target_shared_by_multiple_sources,1:10491:0.7619:0.3176 | 2:11695:0.0992:0.0593 | 3:11919:0.0936:0.2166 | 4:10492:0.0452:0.0296
target_title_block,13840,Japan Basin,,,,,,"230,192,179",11867,"73,73,19",FIC_EMan_Alimenan,e_amur,k_amur,d_eman_boli,c_eman_boli,b_fic_eman_alimenan,e_amur > k_amur > d_eman_boli > c_eman_boli > b_fic_eman_alimenan,manual_review,manual_review,no,0.506995,0.475889,0.997609,0.100000,0.000000,0.995265,2102,4417,2112,8,1,13840,0.475889,0.000000,0.475889,yes,no,,yes,yes,playable,blocked:no_source_history,auto: low_confidence,1:11867:0.4759:0.9953 | 2:11866:0.1952:0.3539 | 3:10494:0.1540:0.3491 | 4:11894:0.0593:0.0923 | 5:11918:0.0523:0.3043
target_title_block,13841,Sōya Strait,,,,,,"94,65,81",11894,"28,7,25",FIC_EMan_Khorhe,e_amur,k_amur,d_eman_boli,c_eman_boli,b_fic_eman_khorhe,e_amur > k_amur > d_eman_boli > c_eman_boli > b_fic_eman_khorhe,manual_review,manual_review,no,0.436710,0.366767,0.996856,0.222222,0.000000,0.727977,2066,5633,2838,8,1,13841,0.366767,0.000000,0.366767,yes,no,,yes,yes,playable,blocked:no_source_history,auto: low_confidence,1:11894:0.3668:0.7280 | 2:11877:0.3254:0.5357 | 3:11893:0.1236:0.2335 | 4:11895:0.1033:0.2039 | 5:11878:0.0513:0.1082
target_title_block,14320,FIC_EMan_Alimenan,e_tunguse,k_amur,d_eman_boli,c_eman_boli,b_fic_eman_alimenan,"51,248,35",12438,"196,184,158",FIC_Amur_Hara,e_amur,k_amur,d_eman_amar,c_eman_nimen,b_fic_eman_hara,e_amur > k_amur > d_eman_amar > c_eman_nimen > b_fic_eman_hara,merge,manual_review,no,0.403417,0.384768,0.987345,0.285714,0.200000,0.301036,581,1510,1930,5,2,14334,0.501358,0.384768,0.116590,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:not_primary_target_source,auto: best_target_shared_by_multiple_sources,1:12438:0.3848:0.3010 | 2:1466:0.3272:0.0004 | 3:12437:0.1490:0.1047 | 4:11920:0.0881:0.1581 | 5:11688:0.0510:0.0276
target_title_block,14332,FIC_EMan_Yerenhe,e_tunguse,k_amur,d_eman_sikhotebei,c_eman_yerenhe,b_fic_eman_yerenhe,"138,110,19",10489,"167,147,144",FIC_Amur_Konnovanda,e_amur,k_amur,d_eman_amar,c_eman_vanda,b_fic_eman_konnovanda,e_amur > k_amur > d_eman_amar > c_eman_vanda > b_fic_eman_konnovanda,merge,manual_review,no,0.395603,0.370423,0.988649,0.300000,0.200000,0.276842,789,2130,2850,4,2,14331,0.494498,0.370423,0.124075,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:not_primary_target_source,auto: best_target_shared_by_multiple_sources,1:10489:0.3704:0.2768 | 2:12435:0.3221:0.3130 | 3:12436:0.2958:0.2079 | 4:12434:0.0117:0.0123
target_title_block,14397,FIC_EMan_Beiqiulin,e_jurchen_china,k_luzhen,d_BAL_anbian,c_BAL_north_anbyeon,b_FIC_EMan_Beiqiulin,"132,50,55",10491,"69,159,150",FIC_Amur_Pichan,e_amur,k_amur,d_eman_amar,c_eman_murkonno,b_fic_eman_pichan,e_amur > k_amur > d_eman_amar > c_eman_murkonno > b_fic_eman_pichan,merge,manual_review,no,0.328945,0.316460,0.984694,0.111111,0.200000,0.266824,1019,3220,3819,6,3,14368,0.915353,0.761935,0.153418,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:not_primary_target_source,auto: best_target_shared_by_multiple_sources,1:10491:0.3165:0.2668 | 2:11694:0.2910:0.4800 | 3:11695:0.1913:0.2311 | 4:10490:0.0776:0.1024 | 5:11919:0.0689:0.3227
