filter_reason,source_province_id,source_name,source_root_title,source_kingdom,source_duchy,source_county,source_barony,source_rgb,target_province_id,target_rgb,target_name,target_root_title,target_kingdom,target_duchy,target_county,target_barony,target_title_path,classification,status,apply_to_history,confidence,overlap_score,centroid_score,neighbor_score,name_score,target_coverage,overlap_pixels,source_pixel_count,target_pixel_count,candidate_count,target_source_count_all,target_best_source_id,target_best_overlap_score,target_second_best_overlap_score,target_overlap_gap,target_is_best_source,source_history_exists,source_history_file,live_target_history_exists,test_target_history_exists,target_kind,promotion_hint,notes,top_candidates
target_root,12864,EMan_Huligai,e_jurchen_china,k_luzhen,d_BAL_cheolli,c_BAL_huligai,b_EMan_Huligai,"195,6,196",11664,"206,64,206",FIC_Amur_Dasenlin,e_andong,k_shiwei,d_SW_sushenguo,c_SW_gonghejiang,b_FIC_Amur_Dasenlin,e_andong > k_shiwei > d_SW_sushenguo > c_SW_gonghejiang > b_FIC_Amur_Dasenlin,merge,manual_review,no,0.733732,0.920875,0.997239,0.571429,0.000000,0.395231,1094,1188,2768,3,2,12864,0.920875,0.422814,0.498061,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:11664:0.9209:0.3952 | 2:11526:0.0547:0.0154 | 3:11702:0.0244:0.0119
target_root,14384,FIC_EMan_Huaicao,e_jurchen_china,k_luzhen,d_BAL_hoewon,c_BAL_south_hoewon,b_FIC_EMan_Huaicao,"26,158,234",11683,"155,38,116",FIC_Amur_Lupingyuan,e_andong,k_shiwei,d_SW_sushenguo,c_SW_lupingyuan,b_FIC_Amur_Lupingyuan,e_andong > k_shiwei > d_SW_sushenguo > c_SW_lupingyuan > b_FIC_Amur_Lupingyuan,merge,manual_review,no,0.726447,0.902287,0.995655,0.625000,0.200000,0.271589,868,962,3196,3,2,14384,0.902287,0.555474,0.346813,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:11683:0.9023:0.2716 | 2:11701:0.0852:0.0472 | 3:11526:0.0125:0.0028
target_root,12456,Xincheng_Yanjinzhou,e_great_liao,k_goguryeo,d_jilin_china,c_shenzhou_liao_china,b_xincheng_yanjinzhou_china,"206,55,178",11758,"101,59,119",Liao_Chengzhou,e_andong,k_raole,d_liaoxi,c_LIAO_chaoyang,b_Liao_Chengzhou,e_andong > k_raole > d_liaoxi > c_LIAO_chaoyang > b_Liao_Chengzhou,merge,manual_review,no,0.713889,0.943012,0.997637,0.428571,0.000000,0.379367,695,737,1832,3,2,12456,0.943012,0.756927,0.186085,yes,yes,00_MB_PROVINCES.txt,no,no,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:11758:0.9430:0.3794 | 2:11761:0.0529:0.0237 | 3:11757:0.0041:0.0013
target_root,12573,,,,,,,"168,182,101",11749,"46,17,248",FIC_Liao_Fuyunan,e_andong,k_balhae,d_BAL_buyeo,c_BAL_xinzhou,b_FIC_Liao_Fuyunan,e_andong > k_balhae > d_BAL_buyeo > c_BAL_xinzhou > b_FIC_Liao_Fuyunan,merge,manual_review,no,0.699850,0.962319,0.998644,0.428571,0.000000,0.220745,332,345,1504,2,3,12573,0.962319,0.627713,0.334606,yes,no,,yes,yes,playable,blocked:no_source_history,auto: best_target_shared_by_multiple_sources,1:11749:0.9623:0.2207 | 2:11750:0.0377:0.0110
target_root,12259,,,,,,,"195,14,155",11799,"4,25,68",Liao_Guidezhou,e_andong,k_balhae,d_LIAO_dongjing,c_LIAO_guidezhou,b_Liao_Guidezhou,e_andong > k_balhae > d_LIAO_dongjing > c_LIAO_guidezhou > b_Liao_Guidezhou,merge,manual_review,no,0.667000,0.949367,0.995596,0.222222,0.000000,0.322086,525,553,1630,3,2,12259,0.949367,0.538031,0.411336,yes,no,,yes,yes,playable,blocked:no_source_history,auto: best_target_shared_by_multiple_sources,1:11799:0.9494:0.3221 | 2:11798:0.0253:0.0090 | 3:11785:0.0253:0.0081
target_root,13704,Yamakoshi,e_tunguse,k_ezo,d_sum,c_shiribeshi,b_yamakoshi,"112,115,135",11911,"173,76,108",EMan_Dingzhou,e_andong,k_luzhen,d_BAL_yeojintang,c_BAL_jeongni,b_EMan_Dingzhou,e_andong > k_luzhen > d_BAL_yeojintang > c_BAL_jeongni > b_EMan_Dingzhou,merge,manual_review,no,0.658242,1.000000,0.997500,0.166667,0.000000,0.167727,448,448,2671,1,3,13704,1.000000,0.493599,0.506401,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:11911:1.0000:0.1677
target_root,14192,Xinmin,e_great_liao,k_goguryeo,d_jilin_china,c_shenzhou_liao_china,b_xinmin_china,"51,186,232",11758,"101,59,119",Liao_Chengzhou,e_andong,k_raole,d_liaoxi,c_LIAO_chaoyang,b_Liao_Chengzhou,e_andong > k_raole > d_liaoxi > c_LIAO_chaoyang > b_Liao_Chengzhou,merge,manual_review,no,0.641312,0.756927,0.993548,0.571429,0.000000,0.328057,601,794,1832,5,2,12456,0.943012,0.756927,0.186085,no,no,,no,no,playable,blocked:no_source_history,auto: best_target_shared_by_multiple_sources,1:11758:0.7569:0.3281 | 2:11755:0.1184:0.0638 | 3:11756:0.0882:0.0497 | 4:11754:0.0353:0.0148 | 5:11757:0.0013:0.0004
target_root,14411,IMPASSABLE Greater Khingan north 1,,,,,,"175,119,25",11618,"102,18,99",FIC_Mong_Nyurgol,e_andong,k_shiwei,d_SW_dashiweiguo,c_SW_ergunia,b_FIC_Mong_Nyurgol,e_andong > k_shiwei > d_SW_dashiweiguo > c_SW_ergunia > b_FIC_Mong_Nyurgol,merge,manual_review,no,0.605318,0.856481,0.999604,0.222222,0.000000,0.217818,555,648,2548,2,2,14411,0.856481,0.388334,0.468147,yes,no,,yes,yes,playable,blocked:no_source_history,auto: best_target_shared_by_multiple_sources,1:11618:0.8565:0.2178 | 2:11619:0.1435:0.0298
target_root,14193,Fushun,e_great_liao,k_goguryeo,d_jilin_china,c_guidezhou_china,b_fushan_china,"75,172,145",11766,"63,17,236",Liao_Suizhou,e_andong,k_raole,d_liaoxi,c_LIAO_liaozhou,b_Liao_Suizhou,e_andong > k_raole > d_liaoxi > c_LIAO_liaozhou > b_Liao_Suizhou,merge,manual_review,no,0.598520,0.650551,0.996362,0.500000,0.000000,0.490723,767,1179,1563,6,2,14193,0.650551,0.540112,0.110439,yes,no,,no,no,playable,blocked:no_source_history,auto: best_target_shared_by_multiple_sources,1:11766:0.6506:0.4907 | 2:11758:0.2120:0.1365 | 3:11767:0.0746:0.0709 | 4:11765:0.0390:0.0318 | 5:11757:0.0212:0.0105
target_root,12399,,,,,,,"175,76,119",11607,"79,2,13",FIC_Mong_Emurgol,e_andong,k_shiwei,d_SW_dashiweiguo,c_SW_heiergun,b_FIC_Mong_Emurgol,e_andong > k_shiwei > d_SW_dashiweiguo > c_SW_heiergun > b_FIC_Mong_Emurgol,manual_review,manual_review,no,0.588970,0.656343,0.998224,0.375000,0.000000,0.573175,1547,2357,2699,6,1,12399,0.656343,0.000000,0.656343,yes,no,,yes,yes,playable,blocked:no_source_history,auto: low_confidence,1:11607:0.6563:0.5732 | 2:11606:0.1273:0.0803 | 3:1466:0.0696:0.0001 | 4:11611:0.0611:0.0562 | 5:11609:0.0437:0.0448
target_root,14370,IMPASSABLE Sikhote mountains south 1,,,,,,"251,157,52",11826,"4,12,155",FIC_Liao_Yingan,e_andong,k_balhae,d_BAL_parhae,c_BAL_yeongju,b_FIC_Liao_Yingan,e_andong > k_balhae > d_BAL_parhae > c_BAL_yeongju > b_FIC_Liao_Yingan,split,manual_review,no,0.584597,0.679764,0.994823,0.428571,0.000000,0.396789,692,1018,1744,3,1,14370,0.679764,0.000000,0.679764,yes,no,,yes,yes,playable,blocked:no_source_history,auto: top_two_overlap_share,1:11826:0.6798:0.3968 | 2:11827:0.3163:0.1463 | 3:11817:0.0039:0.0020
target_root,14190,Wulongshan,e_great_liao,k_goguryeo,d_liaodong_china,c_liaodong_china,b_wulongshan_china,"51,230,97",11762,"149,191,53",Liao_Xianzhou,e_andong,k_raole,d_liaoxi,c_LIAO_xianzhou,b_Liao_Xianzhou,e_andong > k_raole > d_liaoxi > c_LIAO_xianzhou > b_Liao_Xianzhou,split,manual_review,no,0.580629,0.623198,0.996848,0.375000,0.000000,0.628968,951,1526,1512,4,1,14190,0.623198,0.000000,0.623198,yes,no,,yes,yes,playable,blocked:no_source_history,auto: top_two_overlap_share,1:11762:0.6232:0.6290 | 2:11761:0.1861:0.1726 | 3:11764:0.1442:0.1314 | 4:11766:0.0465:0.0454
target_root,14189,Gungnae,e_great_liao,k_goguryeo,d_gewu_china,c_hwando_china,b_gungnae_china,"206,36,6",11783,"40,79,99",Liao_Guangzhou,e_andong,k_balhae,d_LIAO_dongjing,c_LIAO_yinzhou,b_Liao_Guangzhou,e_andong > k_balhae > d_LIAO_dongjing > c_LIAO_yinzhou > b_Liao_Guangzhou,split,manual_review,no,0.566846,0.607495,0.995131,0.600000,0.000000,0.290566,308,507,1060,3,1,14189,0.607495,0.000000,0.607495,yes,no,,yes,yes,playable,blocked:no_source_history,auto: top_two_overlap_share,1:11783:0.6075:0.2906 | 2:11785:0.3590:0.1049 | 3:11782:0.0335:0.0156
target_root,14374,FIC_Amur_Helincun,e_jurchen_china,k_luzhen,d_BAL_hoewon,c_BAL_dazhou,b_FIC_Amur_Helincun,"236,141,197",11671,"206,128,143",Amur_Puyu,e_andong,k_shiwei,d_SW_puyudao,c_SW_puyuzhou,b_Amur_Puyu,e_andong > k_shiwei > d_SW_puyudao > c_SW_puyuzhou > b_Amur_Puyu,merge,manual_review,no,0.565635,0.582357,0.993025,0.500000,0.250000,0.417696,845,1451,2023,4,2,14371,0.638980,0.582357,0.056623,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:not_primary_target_source,auto: best_target_shared_by_multiple_sources,1:11671:0.5824:0.4177 | 2:11672:0.2226:0.0978 | 3:11526:0.1764:0.0605 | 4:11686:0.0186:0.0117
target_root,11850,,,,,,,"218,115,196",11647,"101,142,51",FIC_Amur_Zhongnenjiang,e_andong,k_shiwei,d_SW_qingxingan,c_SW_nabeiguo,b_FIC_Amur_Zhongnenjiang,e_andong > k_shiwei > d_SW_qingxingan > c_SW_nabeiguo > b_FIC_Amur_Zhongnenjiang,manual_review,manual_review,no,0.559719,0.416066,0.994420,0.625000,0.000000,0.848294,1616,3884,1905,7,1,11850,0.416066,0.000000,0.416066,yes,no,,yes,yes,playable,blocked:no_source_history,auto: low_confidence,1:11647:0.4161:0.8483 | 2:11668:0.2070:0.3414 | 3:11682:0.1452:0.2328 | 4:11646:0.0778:0.2230 | 5:11648:0.0672:0.1086
target_root,14499,FIC_Amur_Lindu,e_tunguse,k_shiwei,d_SW_sushenguo,c_SW_suihua,b_FIC_Amur_Lindu,"89,59,176",11674,"31,94,117",FIC_Amur_Heisenlin,e_andong,k_shiwei,d_SW_puyudao,c_SW_heilonghean,b_FIC_Amur_Heisenlin,e_andong > k_shiwei > d_SW_puyudao > c_SW_heilonghean > b_FIC_Amur_Heisenlin,merge,manual_review,no,0.552662,0.664759,0.991568,0.222222,0.500000,0.344538,1394,2097,4046,3,3,13570,0.716590,0.664759,0.051831,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:not_primary_target_source,auto: best_target_shared_by_multiple_sources,1:11674:0.6648:0.3445 | 2:11673:0.3152:0.3029 | 3:11672:0.0200:0.0127
target_root,14408,Liao_Kuandianzi,e_great_liao,k_goguryeo,d_liaodong_china,c_pozhuo_china,b_Liao_Kuandianzi,"128,85,140",11763,"186,190,226",Liao_Haibeizhou,e_andong,k_raole,d_liaoxi,c_LIAO_xianzhou,b_Liao_Haibeizhou,e_andong > k_raole > d_liaoxi > c_LIAO_xianzhou > b_Liao_Haibeizhou,merge,manual_review,no,0.547947,0.627698,0.990597,0.428571,0.333333,0.217717,349,556,1603,3,2,14408,0.627698,0.506110,0.121588,yes,no,,no,no,playable,blocked:no_source_history,auto: best_target_shared_by_multiple_sources,1:11763:0.6277:0.2177 | 2:11786:0.3507:0.1857 | 3:11764:0.0216:0.0072
target_root,13570,Siberia River,,,,,,"89,35,232",11674,"31,94,117",FIC_Amur_Heisenlin,e_andong,k_shiwei,d_SW_puyudao,c_SW_heilonghean,b_FIC_Amur_Heisenlin,e_andong > k_shiwei > d_SW_puyudao > c_SW_heilonghean > b_FIC_Amur_Heisenlin,merge,manual_review,no,0.544366,0.716590,0.995407,0.375000,0.000000,0.076866,311,434,4046,3,3,13570,0.716590,0.664759,0.051831,yes,no,,yes,yes,playable,blocked:no_source_history,auto: best_target_shared_by_multiple_sources,1:11674:0.7166:0.0769 | 2:11675:0.2373:0.0434 | 3:11672:0.0461:0.0061
