filter_reason,source_province_id,source_name,source_root_title,source_kingdom,source_duchy,source_county,source_barony,source_rgb,target_province_id,target_rgb,target_name,target_root_title,target_kingdom,target_duchy,target_county,target_barony,target_title_path,classification,status,apply_to_history,confidence,overlap_score,centroid_score,neighbor_score,name_score,target_coverage,overlap_pixels,source_pixel_count,target_pixel_count,candidate_count,target_source_count_all,target_best_source_id,target_best_overlap_score,target_second_best_overlap_score,target_overlap_gap,target_is_best_source,source_history_exists,source_history_file,live_target_history_exists,test_target_history_exists,target_kind,promotion_hint,notes,top_candidates
target_title_block,12646,,,,,,,"128,147,211",12066,"178,99,22",Goryeo_Gyeongsang_Chirwon,e_goryeo,k_silla,d_jinju,c_guemju,b_Goryeo_Gyeongsang_Guemju,e_goryeo > k_silla > d_jinju > c_guemju > b_Goryeo_Gyeongsang_Guemju,merge,manual_review,no,0.455704,0.503968,0.993902,0.400000,0.000000,0.162197,127,252,783,4,4,13782,0.566929,0.520408,0.046521,no,no,,yes,yes,playable,blocked:no_source_history,auto: best_target_shared_by_multiple_sources,1:12066:0.5040:0.1622 | 2:12046:0.4206:0.2530 | 3:12065:0.0397:0.0248 | 4:12047:0.0357:0.0158
target_title_block,13783,Oba,e_japan,k_yamato,d_east_sanyodo,c_mimasaka,b_oba,"108,138,66",12066,"178,99,22",Goryeo_Gyeongsang_Chirwon,e_goryeo,k_silla,d_jinju,c_guemju,b_Goryeo_Gyeongsang_Guemju,e_goryeo > k_silla > d_jinju > c_guemju > b_Goryeo_Gyeongsang_Guemju,merge,manual_review,no,0.440516,0.432343,0.992486,0.500000,0.000000,0.167305,131,303,783,5,4,13782,0.566929,0.520408,0.046521,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:not_primary_target_source,auto: best_target_shared_by_multiple_sources,1:12066:0.4323:0.1673 | 2:12053:0.3003:0.1791 | 3:12052:0.2244:0.1905 | 4:12061:0.0231:0.0162 | 5:12595:0.0198:0.0005
target_title_block,13784,Katsuta,e_japan,k_yamato,d_east_sanyodo,c_mimasaka,b_katsuta,"136,235,154",12066,"178,99,22",Goryeo_Gyeongsang_Chirwon,e_goryeo,k_silla,d_jinju,c_guemju,b_Goryeo_Gyeongsang_Guemju,e_goryeo > k_silla > d_jinju > c_guemju > b_Goryeo_Gyeongsang_Guemju,merge,manual_review,no,0.429297,0.520408,0.995530,0.250000,0.000000,0.130268,102,196,783,3,4,13782,0.566929,0.520408,0.046521,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:not_primary_target_source,auto: best_target_shared_by_multiple_sources,1:12066:0.5204:0.1303 | 2:12595:0.4082:0.0065 | 3:12053:0.0714:0.0276
target_title_block,13806,Izumo,e_japan,k_yamato,d_chugoku,c_izumo,b_izumo,"73,84,68",12061,"94,78,146",Goryeo_Gyeongsang_Hapcheon,e_goryeo,k_silla,d_jinju,c_hamyang,b_Goryeo_Gyeongsang_Hapcheon,e_goryeo > k_silla > d_jinju > c_hamyang > b_Goryeo_Gyeongsang_Hapcheon,merge,manual_review,no,0.381911,0.439320,0.995491,0.000000,0.000000,0.418014,181,412,433,5,2,13826,0.547912,0.439320,0.108592,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:not_primary_target_source,auto: best_target_shared_by_multiple_sources,1:12061:0.4393:0.4180 | 2:12058:0.3568:0.5424 | 3:12059:0.1748:0.1328 | 4:12918:0.0267:0.0472 | 5:12051:0.0024:0.0024
target_title_block,13638,Yamato Basin,,,,,,"83,107,170",12062,"48,208,80",Goryeo_Gyeongsang_Ilseon,e_goryeo,k_silla,d_gyeongju,c_ilseon,b_Goryeo_Gyeongsang_Ilseon,e_goryeo > k_silla > d_gyeongju > c_ilseon > b_Goryeo_Gyeongsang_Ilseon,manual_review,manual_review,no,0.319818,0.062698,0.984693,0.200000,0.000000,1.000000,773,12329,773,40,1,13638,0.062698,0.000000,0.062698,yes,no,,yes,yes,playable,blocked:no_source_history,auto: low_confidence,1:12062:0.0627:1.0000 | 2:12054:0.0603:1.0000 | 3:12063:0.0529:0.9354 | 4:12003:0.0495:1.0000 | 5:12064:0.0444:0.9856
target_title_block,13777,Kusu,e_japan,k_tsukushi,d_north_saikaido,c_bungo_jp,b_kusu,"145,12,67",12039,"10,195,130",Goryeo_Tamna_WestTamna,e_goryeo,k_baekje,d_tamna,c_tamna,b_Goryeo_Tamna_WestTamna,e_goryeo > k_baekje > d_tamna > c_tamna > b_Goryeo_Tamna_WestTamna,split,manual_review,no,0.815193,0.861386,0.999427,1.000000,0.000000,0.563715,261,303,463,4,1,13777,0.861386,0.000000,0.861386,yes,yes,00_MB_PROVINCES.txt,no,no,playable,review:manual,auto: top_two_overlap_share,1:12039:0.8614:0.5637 | 2:10695:0.0693:0.0462 | 3:12615:0.0462:0.0010 | 4:12597:0.0231:0.0008
target_title_block,13781,Oku,e_japan,k_yamato,d_east_sanyodo,c_bizen,b_oku,"245,203,241",12053,"178,39,12",Goryeo_Gyeongsang_Geoje,e_goryeo,k_silla,d_jinju,c_jinju,b_Goryeo_Gyeongsang_Geoje,e_goryeo > k_silla > d_jinju > c_jinju > b_Goryeo_Gyeongsang_Geoje,split,manual_review,no,0.704169,0.664850,0.996969,1.000000,0.000000,0.480315,244,367,508,2,1,13781,0.664850,0.000000,0.664850,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,review:manual,auto: top_two_overlap_share,1:12053:0.6649:0.4803 | 2:12595:0.3351:0.0100
target_title_block,13825,Inaba,e_japan,k_yamato,d_east_sanindo,c_inaba,b_inaba,"224,237,206",12047,"136,6,134",Goryeo_Gyeongsang_Cheongdo,e_goryeo,k_silla,d_jinju,c_ulju,b_Goryeo_Gyeongsang_Milseong,e_goryeo > k_silla > d_jinju > c_ulju > b_Goryeo_Gyeongsang_Milseong,split,manual_review,no,0.687302,0.785166,0.997850,0.571429,0.000000,0.537653,307,391,571,5,1,13825,0.785166,0.000000,0.785166,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,review:manual,auto: top_two_overlap_share,1:12047:0.7852:0.5377 | 2:12066:0.1279:0.0639 | 3:12065:0.0665:0.0644 | 4:12046:0.0102:0.0095 | 5:12064:0.0102:0.0072
target_title_block,13717,Izushi,e_japan,k_yamato,d_east_sanindo,c_tajima,b_izushi,"189,145,158",12045,"10,210,5",Goryeo_Gyeongsang_Ulju,e_goryeo,k_silla,d_jinju,c_ulju,b_Goryeo_Gyeongsang_Ulju,e_goryeo > k_silla > d_jinju > c_ulju > b_Goryeo_Gyeongsang_Ulju,split,manual_review,no,0.664311,0.711628,0.999865,0.500000,0.000000,0.723404,306,430,423,4,1,13717,0.711628,0.000000,0.711628,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,review:manual,auto: top_two_overlap_share,1:12045:0.7116:0.7234 | 2:12046:0.1419:0.1456 | 3:12044:0.1326:0.1059 | 4:12592:0.0140:0.0004
target_title_block,13827,Hoki,e_japan,k_yamato,d_east_sanindo,c_hoki,b_hoki,"220,213,240",12065,"136,96,149",Goryeo_Gyeongsang_Yeongsan,e_goryeo,k_silla,d_jinju,c_guemju,b_Goryeo_Gyeongsang_Yeongsan,e_goryeo > k_silla > d_jinju > c_guemju > b_Goryeo_Gyeongsang_Yeongsan,split,manual_review,no,0.662438,0.711864,0.997231,0.800000,0.000000,0.311881,126,177,404,3,1,13827,0.711864,0.000000,0.711864,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,review:manual,auto: top_two_overlap_share,1:12065:0.7119:0.3119 | 2:12066:0.2712:0.0613 | 3:12061:0.0169:0.0069
target_title_block,13776,Oita,e_japan,k_tsukushi,d_north_saikaido,c_bungo_jp,b_oita,"133,234,237",10695,"51,174,28",Goryeo_Tamna_Tamna,e_goryeo,k_baekje,d_tamna,c_tamna,b_Goryeo_Tamna_Tamna,e_goryeo > k_baekje > d_tamna > c_tamna > b_Goryeo_Tamna_Tamna,split,manual_review,no,0.642364,0.511673,0.998242,1.000000,0.000000,0.578022,263,514,455,5,1,13776,0.511673,0.000000,0.511673,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,review:manual,auto: top_two_overlap_share,1:10695:0.5117:0.5780 | 2:12597:0.3658:0.0210 | 3:12615:0.0545:0.0019 | 4:12039:0.0447:0.0497 | 5:12595:0.0233:0.0010
target_title_block,13869,Takata,e_japan,k_yamato,d_chugoku,c_aki,b_takata,"171,29,207",12034,"135,174,99",Goryeo_Jeolla_Heungyang,e_goryeo,k_baekje,d_naju,c_boseong,b_Goryeo_Jeolla_Namyang,e_goryeo > k_baekje > d_naju > c_boseong > b_Goryeo_Jeolla_Namyang,manual_review,manual_review,no,0.577893,0.484848,0.997548,0.750000,0.000000,0.571429,224,462,392,4,1,13869,0.484848,0.000000,0.484848,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,review:manual,auto: low_confidence,1:12034:0.4848:0.5714 | 2:12595:0.2857:0.0107 | 3:12597:0.1667:0.0086 | 4:12032:0.0628:0.0430
