filter_reason,source_province_id,source_name,source_root_title,source_kingdom,source_duchy,source_county,source_barony,source_rgb,target_province_id,target_rgb,target_name,target_root_title,target_kingdom,target_duchy,target_county,target_barony,target_title_path,classification,status,apply_to_history,confidence,overlap_score,centroid_score,neighbor_score,name_score,target_coverage,overlap_pixels,source_pixel_count,target_pixel_count,candidate_count,target_source_count_all,target_best_source_id,target_best_overlap_score,target_second_best_overlap_score,target_overlap_gap,target_is_best_source,source_history_exists,source_history_file,live_target_history_exists,test_target_history_exists,target_kind,promotion_hint,notes,top_candidates
source_root,13597,Goryeo_Jeolla_Jeonju,e_goryeo,k_baekje,d_jeonju,c_jeonju,b_Goryeo_Jeolla_Jeonju,"80,244,248",12604,"212,226,248",sea_yellow_sea,,,,,,,merge,manual_review,no,0.677082,0.989362,0.978635,0.400000,0.000000,0.030254,465,470,15370,2,36,14279,1.000000,1.000000,0.000000,no,yes,00_MB_PROVINCES.txt,no,no,sea,blocked:no_target_title,auto: best_target_shared_by_multiple_sources,1:12604:0.9894:0.0303 | 2:12603:0.0106:0.0002
source_root,14278,Goryeo_Gyeongsang_Yeju,e_goryeo,k_silla,d_gyeongju,c_gyeongju,b_Goryeo_Gyeongsang_Yeju,"86,42,40",12604,"212,226,248",sea_yellow_sea,,,,,,,merge,manual_review,no,0.657781,0.951417,0.974856,0.400000,0.000000,0.030579,470,494,15370,2,36,14279,1.000000,1.000000,0.000000,no,yes,00_MB_PROVINCES.txt,no,no,sea,blocked:no_target_title,auto: best_target_shared_by_multiple_sources,1:12604:0.9514:0.0306 | 2:12598:0.0486:0.0016
source_root,14279,Goryeo_Gyeongsang_Cheongdo,e_goryeo,k_silla,d_jinju,c_ulju,b_Goryeo_Gyeongsang_Milseong,"223,231,3",12604,"212,226,248",sea_yellow_sea,,,,,,,merge,manual_review,no,0.642027,1.000000,0.975472,0.200000,0.000000,0.029863,459,459,15370,1,36,14279,1.000000,1.000000,0.000000,yes,yes,00_MB_PROVINCES.txt,no,no,sea,blocked:no_target_title,auto: best_target_shared_by_multiple_sources,1:12604:1.0000:0.0299
source_root,13608,Goryeo_Gyeongsang_Gyeongsanbu,e_goryeo,k_silla,d_jinju,c_hamyang,b_Goryeo_Gyeongsang_Gyeongsanbu,"91,4,13",12604,"212,226,248",sea_yellow_sea,,,,,,,merge,manual_review,no,0.641778,1.000000,0.984011,0.200000,0.000000,0.022511,346,346,15370,1,36,14279,1.000000,1.000000,0.000000,no,yes,00_MB_PROVINCES.txt,no,no,sea,blocked:no_target_title,auto: best_target_shared_by_multiple_sources,1:12604:1.0000:0.0225
source_root,14285,Goryeo_Gyeongsang_Giju,e_goryeo,k_silla,d_gyeongju,c_sangju,b_Goryeo_Gyeongsang_Giju,"27,41,181",12604,"212,226,248",sea_yellow_sea,,,,,,,merge,manual_review,no,0.641550,1.000000,0.983001,0.200000,0.000000,0.021666,333,333,15370,1,36,14279,1.000000,1.000000,0.000000,no,yes,00_MB_PROVINCES.txt,no,no,sea,blocked:no_target_title,auto: best_target_shared_by_multiple_sources,1:12604:1.0000:0.0217
source_root,14289,Goryeo_Gyeongsang_Yeongsan,e_goryeo,k_silla,d_jinju,c_guemju,b_Goryeo_Gyeongsang_Yeongsan,"75,243,103",12604,"212,226,248",sea_yellow_sea,,,,,,,merge,manual_review,no,0.641264,1.000000,0.979163,0.200000,0.000000,0.022316,343,343,15370,1,36,14279,1.000000,1.000000,0.000000,no,yes,00_MB_PROVINCES.txt,no,no,sea,blocked:no_target_title,auto: best_target_shared_by_multiple_sources,1:12604:1.0000:0.0223
source_root,13592,Goryeo_Yanggwan_Chungju,e_goryeo,k_baekje,d_chungju,c_chungju,b_Goryeo_Yanggwan_Chungju,"75,4,248",12604,"212,226,248",sea_yellow_sea,,,,,,,merge,manual_review,no,0.640756,1.000000,0.979844,0.200000,0.000000,0.018478,284,284,15370,1,36,14279,1.000000,1.000000,0.000000,no,yes,00_MB_PROVINCES.txt,no,no,sea,blocked:no_target_title,auto: best_target_shared_by_multiple_sources,1:12604:1.0000:0.0185
source_root,14258,Goryeo_Yanggwan_Seorim,e_goryeo,k_baekje,d_chungju,c_cheongju,b_Goryeo_Yanggwan_Seorim,"226,227,7",12604,"212,226,248",sea_yellow_sea,,,,,,,merge,manual_review,no,0.640662,1.000000,0.978125,0.200000,0.000000,0.018998,292,292,15370,1,36,14279,1.000000,1.000000,0.000000,no,yes,00_MB_PROVINCES.txt,no,no,sea,blocked:no_target_title,auto: best_target_shared_by_multiple_sources,1:12604:1.0000:0.0190
source_root,13600,Goryeo_Jeolla_Hampyeong,e_goryeo,k_baekje,d_naju,c_naju,b_Goryeo_Jeolla_Naju,"219,68,7",12603,"11,26,244",sea_yellow_sea,,,,,,,merge,manual_review,no,0.639311,1.000000,0.969817,0.200000,0.000000,0.015531,459,459,29553,1,24,13600,1.000000,1.000000,0.000000,yes,yes,00_MB_PROVINCES.txt,no,no,sea,blocked:no_target_title,auto: best_target_shared_by_multiple_sources,1:12603:1.0000:0.0155
source_root,13593,danluo,e_goryeo,k_tamna,d_tamna,c_danluo,b_danluo,"76,4,76",12603,"11,26,244",sea_yellow_sea,,,,,,,merge,manual_review,no,0.639088,1.000000,0.973111,0.200000,0.000000,0.011843,350,350,29553,1,24,13600,1.000000,1.000000,0.000000,no,yes,00_MB_PROVINCES.txt,no,no,sea,blocked:no_target_title,auto: best_target_shared_by_multiple_sources,1:12603:1.0000:0.0118
