filter_reason,source_province_id,source_name,source_root_title,source_kingdom,source_duchy,source_county,source_barony,source_rgb,target_province_id,target_rgb,target_name,target_root_title,target_kingdom,target_duchy,target_county,target_barony,target_title_path,classification,status,apply_to_history,confidence,overlap_score,centroid_score,neighbor_score,name_score,target_coverage,overlap_pixels,source_pixel_count,target_pixel_count,candidate_count,target_source_count_all,target_best_source_id,target_best_overlap_score,target_second_best_overlap_score,target_overlap_gap,target_is_best_source,source_history_exists,source_history_file,live_target_history_exists,test_target_history_exists,target_kind,promotion_hint,notes,top_candidates
target_root,10397,Little Andaman,h_india,k_tamilakam,d_hantuman,c_jarawa,b_onge,"163,113,93",1468,"127,144,34",Onge,e_srivijaya,k_malayadvipa,d_handumans,c_andamans,b_onge,e_srivijaya > k_malayadvipa > d_handumans > c_andamans > b_onge,exact,mapped,yes,0.950000,1.000000,1.000000,1.000000,0.000000,1.000000,140,140,140,1,1,10397,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:1468:1.0000:1.0000
target_root,10399,North Andaman,h_india,k_tamilakam,d_hantuman,c_hantuman,b_yerewa,"93,163,155",12848,"70,134,113",Diglipur,e_srivijaya,k_malayadvipa,d_handumans,c_andamans,b_diglipur,e_srivijaya > k_malayadvipa > d_handumans > c_andamans > b_diglipur,exact,mapped,yes,0.773209,0.846626,0.998959,0.500000,0.000000,1.000000,276,326,276,3,1,10399,0.846626,0.000000,0.846626,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,manual: target_fully_captured_and_unique_target,1:12848:0.8466:1.0000 | 2:11248:0.1258:0.0514 | 3:8687:0.0276:0.0002
target_root,10401,Nicobar Islands,h_india,k_tamilakam,d_hantuman,c_nakkavaram,b_nakkavaram,"142,148,205",12849,"26,82,45",Muot/Nancowry,e_srivijaya,k_malayadvipa,d_handumans,c_nakkavaram,b_nakkavaram,e_srivijaya > k_malayadvipa > d_handumans > c_nakkavaram > b_nakkavaram,exact,mapped,yes,0.598574,0.565625,0.990950,0.333333,0.000000,1.000000,181,320,181,2,1,10401,0.565625,0.000000,0.565625,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,manual: same_barony_path_id_reuse_to_current_target,1:12849:0.5656:1.0000 | 2:12850:0.0125:0.0002
target_root,10398,South Andaman,h_india,k_tamilakam,d_hantuman,c_jarawa,b_jarawa,"156,93,163",11248,"53,10,244",Nakkavaram/Nicobar,e_srivijaya,k_malayadvipa,d_handumans,c_andamans,b_marakele,e_srivijaya > k_malayadvipa > d_handumans > c_andamans > b_marakele,merge,manual_review,no,0.771278,1.000000,0.993833,0.500000,0.000000,0.479297,382,382,797,1,2,10398,1.000000,1.000000,0.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:11248:1.0000:0.4793
"source_root,target_root",10383,Empat Lawang,e_srivijaya,k_palembang,d_basemah,c_empat_lawang,b_empat_lawang,"54,87,29",11293,"29,45,29",SUM_Tumbesi,e_srivijaya,k_malayadvipa,d_SUM_jambi,c_SUM_jambi,b_SUM_Tumbesi,e_srivijaya > k_malayadvipa > d_SUM_jambi > c_SUM_jambi > b_SUM_Tumbesi,merge,manual_review,no,0.765186,0.982022,0.999166,0.571429,0.000000,0.399817,437,445,1093,4,2,10383,0.982022,0.484375,0.497647,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:11293:0.9820:0.3998 | 2:11291:0.0112:0.0034 | 3:11294:0.0045:0.0014 | 4:11292:0.0022:0.0006
target_root,10400,Middle Andaman,h_india,k_tamilakam,d_hantuman,c_hantuman,b_bojigyab,"93,100,163",11248,"53,10,244",Nakkavaram/Nicobar,e_srivijaya,k_malayadvipa,d_handumans,c_andamans,b_marakele,e_srivijaya > k_malayadvipa > d_handumans > c_andamans > b_marakele,merge,manual_review,no,0.736542,1.000000,0.994860,0.333333,0.000000,0.469260,374,374,797,1,2,10398,1.000000,1.000000,0.000000,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:11248:1.0000:0.4693
source_root,10724,Sarolangun,e_srivijaya,k_minangkabau,d_kerinci,c_serolangun,b_serolangun,"91,156,95",11241,"46,10,236",IMPASSABLE Sumatra mountains 6,,,,,,,split,manual_review,no,0.731937,0.806061,0.998964,0.750000,0.000000,0.526733,266,330,505,3,1,10724,0.806061,0.000000,0.806061,yes,yes,00_MB_PROVINCES.txt,no,no,impassable,blocked:no_target_title,auto: top_two_overlap_share,1:11241:0.8061:0.5267 | 2:11286:0.1576:0.0719 | 3:11287:0.0364:0.0108
target_root,13265,Ranong,e_angkor,k_lavapura,d_kra,c_kraburi,b_ranong,"106,48,44",11430,"65,76,40",THAI_Ranang,e_srivijaya,k_hujung_medini,d_MAL_langkasuka,c_THAI_takua_pa,b_THAI_Ranang,e_srivijaya > k_hujung_medini > d_MAL_langkasuka > c_THAI_takua_pa > b_THAI_Ranang,merge,manual_review,no,0.720083,0.936963,0.999012,0.571429,0.000000,0.249428,327,349,1311,2,3,13265,0.936963,0.745902,0.191061,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:11430:0.9370:0.2494 | 2:8691:0.0630:0.0009
"source_root,target_root",13449,Aceh Besar,e_srivijaya,k_samudera,d_SUM_aceh,c_lamuri,b_lamuri,"132,125,207",11254,"6,86,34",SUM_Lamuri,e_srivijaya,k_malayadvipa,d_SUM_aceh,c_SUM_lambri,b_SUM_Lamuri,e_srivijaya > k_malayadvipa > d_SUM_aceh > c_SUM_lambri > b_SUM_Lamuri,merge,manual_review,no,0.717926,1.000000,0.996861,0.428571,0.000000,0.216834,237,237,1093,1,2,13449,1.000000,0.992337,0.007663,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:11254:1.0000:0.2168
target_root,11132,Bu Nga,e_malayadvipa,k_tambralinga,d_takola,c_takola,b_bu_nga,"124,202,38",11428,"4,76,29",THAI_Takua_Pa,e_srivijaya,k_hujung_medini,d_MAL_langkasuka,c_THAI_takua_pa,b_THAI_Takua_Pa,e_srivijaya > k_hujung_medini > d_MAL_langkasuka > c_THAI_takua_pa > b_THAI_Takua_Pa,merge,manual_review,no,0.714234,0.975177,0.995246,0.500000,0.000000,0.180802,275,282,1521,2,3,11131,1.000000,0.975177,0.024823,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:11428:0.9752:0.1808 | 2:11429:0.0248:0.0070
