filter_reason,source_province_id,source_name,source_root_title,source_kingdom,source_duchy,source_county,source_barony,source_rgb,target_province_id,target_rgb,target_name,target_root_title,target_kingdom,target_duchy,target_county,target_barony,target_title_path,classification,status,apply_to_history,confidence,overlap_score,centroid_score,neighbor_score,name_score,target_coverage,overlap_pixels,source_pixel_count,target_pixel_count,candidate_count,target_source_count_all,target_best_source_id,target_best_overlap_score,target_second_best_overlap_score,target_overlap_gap,target_is_best_source,source_history_exists,source_history_file,live_target_history_exists,test_target_history_exists,target_kind,promotion_hint,notes,top_candidates
target_title_block,9319,Derong,e_tibet,k_kham,d_batang,c_gyaitang,b_derong,"177,54,187",9319,"177,54,187",Derong,e_tibet,k_kham,d_batang,c_gyaitang,b_derong,e_tibet > k_kham > d_batang > c_gyaitang > b_derong,exact,mapped,yes,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,858,858,858,1,1,9319,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9319:1.0000:1.0000
target_title_block,9332,Shade,e_tibet,k_gyalrong,d_chakla,c_chakla,b_shade,"93,93,66",9332,"93,93,66",Shade,e_tibet,k_gyalrong,d_chakla,c_chakla,b_shade,e_tibet > k_gyalrong > d_chakla > c_chakla > b_shade,exact,mapped,yes,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,748,748,748,1,1,9332,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9332:1.0000:1.0000
target_title_block,9353,Dewu,e_tibet,k_kham,d_batang,c_batang,b_dewu,"135,156,204",9353,"135,156,204",Dewu,e_tibet,k_kham,d_batang,c_batang,b_dewu,e_tibet > k_kham > d_batang > c_batang > b_dewu,exact,mapped,yes,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,792,792,792,1,1,9353,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9353:1.0000:1.0000
target_title_block,9451,Ngawa,e_tibet,k_gyalrong,d_gyalrong,c_ngawa,b_ngawa,"51,24,153",9451,"51,24,153",Ngawa,e_tibet,k_gyalrong,d_gyalrong,c_ngawa,b_ngawa,e_tibet > k_gyalrong > d_gyalrong > c_ngawa > b_ngawa,exact,mapped,yes,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1760,1760,1760,1,1,9451,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9451:1.0000:1.0000
target_title_block,9453,Zoige,e_tibet,k_gyalrong,d_gyalrong,c_zoige,b_zoige,"135,30,154",9453,"135,30,154",Zoige,e_tibet,k_gyalrong,d_gyalrong,c_zoige,b_zoige,e_tibet > k_gyalrong > d_gyalrong > c_zoige > b_zoige,exact,mapped,yes,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2890,2890,2890,1,1,9453,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9453:1.0000:1.0000
target_title_block,9455,Khyungchu,e_tibet,k_gyalrong,d_gyalrong,c_ngawa,b_khyungchu,"9,36,155",9455,"9,36,155",Khyungchu,e_tibet,k_gyalrong,d_gyalrong,c_ngawa,b_khyungchu,e_tibet > k_gyalrong > d_gyalrong > c_ngawa > b_khyungchu,exact,mapped,yes,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2408,2408,2408,1,1,9455,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9455:1.0000:1.0000
target_title_block,9462,Rongbur,e_tibet,k_gyalrong,d_gyalrong,c_barkam,b_rongbur,"93,57,31",9462,"93,57,31",Rongbur,e_tibet,k_gyalrong,d_gyalrong,c_barkam,b_rongbur,e_tibet > k_gyalrong > d_gyalrong > c_barkam > b_rongbur,exact,mapped,yes,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,969,969,969,1,1,9462,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9462:1.0000:1.0000
target_title_block,9464,Quqen,e_tibet,k_gyalrong,d_gyalrong,c_quqen,b_quqen,"177,63,32",9464,"177,63,32",Quqen,e_tibet,k_gyalrong,d_gyalrong,c_quqen,b_quqen,e_tibet > k_gyalrong > d_gyalrong > c_quqen > b_quqen,exact,mapped,yes,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1257,1257,1257,1,1,9464,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9464:1.0000:1.0000
target_title_block,9318,Gyaitang,e_tibet,k_kham,d_batang,c_gyaitang,b_gyaitang,"135,51,59",9318,"135,51,59",Gyaitang,e_tibet,k_kham,d_batang,c_gyaitang,b_gyaitang,e_tibet > k_kham > d_batang > c_gyaitang > b_gyaitang,exact,mapped,yes,0.999376,0.999434,0.999980,1.000000,1.000000,0.997739,1765,1766,1769,2,1,9318,0.999434,0.000000,0.999434,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9318:0.9994:0.9977 | 2:9316:0.0006:0.0007
target_title_block,9321,Qagcheng,e_tibet,k_kham,d_batang,c_batang,b_qagcheng,"51,60,188",9321,"51,60,188",Qagcheng,e_tibet,k_kham,d_batang,c_batang,b_qagcheng,e_tibet > k_kham > d_batang > c_batang > b_qagcheng,exact,mapped,yes,0.993057,1.000000,0.999735,1.000000,1.000000,0.953893,1262,1262,1323,1,1,9321,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9321:1.0000:0.9539
