filter_reason,source_province_id,source_name,source_root_title,source_kingdom,source_duchy,source_county,source_barony,source_rgb,target_province_id,target_rgb,target_name,target_root_title,target_kingdom,target_duchy,target_county,target_barony,target_title_path,classification,status,apply_to_history,confidence,overlap_score,centroid_score,neighbor_score,name_score,target_coverage,overlap_pixels,source_pixel_count,target_pixel_count,candidate_count,target_source_count_all,target_best_source_id,target_best_overlap_score,target_second_best_overlap_score,target_overlap_gap,target_is_best_source,source_history_exists,source_history_file,live_target_history_exists,test_target_history_exists,target_kind,promotion_hint,notes,top_candidates
target_title_block,9527,Anning,h_china,k_xia,d_liangzhou,c_baiyin,b_anning,"93,39,191",9527,"93,39,191",Anning,h_china,k_hexi,d_hexi,c_zhanyin,b_zhiyang,h_china > e_yongliang > k_hexi > d_hexi > c_zhanyin > b_zhiyang,exact,mapped,yes,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,376,376,376,1,1,9527,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9527:1.0000:1.0000
target_title_block,9528,Yongdeng,h_china,k_xia,d_liangzhou,c_yongdeng,b_yongdeng,"135,42,64",9528,"135,42,64",Yongdeng,h_china,k_hexi,d_hexi,c_guangwu,b_guangwu,h_china > e_yongliang > k_hexi > d_hexi > c_guangwu > b_guangwu,exact,mapped,yes,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,847,847,847,1,1,9528,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9528:1.0000:1.0000
target_title_block,9530,Gaolan,h_china,k_xia,d_liangzhou,c_baiyin,b_gaolan,"9,48,65",9530,"9,48,65",Gaolan,h_china,k_hexi,d_hexi,c_zhanyin,b_aowei,h_china > e_yongliang > k_hexi > d_hexi > c_zhanyin > b_aowei,exact,mapped,yes,0.971429,1.000000,1.000000,0.857143,1.000000,1.000000,580,580,580,1,1,9530,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9530:1.0000:1.0000
target_title_block,9525,Dajing,h_china,k_xia,d_liangzhou,c_dajing,b_dajing,"9,33,190",9525,"9,33,190",Dajing,h_china,k_hexi,d_hexi,c_baishan,b_baishan,h_china > e_yongliang > k_hexi > d_hexi > c_baishan > b_baishan,exact,mapped,yes,0.960000,1.000000,1.000000,0.800000,1.000000,1.000000,1094,1094,1094,1,1,9525,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9525:1.0000:1.0000
target_title_block,9531,Baiyin,h_china,k_xia,d_liangzhou,c_baiyin,b_baiyin,"51,51,193",9531,"51,51,193",Baiyin,h_china,k_hexi,d_hexi,c_zhanyin,b_zhanyin,h_china > e_yongliang > k_hexi > d_hexi > c_zhanyin > b_zhanyin,exact,mapped,yes,0.960000,1.000000,1.000000,0.800000,1.000000,1.000000,808,808,808,1,1,9531,1.000000,0.000000,1.000000,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9531:1.0000:1.0000
target_title_block,9529,Jingtai,h_china,k_xia,d_liangzhou,c_dajing,b_jingtai,"177,45,192",9529,"177,45,192",Jingtai,h_china,k_hexi,d_hexi,c_baishan,b_xinquan,h_china > e_yongliang > k_hexi > d_hexi > c_baishan > b_xinquan,exact,mapped,yes,0.949279,0.998559,0.999992,0.750000,1.000000,1.000000,693,694,693,2,1,9529,0.998559,0.000000,0.998559,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,ready:exact,auto: dominant_overlap,1:9529:0.9986:1.0000 | 2:9534:0.0014:0.0009
target_title_block,12797,Chencang,h_china,k_qin_china,d_fengxiang_china,c_fengxiang_china,b_chencang_china,"25,190,220",12206,"16,27,199",b_fengxiang_tianxing,h_china,k_guannei,d_fengxiang,c_fengxiang,b_tianxing,h_china > e_yongliang > k_guannei > d_fengxiang > c_fengxiang > b_tianxing,merge,manual_review,no,0.805016,0.982699,0.997715,0.833333,0.000000,0.314856,284,289,902,2,2,12797,0.982699,0.460265,0.522434,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:12206:0.9827:0.3149 | 2:12334:0.0173:0.0073
target_title_block,12916,Hezhou,h_china,k_longxi_china,d_shanzhou,c_hezhou_china,b_hezhou_longyou_china,"16,37,29",12366,"24,3,61",CirQF_Longxi,h_china,k_hexi,d_longyou,c_hezhou_2,b_daxia,h_china > e_yongliang > k_hexi > d_longyou > c_hezhou_2 > b_daxia,merge,manual_review,no,0.796610,0.976680,0.997857,0.600000,0.000000,0.589892,712,729,1207,3,4,12965,1.000000,1.000000,0.000000,no,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:not_primary_target_source,auto: best_target_shared_by_multiple_sources,1:12366:0.9767:0.5899 | 2:13179:0.0178:0.0208 | 3:12368:0.0055:0.0043
target_title_block,14077,14077,,,,,,"60,102,189",12210,"13,249,23",b_fanzhou_shengping,h_china,k_guannei,d_fufang,c_fangzhou,b_shengping,h_china > e_yongliang > k_guannei > d_fufang > c_fangzhou > b_shengping,split,manual_review,no,0.794355,0.942913,0.998797,0.750000,0.000000,0.486789,479,508,984,5,1,14077,0.942913,0.000000,0.942913,yes,no,,yes,yes,playable,blocked:no_source_history,auto: top_two_overlap_share,1:12210:0.9429:0.4868 | 2:12217:0.0394:0.0360 | 3:12199:0.0138:0.0103 | 4:12216:0.0020:0.0018 | 5:12196:0.0020:0.0014
target_title_block,12856,Longzhouqianyuan,h_china,k_qin_china,d_fengxiang_china,c_longzhou_china,b_longzhouqianyuan_china,"47,48,253",12203,"213,16,7",b_longzhou_qianyuan,h_china,k_guannei,d_fengxiang,c_longzhou_2,b_qianyuan,h_china > e_yongliang > k_guannei > d_fengxiang > c_longzhou_2 > b_qianyuan,merge,manual_review,no,0.750215,0.941176,0.998241,0.571429,0.000000,0.436782,304,323,696,3,2,12856,0.941176,0.588040,0.353136,yes,yes,00_MB_PROVINCES.txt,yes,yes,playable,blocked:shared_target_low_coverage,auto: best_target_shared_by_multiple_sources,1:12203:0.9412:0.4368 | 2:12204:0.0557:0.0301 | 3:12207:0.0031:0.0011
