source_root_title,row_count,with_source_history,review_high_overlap,review_target_fully_captured,review_strong_single_candidate,review_manual,blocked_not_primary_target_source,blocked_shared_target_low_coverage,blocked_no_source_history
h_china,1261,0,0,0,0,0,0,0,0
<blank>,660,0,0,0,0,0,0,0,0
e_kambuja,253,0,0,0,0,0,0,0,0
e_angkor,228,0,0,0,0,0,0,0,0
e_tunguse,228,0,0,0,0,0,0,0,0
e_srivijaya,185,0,0,0,0,0,0,0,0
e_japan,172,0,0,0,0,0,0,0,0
e_burma,147,0,0,0,0,0,0,0,0
e_panyupayana,146,0,0,0,0,0,0,0,0
e_goryeo,139,0,0,0,0,0,0,0,0
e_great_liao,111,0,0,0,0,0,0,0,0
e_java,106,0,0,0,0,0,0,0,0
e_kalimantan,102,0,0,0,0,0,0,0,0
e_maluku,94,0,0,0,0,0,0,0,0
e_jurchen_china,93,0,0,0,0,0,0,0,0
e_mongolia,83,0,0,0,0,0,0,0,0
e_ramanya,75,0,0,0,0,0,0,0,0
e_malayadvipa,68,0,0,0,0,0,0,0,0
e_tibet,18,0,0,0,0,0,0,0,0
h_india,8,0,0,0,0,0,0,0,0
e_kirghiz_khanate,1,0,0,0,0,0,0,0,0
