source_province_id,source_province_name,source_root_title,source_kingdom,source_duchy,source_county,source_barony,target_province_id,target_province_name,target_root_title,target_kingdom,target_duchy,target_county,target_barony,classification,status,apply_to_history,promotion_hint,target_kind,source_history_exists,confidence,overlap_score,target_coverage,target_source_count_all,target_best_source_id,target_best_overlap_score,target_overlap_gap,notes,top_candidates
8685,,<blank>,<blank>,<blank>,<blank>,<blank>,8685,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,sea,,0.976434,0.991846,0.973413,,,,,auto: best_target_shared_by_multiple_sources,1:8685:0.9918:0.9734 | 2:8686:0.0079:0.0133 | 3:9632:0.0002:0.0033 | 4:9591:0.0001:0.0006 | 5:8687:0.0001:0.0000
11843,,<blank>,<blank>,<blank>,<blank>,<blank>,11501,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,impassable,,0.939679,0.987578,0.972849,,,,,auto: best_target_shared_by_multiple_sources,1:11501:0.9876:0.9728 | 2:11531:0.0116:0.0107 | 3:11530:0.0004:0.0003 | 4:12564:0.0004:0.0003
14552,,e_mongolia,k_gobi,d_gobi_ongi,c_gobi_ulaan_govi,b_gobi_ochikhi,12568,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.899148,0.948642,0.943629,,,,,auto: best_target_shared_by_multiple_sources,1:12568:0.9486:0.9436 | 2:12567:0.0059:0.0065 | 3:12569:0.0006:0.0006
11886,,<blank>,<blank>,<blank>,<blank>,<blank>,11931,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,impassable,,0.889026,0.980149,0.993807,,,,,auto: best_target_shared_by_multiple_sources,1:11931:0.9801:0.9938 | 2:11932:0.0100:0.0111 | 3:11930:0.0098:0.0207 | 4:1466:0.0000:0.0000
9571,,e_burma,k_pagan,d_binnaka,c_yamethin,b_yamethin,9571,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.881986,0.956298,0.551111,,,,,auto: best_target_shared_by_multiple_sources,1:9571:0.9563:0.5511 | 2:9572:0.0334:0.0177 | 3:9593:0.0103:0.0031
13066,,h_china,k_dali,d_yongchang,c_yongchang,b_shengxiang,10899,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.876009,0.982514,0.589895,,,,,auto: best_target_shared_by_multiple_sources,1:10899:0.9825:0.5899 | 2:10870:0.0087:0.0040 | 3:10900:0.0066:0.0035 | 4:10901:0.0022:0.0015
11959,,e_mongolia,k_kerait,d_ovorkhangai,c_gobi_gurvan_saikhan,b_gobi_gashunn,12563,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.866718,0.976531,0.967678,,,,,auto: best_target_shared_by_multiple_sources,1:12563:0.9765:0.9677 | 2:1408:0.0004:0.0000
11733,,<blank>,<blank>,<blank>,<blank>,<blank>,12737,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,sea,,0.863685,0.998617,0.538106,,,,,auto: best_target_shared_by_multiple_sources,1:12737:0.9986:0.5381 | 2:12736:0.0014:0.0013
11861,,<blank>,<blank>,<blank>,<blank>,<blank>,11930,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,impassable,,0.863149,0.895233,0.962790,,,,,auto: best_target_shared_by_multiple_sources,1:11930:0.8952:0.9628 | 2:11503:0.0328:0.1618 | 3:11554:0.0310:0.2450 | 4:11552:0.0277:0.2581 | 5:11932:0.0078:0.0044
14633,,e_great_liao,k_khitan_china,d_changchun_china,c_LIAO_horqinan,b_FIC_Liao_Horqin,11727,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.857355,0.917740,0.493651,,,,,auto: top_two_overlap_share,1:11727:0.9177:0.4937 | 2:11728:0.0687:0.0434 | 3:11726:0.0107:0.0052 | 4:11525:0.0029:0.0009
14561,,e_mongolia,k_mongolia,d_ogrash,c_EM_khaldun,b_FIC_Mong_Ononekh,11547,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.854911,0.773265,0.790089,,,,,auto: top_two_overlap_share,1:11547:0.7733:0.7901 | 2:11537:0.0974:0.1087 | 3:11538:0.0915:0.0913 | 4:11549:0.0185:0.0155 | 5:11502:0.0166:0.0096
9555,,e_burma,k_pagan,d_pagan,c_pakokku,b_pakokku,9554,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.853710,0.972093,0.452871,,,,,auto: top_two_overlap_share,1:9554:0.9721:0.4529 | 2:8610:0.0256:0.0250 | 3:9639:0.0023:0.0011
8722,,h_india,k_bengal_east,d_chattogram,c_chatigama,b_karnaphuli,8722,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.852979,0.786573,0.732960,,,,,auto: top_two_overlap_share,1:8722:0.7866:0.7330 | 2:854:0.1864:0.0951 | 3:828:0.0160:0.0251 | 4:829:0.0110:0.0114
13373,,e_kambuja,k_chenla,d_koh_kong,c_khemara_phoumin,b_khemara_phoumin,11461,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.852351,0.976798,0.426978,,,,,auto: top_two_overlap_share,1:11461:0.9768:0.4270 | 2:12729:0.0232:0.0009
13508,,<blank>,<blank>,<blank>,<blank>,<blank>,12729,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,sea,,0.850395,0.876412,0.669633,,,,,auto: best_target_shared_by_multiple_sources,1:12729:0.8764:0.6696 | 2:12730:0.0497:0.0393 | 3:12728:0.0263:0.0292 | 4:11461:0.0182:0.1582 | 5:10951:0.0175:0.0759
9578,,e_ramanya,k_arakan,d_arakan,c_vaisali,b_mrauk_u,9578,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.849176,0.792325,0.953804,,,,,auto: top_two_overlap_share,1:9578:0.7923:0.9538 | 2:9579:0.1580:0.1679 | 3:9576:0.0339:0.0291 | 4:9577:0.0158:0.0131
9643,,e_burma,k_tagaung,d_tagaung,c_takon,b_takon,9643,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.848285,0.971579,0.585289,,,,,auto: best_target_shared_by_multiple_sources,1:9643:0.9716:0.5853 | 2:9642:0.0221:0.0211 | 3:11452:0.0042:0.0022 | 4:8611:0.0021:0.0056
14502,,e_tunguse,k_shiwei,d_SW_sushenguo,c_SW_fancao,b_FIC_Amur_Fancao,11666,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.845177,0.973160,0.416475,,,,,auto: top_two_overlap_share,1:11666:0.9732:0.4165 | 2:11667:0.0153:0.0078 | 3:11669:0.0115:0.0071
9566,,<blank>,<blank>,<blank>,<blank>,<blank>,9566,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.835623,0.871073,0.800568,,,,,auto: best_target_shared_by_multiple_sources,1:9566:0.8711:0.8006 | 2:9592:0.0397:0.1441 | 3:826:0.0300:0.0928 | 4:9590:0.0297:0.1302 | 5:9564:0.0146:0.1889
14559,,e_mongolia,k_mongolia,d_ogrash,c_EM_khaldun,b_FIC_Mong_Olongoluud,11538,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.833824,0.771800,0.654860,,,,,auto: top_two_overlap_share,1:11538:0.7718:0.6549 | 2:11539:0.0932:0.1075 | 3:11537:0.0705:0.0669 | 4:11522:0.0450:0.0357 | 5:11546:0.0195:0.0172
14616,,e_great_liao,k_khitan_china,d_tohchen_china,c_woye,b_Liao_Gaozhou,11715,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.833468,0.907023,0.424341,,,,,auto: top_two_overlap_share,1:11715:0.9070:0.4243 | 2:12428:0.0504:0.0245 | 3:11714:0.0425:0.0226
14558,,e_mongolia,k_mongolia,d_ogrash,c_EM_khaldun,b_FIC_Mong_Ulaondor,11537,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.830575,0.723695,0.792785,,,,,auto: top_two_overlap_share,1:11537:0.7237:0.7928 | 2:11538:0.1225:0.1200 | 3:11534:0.0743:0.1089 | 4:11502:0.0442:0.0252 | 5:11539:0.0353:0.0471
9457,,e_tibet,k_gyalrong,d_gyalrong,c_sungqu,b_choqu,9457,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.830391,0.889226,0.811073,,,,,auto: best_target_shared_by_multiple_sources,1:9457:0.8892:0.8111 | 2:12535:0.1077:0.1940 | 3:13218:0.0030:0.0021
9641,,e_burma,k_tagaung,d_myinmu,c_madaya,b_singu,9641,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.828427,0.792453,0.550459,,,,,auto: top_two_overlap_share,1:9641:0.7925:0.5505 | 2:9643:0.1094:0.0368 | 3:9642:0.0868:0.0462 | 4:8611:0.0113:0.0167
9331,,e_tibet,k_gyalrong,d_chakla,c_lhagang,b_lhagang,9331,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.828091,0.658310,0.994390,,,,,auto: top_two_overlap_share,1:9331:0.6583:0.9944 | 2:13231:0.3417:0.1779
14647,,e_great_liao,k_khitan_china,d_hiyaxu_china,c_lxj_huanzhou,b_cirlxj_dongting,12407,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.827711,0.971973,0.548734,,,,,auto: top_two_overlap_share,1:12407:0.9720:0.5487 | 2:12408:0.0213:0.0148 | 3:12412:0.0067:0.0033
