source_province_id,source_name,source_rgb,classification,status,apply_to_history,target_province_id,target_name,confidence
808,Tinsukia,"126,81,4",exact,mapped,yes,808,Tinsukia,0.866667
811,Carguya,"42,90,133",exact,mapped,yes,811,Carguya,0.942085
826,Manipur,"42,135,13",exact,mapped,yes,826,Manipur,0.926107
827,Khoupum,"84,138,141",exact,mapped,yes,827,Khoupum,1.000000
828,Chatigama,"126,141,14",merge,manual_review,no,828,Chatigama,0.809343
829,Candranatha,"168,144,142",exact,mapped,yes,829,Candranatha,0.947415
830,Pattikera,"0,147,15",exact,mapped,yes,830,Pattikera,1.000000
854,Tlawng,"169,90,12",exact,mapped,yes,854,Tlawng,0.984248
1293,EAST INDIAN OCEAN TI,"127,45,174",merge,manual_review,no,12763,sea_indian_ocean,0.581361
1408,Anxi,"169,132,32",manual_review,manual_review,no,,,0.000000
1466,Eastern Wasteland 1,"43,138,33",merge,manual_review,no,1466,Eastern Wasteland 1,0.737635
1468,Eastern Wasteland 3,"127,144,34",merge,manual_review,no,12666,sea_pacific_ocean,0.521293
1469,Eastern Wasteland 2,"169,147,162",split,manual_review,no,8892,b_guangzhou_nanhai,0.443164
1470,Eastern Wasteland 4,"1,150,35",merge,manual_review,no,12738,sea_indian_ocean,0.431886
1488,RUSSIAN LAKES 4,"127,204,44",merge,manual_review,no,11740,FIC_Liao_Shuangliao,0.636671
1496,LAKES EAST OF BURMA,"43,15,48",merge,manual_review,no,10938,Sakhon_Nakhon,0.600797
4885,Mountains,"4,171,170",merge,manual_review,no,13268,,0.707330
6305,Mountains,"6,171,180",merge,manual_review,no,12903,Viet_Mountains_8,0.607926
7269,Mountains,"175,81,162",merge,manual_review,no,10478,b_qianzhou_qianjiang,0.361203
7520,Longcheng,"7,195,60",merge,manual_review,no,11501,IMPASSABLE Yablonoi south,0.600114
7570,Ongi,"7,132,85",manual_review,manual_review,no,,,0.000000
7693,Saranka,"133,75,174",merge,manual_review,no,11930,IMPASSABLE Mongolian wasteland 1,0.482336
7696,Oungo,"49,84,48",merge,manual_review,no,11930,IMPASSABLE Mongolian wasteland 1,0.598723
7700,Yera,"7,96,50",merge,manual_review,no,11931,IMPASSABLE Mongolian wasteland 2,0.595624
7714,Vitim,"175,138,57",merge,manual_review,no,11931,IMPASSABLE Mongolian wasteland 2,0.593793
8338,,"134,93,69",merge,manual_review,no,12521,Viet_Mountains_2,0.611861
8543,GOBI DESERT,"134,69,199",merge,manual_review,no,8543,GOBI DESERT,0.773591
8556,HIMALAYA,"50,108,78",manual_review,manual_review,no,8556,HIMALAYA,0.434952
8606,river_irrawaddy_delta,"50,45,3",exact,mapped,yes,8606,river_irrawaddy_delta,0.913532
8607,river_irrawaddy_delta,"92,48,131",exact,mapped,yes,8607,river_irrawaddy_delta,0.837183
8608,river_irrawaddy,"134,51,4",exact,mapped,yes,8608,river_irrawaddy,0.907420
8609,river_irrawaddy,"176,54,132",exact,mapped,yes,8609,river_irrawaddy,0.951876
8610,river_irrawaddy,"8,57,5",exact,mapped,yes,8610,river_irrawaddy,0.936453
8611,river_irrawaddy,"50,60,133",exact,mapped,yes,8611,river_irrawaddy,0.945795
8684,sea_bay_of_bengal,"176,66,42",merge,manual_review,no,8685,sea_bay_of_bengal,0.662554
8685,sea_bay_of_bengal,"8,69,170",merge,manual_review,no,8685,sea_bay_of_bengal,0.976434
8686,sea_gulf_martaban,"50,72,43",split,manual_review,no,8686,sea_gulf_martaban,0.718495
8687,sea_andaman,"92,75,171",merge,manual_review,no,8687,sea_andaman,0.761718
8691,ANDAMAN SEA,"50,87,173",merge,manual_review,no,12735,sea_natuna,0.614384
8722,Karnaphuli,"92,180,61",split,manual_review,no,8722,Karnaphuli,0.852979
9168,Hawai,"135,27,84",exact,mapped,yes,9168,Hawai,0.893502
9174,Zayu,"177,45,87",exact,mapped,yes,9174,Zayu,0.914844
9175,Rima,"9,48,215",exact,mapped,yes,9175,Rima,0.920829
9176,Golag,"51,51,88",split,manual_review,no,9176,Golag,0.792191
9177,Cawarong,"93,54,216",exact,mapped,yes,9177,Cawarong,0.862816
9178,Goyu,"135,57,89",merge,manual_review,no,9178,Goyu,0.799307
9202,Mountains,"93,129,1",merge,manual_review,no,10983,Hpakant,0.662797
9252,Mountains,"93,66,26",merge,manual_review,no,10905,Weichu_Luopan,0.441030
9281,Baxoi,"51,153,168",exact,mapped,yes,9281,Baxoi,0.929644
9282,Zogang,"93,156,41",exact,mapped,yes,9282,Zogang,0.857219
9283,Kagong,"135,159,169",manual_review,manual_review,no,9283,Kagong,0.926530
9315,Jangpa,"9,42,185",exact,mapped,yes,9315,Jangpa,0.876486
9316,Deqen,"51,45,58",exact,mapped,yes,9316,Deqen,0.924434
9317,Balung,"93,48,186",split,manual_review,no,9317,Balung,0.732656
9318,Gyaitang,"135,51,59",exact,mapped,yes,9318,Gyaitang,0.999376
9319,Derong,"177,54,187",exact,mapped,yes,9319,Derong,1.000000
9320,Dabba_Tibet,"9,57,60",exact,mapped,yes,9320,Dabba_Tibet,0.971319
9321,Qagcheng,"51,60,188",exact,mapped,yes,9321,Qagcheng,0.993057
9322,Takchongrong,"93,63,61",exact,mapped,yes,9322,Takchongrong,0.991092
9324,Lenggu,"177,69,62",merge,manual_review,no,9324,Lenggu,0.791907
9328,Gyezil,"135,81,64",split,manual_review,no,9328,Gyezil,0.635735
9329,Jagsam,"177,84,192",merge,manual_review,no,13231,,0.498559
9330,Darzedo,"9,87,65",split,manual_review,no,9330,Darzedo,0.756298
9331,Lhagang,"51,90,193",split,manual_review,no,9331,Lhagang,0.828091
9332,Shade,"93,93,66",exact,mapped,yes,9332,Shade,1.000000
9333,Rongzhag,"135,96,194",split,manual_review,no,9333,Rongzhag,0.755195
9334,Dawu,"177,99,67",exact,mapped,yes,9334,Dawu,0.951709
9353,Dewu,"135,156,204",exact,mapped,yes,9353,Dewu,1.000000
9359,Mountains,"177,174,207",manual_review,manual_review,no,12440,b_cizhou_luxiang,0.462383
9401,Mountains,"51,87,128",merge,manual_review,no,12243,b_xizhou_xichuan,0.444022
9441,Hzo,"51,207,148",merge,manual_review,no,12366,CirQF_Longxi,0.599032
9442,Linten,"93,210,21",exact,mapped,yes,9442,Linten,0.957551
9443,Jone,"135,0,149",merge,manual_review,no,9443,Jone,0.799797
9444,Tewo,"177,3,22",exact,mapped,yes,9444,Tewo,0.951348
9445,Zhugqu,"9,6,150",split,manual_review,no,9445,Zhugqu,0.608093
9451,Ngawa,"51,24,153",exact,mapped,yes,9451,Ngawa,1.000000
9453,Zoige,"135,30,154",exact,mapped,yes,9453,Zoige,1.000000
9454,Yunglro,"177,33,27",split,manual_review,no,9454,Yunglro,0.815432
9455,Khyungchu,"9,36,155",exact,mapped,yes,9455,Khyungchu,1.000000
9456,Sungqu,"51,39,28",split,manual_review,no,9456,Sungqu,0.781228
9457,Choqu,"93,42,156",merge,manual_review,no,9457,Choqu,0.830391
9458,Maowun,"135,45,29",manual_review,manual_review,no,12535,b_xunzhou_ehe,0.492246
9459,Sumshul,"177,48,157",manual_review,manual_review,no,7115,b_maozhou_wenshan,0.373773
9460,Wunchoin,"9,51,30",manual_review,manual_review,no,12287,b_siqiongzhou_yuexi,0.405815
9462,Rongbur,"93,57,31",exact,mapped,yes,9462,Rongbur,1.000000
9463,Barkam,"135,60,159",exact,mapped,yes,9463,Barkam,0.944151
9464,Quqen,"177,63,32",exact,mapped,yes,9464,Quqen,1.000000
9465,Trashingling,"9,66,160",merge,manual_review,no,13218,,0.417736
9466,Zainlha,"51,69,33",manual_review,manual_review,no,9466,Zainlha,0.666685
9467,Kharsa,"93,72,161",exact,mapped,yes,9467,Kharsa,0.913740
9525,Dajing,"9,33,190",exact,mapped,yes,9525,Dajing,0.960000
9527,Anning,"93,39,191",exact,mapped,yes,9527,Anning,1.000000
9528,Yongdeng,"135,42,64",exact,mapped,yes,9528,Yongdeng,1.000000
9529,Jingtai,"177,45,192",exact,mapped,yes,9529,Jingtai,0.949279
9530,Gaolan,"9,48,65",exact,mapped,yes,9530,Gaolan,0.971429
9531,Baiyin,"51,51,193",exact,mapped,yes,9531,Baiyin,0.960000
9532,Nanhu,"93,54,66",merge,manual_review,no,9533,Chaganbulage,0.697702
9533,Chaganbulage,"135,57,194",merge,manual_review,no,9533,Chaganbulage,0.545191
9534,Shapotou,"177,60,67",merge,manual_review,no,9534,Shapotou,0.564642
9535,Chaogetuhure,"9,63,195",merge,manual_review,no,9534,Shapotou,0.473604
9536,Dingyuanying,"51,66,68",merge,manual_review,no,8543,GOBI DESERT,0.603686
9537,Wuluhai,"93,69,196",exact,mapped,yes,9537,Wuluhai,0.904250
9538,Wuyuan,"135,72,69",split,manual_review,no,12973,b_fengzhou_north,0.611907
9539,Dengkou,"177,75,197",exact,mapped,yes,9539,Dengkou,0.849349
9540,Zhongcun,"9,78,70",merge,manual_review,no,8543,GOBI DESERT,0.440737
9542,Wuda,"93,84,71",manual_review,manual_review,no,12961,b_lingzhou_dingyuan_north,0.528357
9543,Shizuizi,"135,87,199",split,manual_review,no,12960,b_lingzhou_huaiyuan,0.710564
9544,Dingzhou,"177,90,72",split,manual_review,no,12957,b_weizhou_mingsha_north,0.645336
9545,Shunzhou,"9,93,200",split,manual_review,no,13086,b_xiongzhou_changhua_east,0.612144
9546,Xingqing,"51,96,73",split,manual_review,no,12159,b_lingzhou_lingwu,0.713654
9547,Xiping,"93,99,201",manual_review,manual_review,no,13140,b_xiongzhou_changhua_north_2,0.486878
9550,Pagan,"9,108,75",merge,manual_review,no,9550,Pagan,0.639946
9551,Popa,"51,111,203",split,manual_review,no,9551,Popa,0.674048
