source_province_id,source_rgb,target_province_id,target_rgb,classification,confidence,overlap_score,centroid_score,neighbor_score,source_root_title,source_kingdom,source_duchy,source_county,source_barony,apply_to_history,notes,status,source_name,target_name,target_coverage,overlap_pixels,source_pixel_count,target_pixel_count,candidate_count,name_score,top_candidates
828,"126,141,14",828,"126,141,14",merge,0.809343,0.980132,0.996843,0.500000,h_india,k_bengal_east,d_chattogram,c_chatigama,b_chatigama,no,auto: best_target_shared_by_multiple_sources,manual_review,Chatigama,Chatigama,0.463950,296,302,638,2,1.000000,1:828:0.9801:0.4639 | 2:829:0.0199:0.0062
1293,"127,45,174",12763,"126,186,199",merge,0.581361,0.883921,0.482382,0.157895,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,EAST INDIAN OCEAN TI,sea_indian_ocean,0.263887,411412,465440,1559046,8,0.400000,1:12763:0.8839:0.2639 | 2:12739:0.0344:0.4315 | 3:12741:0.0293:0.5784 | 4:12740:0.0278:0.4811 | 5:12850:0.0117:0.2136
1408,"169,132,32",,,manual_review,0.000000,0.000000,0.000000,0.000000,,,,,,no,auto: no_overlap_candidate,manual_review,Anxi,,0.000000,0,8147,0,0,0.000000,
1466,"43,138,33",1466,"43,138,33",merge,0.737635,0.999628,0.883696,0.076923,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,Eastern Wasteland 1,Eastern Wasteland 1,0.560442,715683,715949,1276997,4,1.000000,1:1466:0.9996:0.5604 | 2:11931:0.0002:0.0033 | 3:11932:0.0001:0.0024 | 4:12766:0.0000:0.0001
1468,"127,144,34",12666,"74,26,236",merge,0.521293,0.678422,0.974350,0.200000,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,Eastern Wasteland 3,sea_pacific_ocean,0.297647,12850,18941,43172,11,0.000000,1:12666:0.6784:0.2976 | 2:12681:0.1978:0.2413 | 3:12829:0.0370:0.0624 | 4:12827:0.0335:0.0620 | 5:12764:0.0289:0.0002
1469,"169,147,162",8892,"210,53,78",split,0.443164,0.636364,0.989480,0.125000,,,,,,no,auto: top_two_overlap_share,manual_review,Eastern Wasteland 2,b_guangzhou_nanhai,0.006897,7,11,1015,2,0.000000,1:8892:0.6364:0.0069 | 2:8922:0.3636:0.0047
1470,"1,150,35",12738,"19,27,244",merge,0.431886,0.666667,0.831550,0.076923,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,Eastern Wasteland 4,sea_indian_ocean,0.000086,2,3,23300,2,0.000000,1:12738:0.6667:0.0001 | 2:11361:0.3333:0.0013
1488,"127,204,44",11740,"37,17,232",merge,0.636671,0.991150,0.994805,0.142857,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,RUSSIAN LAKES 4,FIC_Liao_Shuangliao,0.086957,112,113,1288,2,0.000000,1:11740:0.9912:0.0870 | 2:11777:0.0088:0.0007
1496,"43,15,48",10938,"58,181,94",merge,0.600797,1.000000,0.993428,0.000000,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,LAKES EAST OF BURMA,Sakhon_Nakhon,0.009697,16,16,1650,1,0.000000,1:10938:1.0000:0.0097
4885,"4,171,170",13268,"159,111,3",merge,0.707330,0.827451,0.995721,0.800000,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,Mountains,,0.226882,211,255,930,3,0.000000,1:13268:0.8275:0.2269 | 2:11500:0.1608:0.0646 | 3:11445:0.0118:0.0027
