source_province_id,source_rgb,source_name,candidate_rank,target_province_id,target_rgb,target_name,overlap_pixels,overlap_score,target_coverage
808,"126,81,4",Tinsukia,1,808,"126,81,4",Tinsukia,1887,1.000000,1.000000
811,"42,90,133",Carguya,1,811,"42,90,133",Carguya,1937,1.000000,0.947652
826,"42,135,13",Manipur,1,826,"42,135,13",Manipur,1500,0.994036,0.795334
826,"42,135,13",Manipur,2,9567,"93,159,211",Naga Hills,9,0.005964,0.001018
827,"84,138,141",Khoupum,1,827,"84,138,141",Khoupum,1224,1.000000,1.000000
828,"126,141,14",Chatigama,1,828,"126,141,14",Chatigama,296,0.980132,0.463950
828,"126,141,14",Chatigama,2,829,"168,144,142",Candranatha,6,0.019868,0.006231
829,"168,144,142",Candranatha,1,829,"168,144,142",Candranatha,848,0.930845,0.880582
829,"168,144,142",Candranatha,2,9657,"93,3,156",Udaipur,43,0.047201,0.060734
829,"168,144,142",Candranatha,3,854,"169,90,12",Tlawng,18,0.019759,0.009202
829,"168,144,142",Candranatha,4,828,"126,141,14",Chatigama,2,0.002195,0.003135
830,"0,147,15",Pattikera,1,830,"0,147,15",Pattikera,509,1.000000,1.000000
854,"169,90,12",Tlawng,1,854,"169,90,12",Tlawng,1752,1.000000,0.895706
1293,"127,45,174",EAST INDIAN OCEAN TI,1,12763,"126,186,199",sea_indian_ocean,411412,0.883921,0.263887
1293,"127,45,174",EAST INDIAN OCEAN TI,2,12739,"20,127,248",sea_indian_ocean,16012,0.034402,0.431451
1293,"127,45,174",EAST INDIAN OCEAN TI,3,12741,"22,127,236",sea_sunda_strait,13628,0.029280,0.578389
1293,"127,45,174",EAST INDIAN OCEAN TI,4,12740,"21,27,232",sea_indian_ocean,12959,0.027842,0.481121
1293,"127,45,174",EAST INDIAN OCEAN TI,5,12850,"116,224,241",sea_andaman,5441,0.011690,0.213565
1466,"43,138,33",Eastern Wasteland 1,1,1466,"43,138,33",Eastern Wasteland 1,715683,0.999628,0.560442
1466,"43,138,33",Eastern Wasteland 1,2,11931,"101,19,236",IMPASSABLE Mongolian wasteland 2,157,0.000219,0.003285
1466,"43,138,33",Eastern Wasteland 1,3,11932,"21,87,23",IMPASSABLE Mongolian wasteland 3,106,0.000148,0.002426
1466,"43,138,33",Eastern Wasteland 1,4,12766,"35,55,95",sea_east_china,3,0.000004,0.000074
1468,"127,144,34",Eastern Wasteland 3,1,12666,"74,26,236",sea_pacific_ocean,12850,0.678422,0.297647
1468,"127,144,34",Eastern Wasteland 3,2,12681,"189,26,236",sea_molucca,3746,0.197772,0.241273
1468,"127,144,34",Eastern Wasteland 3,3,12829,"151,141,236",sea_ceram,700,0.036957,0.062405
1468,"127,144,34",Eastern Wasteland 3,4,12827,"74,91,175",Halmahera Sea,635,0.033525,0.062024
