"source_rgb","live_rgb","pixel_count"
"43,138,33","145,174,200","3851"
"127,45,174","126,186,199","3180"
"42,63,193","64,36,149","2811"
"109,62,105","126,186,199","2277"
"173,238,240","145,174,200","2070"
"85,141,161","127,45,174","1875"
"67,126,248","145,174,200","1835"
"40,60,100","37,226,248","1773"
"38,26,232","36,83,162","1734"
"178,186,72","10,189,200","1710"
"74,26,236","36,83,162","1696"
"10,189,200","94,180,71","1691"
"240,26,240","36,83,162","1635"
"127,177,4","43,138,33","1622"
"36,83,162","109,62,105","1567"
"94,120,121","145,174,200","1510"
"48,56,181","64,36,149","1404"
"254,26,236","38,26,232","1334"
"45,26,240","36,83,162","1252"
"32,27,236","40,60,100","1227"
"63,126,232","145,174,200","1192"
"37,226,248","136,216,244","1159"
"109,62,105","36,83,162","1139"
"146,126,244","36,83,162","1118"
"149,126,136","36,83,162","1081"
"127,162,129","127,45,174","1060"
"85,141,161","134,63,169","1056"
"30,50,90","92,136,180","1041"
"39,27,244","38,127,240","1030"
"35,55,95","24,26,236","1027"
"104,226,236","126,186,199","1012"
"74,150,156","240,130,169","1007"
"136,27,232","40,60,100","1004"
"79,26,236","80,126,240","992"
"94,150,66","10,159,195","990"
"37,226,248","35,26,240","984"
"168,164,59","173,238,240","982"
"30,127,248","134,226,236","971"
"145,174,200","43,138,33","968"
"35,127,248","136,27,232","954"
