"subset_name","rgb","pixel_count","bbox","min_x","min_y","max_x","max_y","definition_found","source_id","source_name"
"modlu_kalan","0,0,205","426","1826,658 -> 1854,684","1826","658","1854","684","True","355","OKLABO"
"modlu_kalan","0,0,55","4059","614,1170 -> 686,1253","614","1170","686","1253","True","710","sea_irish"
"modlu_kalan","0,102,135","1724","5739,2619 -> 5803,2667","5739","2619","5803","2667","True","815","Pragyotisapura"
"modlu_kalan","0,102,180","818","2148,988 -> 2189,1018","2148","988","2189","1018","True","105","BAUSKA"
"modlu_kalan","0,102,30","862","1847,1748 -> 1895,1778","1847","1748","1895","1778","True","460","Varadzin"
"modlu_kalan","0,105,145","766","660,873 -> 709,899","660","873","709","899","True","35","ARDNAMURCHON"
"modlu_kalan","0,105,200","529","2503,2314 -> 2534,2341","2503","2314","2534","2341","True","745","Smyrna"
"modlu_kalan","0,105,95","2878","2147,191 -> 2206,263","2147","191","2206","263","True","390","SOMBIO"
"modlu_kalan","0,108,165","1518","3391,1931 -> 3456,1975","3391","1931","3456","1975","True","675","Kumukh"
"modlu_kalan","0,108,60","1139","1690,811 -> 1738,857","1690","811","1738","857","True","320","VARNHEM"
"modlu_kalan","0,111,130","2798","3272,1579 -> 3341,1647","3272","1579","3341","1647","True","605","Beksima"
"modlu_kalan","0,111,160","866","2095,1916 -> 2131,1955","2095","1916","2131","1955","True","3602","Rudnik"
"modlu_kalan","0,111,25","1071","1425,764 -> 1469,800","1425","764","1469","800","True","250","RAABOIGDE"
"modlu_kalan","0,111,80","57","2970,2643 -> 2976,2654","2970","2643","2976","2654","True","979","Tiveriade Lake"
"modlu_kalan","0,114,195","1289","2216,1375 -> 2254,1427","2216","1375","2254","1427","True","535","Volodymyr"
"modlu_kalan","0,114,45","5534","1722,996 -> 1818,1074","1722","996","1818","1074","True","1003","sea_bight_of_hano"
"modlu_kalan","0,114,90","1103","1997,675 -> 2053,726","1997","675","2053","726","True","180","RAUMA"
"modlu_kalan","0,117,10","1134","5713,2646 -> 5764,2684","5713","2646","5764","2684","True","820","Kamakhya"
"modlu_kalan","0,117,160","428","1790,1933 -> 1830,1971","1790","1933","1830","1971","True","465","Zadar"
"modlu_kalan","0,117,55","1081","2053,903 -> 2086,949","2053","903","2086","949","True","110","PILTENE"
"modlu_kalan","0,12,15","3026","1828,437 -> 1918,488","1828","437","1918","488","True","430","SJELTIE"
"modlu_kalan","0,12,165","623","1623,886 -> 1651,919","1623","886","1651","919","True","75","ONSALA"
"modlu_kalan","0,12,220","608","1269,1704 -> 1310,1746","1269","1704","1310","1746","True","785","German Mountains 12"
"modlu_kalan","0,120,20","498","588,1158 -> 616,1184","588","1158","616","1184","True","40","CARLOW"
"modlu_kalan","0,120,225","5446","1976,44 -> 2074,162","1976","44","2074","162","True","395","IESJAVRI"
"modlu_kalan","0,120,75","519","2604,2178 -> 2644,2201","2604","2178","2644","2201","True","750","Nikaea"
"modlu_kalan","0,121,136","417","1996,1543 -> 2029,1562","1996","1543","2029","1562","True","3854","Liptoujvar"
"modlu_kalan","0,123,190","941","1650,735 -> 1678,788","1650","735","1678","788","True","325","GILLBERG"
"modlu_kalan","0,123,40","913","3231,2109 -> 3266,2152","3231","2109","3266","2152","True","680","Oltisi"
"modlu_kalan","0,126,155","1487","1405,665 -> 1470,720","1405","665","1470","720","True","255","HARDANGER"
"modlu_kalan","0,126,210","1742","5295,2792 -> 5356,2834","5295","2792","5356","2834","True","909","Palamau"
"modlu_kalan","0,126,5","4677","3251,1077 -> 3351,1142","3251","1077","3351","1142","True","610","Bolghar"
"modlu_kalan","0,129,175","12620","1850,461 -> 2033,609","1850","461","2033","609","True","1008","sea_gulf_bothnia"
"modlu_kalan","0,129,220","1380","2008,609 -> 2055,655","2008","609","2055","655","True","185","ULVILA"
"modlu_kalan","0,129,70","1386","2324,1729 -> 2374,1779","2324","1729","2374","1779","True","540","Szekelyfold"
"modlu_kalan","0,132,140","1912","5713,2709 -> 5785,2764","5713","2709","5785","2764","True","825","Habiganj"
"modlu_kalan","0,132,185","594","2047,1018 -> 2087,1041","2047","1018","2087","1041","True","115","PALANGA"
"modlu_kalan","0,132,35","593","2063,2130 -> 2095,2163","2063","2130","2095","2163","True","470","Dyrrachion"
"modlu_kalan","0,135,0","5844","2184,89 -> 2298,184","2184","89","2298","184","True","400","PEACCAM"
"modlu_kalan","0,135,150","1234","445,1180 -> 502,1212","445","1180","502","1212","True","45","LIMERICK"
"modlu_kalan","0,135,205","782","2691,2388 -> 2720,2430","2691","2388","2720","2430","True","755","Attaleia"
"modlu_kalan","0,138,170","8251","1073,1234 -> 1220,1354","1073","1234","1220","1354","True","685","sea_zeeland"
"modlu_kalan","0,138,65","555","1816,814 -> 1855,838","1816","814","1855","838","True","330","SUDHERKOPUNG"
"modlu_kalan","0,141,135","2168","3695,1099 -> 3742,1174","3695","1099","3742","1174","True","615","Ufa"
"modlu_kalan","0,141,30","1446","1438,601 -> 1487,650","1438","601","1487","650","True","260","SOGNFYLKI"
"modlu_kalan","0,141,85","280","5578,2825 -> 5601,2842","5578","2825","5601","2842","True","857","Pandua"
"modlu_kalan","0,144,200","1059","2351,1640 -> 2413,1696","2351","1640","2413","1696","True","545","Suceava"
"modlu_kalan","0,144,50","858","1722,811 -> 1758,876","1722","811","1758","876","True","962","lake_vattern"
"modlu_kalan","0,144,95","1121","2240,600 -> 2280,654","2240","600","2280","654","True","190","OLAVINLINNA"
"modlu_kalan","0,147,165","1089","2176,2316 -> 2235,2362","2176","2316","2235","2362","True","475","Hellas"
"modlu_kalan","0,147,60","916","2073,1085 -> 2117,1119","2073","1085","2117","1119","True","120","RAGNIT"
"modlu_kalan","0,15,130","4680","338,134 -> 429,213","338","134","429","213","True","5","HUSAVIK"
"modlu_kalan","0,15,185","10770","349,1079 -> 490,1209","349","1079","490","1209","True","715","sea_galway_bay"
"modlu_kalan","0,15,80","1363","1811,593 -> 1857,652","1811","593","1857","652","True","360","NORALE"
"modlu_kalan","0,150,130","2198","2325,123 -> 2367,204","2325","123","2367","204","True","405","KOARDEGK"
"modlu_kalan","0,150,25","746","512,1184 -> 543,1224","512","1184","543","1224","True","50","EMLY"
"modlu_kalan","0,150,80","828","2871,2317 -> 2923,2359","2871","2317","2923","2359","True","760","Tyana"
"modlu_kalan","0,153,195","257","1729,849 -> 1752,871","1729","849","1752","871","True","335","WISINGHNO"
"modlu_kalan","0,153,45","5206","875,938 -> 963,1067","875","938","963","1067","True","690","sea_east_english_coast"
"modlu_kalan","0,153,74","674","2062,2162 -> 2088,2201","2062","2162","2088","2201","True","3717","Savra"
"modlu_kalan","0,156,10","4181","3369,1570 -> 3452,1659","3369","1570","3452","1659","True","620","Itil"
"modlu_kalan","0,156,160","1449","1362,552 -> 1412,605","1362","552","1412","605","True","265","FIRDAFYLKI"
"modlu_kalan","0,156,215","451","5585,2886 -> 5611,2915","5585","2886","5611","2915","True","862","Sagardwip"
"modlu_kalan","0,159,180","6300","617,1382 -> 736,1462","617","1382","736","1462","True","967","sea_english_channel"
"modlu_kalan","0,159,225","1555","2397,606 -> 2449,663","2397","606","2449","663","True","195","ONEGABORG"
"modlu_kalan","0,159,75","1507","2341,1178 -> 2391,1224","2341","1178","2391","1224","True","550","Minsk"
"modlu_kalan","0,162,145","1542","5653,2818 -> 5684,2898","5653","2818","5684","2898","True","835","Bagerhat"
"modlu_kalan","0,162,190","742","2071,1059 -> 2117,1087","2071","1059","2117","1087","True","125","TAURAGE"
"modlu_kalan","0,162,40","736","2397,2545 -> 2435,2581","2397","2545","2435","2581","True","480","Chandax"
"modlu_kalan","0,165,155","2471","1454,873 -> 1590,948","1454","873","1590","948","True","55","LINDHOLM"
"modlu_kalan","0,165,210","363","1800,1405 -> 1832,1426","1800","1405","1832","1426","True","765","Czech Mountains 3"
"modlu_kalan","0,165,5","955","2346,253 -> 2373,303","2346","253","2373","303","True","410","LUJAVVR"
"modlu_kalan","0,168,175","18366","503,668 -> 673,821","503","668","673","821","True","695","sea_atlantic"
"modlu_kalan","0,168,70","549","1796,783 -> 1837,810","1796","783","1837","810","True","340","BIRKEVIK"
"modlu_kalan","0,171,140","2137","3763,1849 -> 3819,1919","3763","1849","3819","1919","True","625","Bailjar"
"modlu_kalan","0,171,35","1573","1529,468 -> 1604,508","1529","468","1604","508","True","270","STRIND"
"modlu_kalan","0,171,90","628","5421,2725 -> 5449,2755","5421","2725","5449","2755","True","867","Odantapuri"
"modlu_kalan","0,174,0","1444","2317,569 -> 2361,626","2317","569","2361","626","True","200","TOVAJARVI"
"modlu_kalan","0,174,205","1335","2517,1429 -> 2572,1467","2517","1429","2572","1467","True","555","Pereyaslavl"
"modlu_kalan","0,174,55","55390","475,1555 -> 760,1861","475","1555","760","1861","True","1016","sea_bay_biscay"
"modlu_kalan","0,177,170","1043","2320,2324 -> 2382,2375","2320","2324","2382","2375","True","485","Euboia"
"modlu_kalan","0,177,20","940","5560,2708 -> 5604,2742","5560","2708","5604","2742","True","840","Ramavati"
"modlu_kalan","0,177,65","582","2194,1088 -> 2222,1126","2194","1088","2222","1126","True","130","KAUNAS"
"modlu_kalan","0,18,150","13289","1438,725 -> 1605,914","1438","725","1605","914","True","645","sea_skagerrak"
"modlu_kalan","0,18,45","831","1396,759 -> 1428,793","1396","759","1428","793","True","290","HEIANE"
"modlu_kalan","0,180,135","3020","2454,175 -> 2539,239","2454","175","2539","239","True","415","JOVVKUJ"
"modlu_kalan","0,180,30","1031","1447,1054 -> 1487,1109","1447","1054","1487","1109","True","60","RIBE"
"modlu_kalan","0,180,85","490","1686,1549 -> 1724,1572","1686","1549","1724","1572","True","770","Czech Mountains 8"
"modlu_kalan","0,183,200","716","1788,667 -> 1822,712","1788","667","1822","712","True","345","HENAMORUM"
"modlu_kalan","0,183,50","4955","595,885 -> 711,1006","595","885","711","1006","True","700","sea_hebrides"
"modlu_kalan","0,186,15","136","896,1298 -> 928,1316","896","1298","928","1316","True","630","river_thames"
"modlu_kalan","0,186,165","1897","1673,261 -> 1738,314","1673","261","1738","314","True","275","RODOY"
"modlu_kalan","0,186,220","425","5515,2718 -> 5542,2741","5515","2718","5542","2741","True","872","Vikramasila"
"modlu_kalan","0,189,130","1520","2112,659 -> 2163,707","2112","659","2163","707","True","205","HAMEENLINNA"
"modlu_kalan","0,189,185","8115","939,2161 -> 1056,2281","939","2161","1056","2281","True","1021","Golfo de Valencia"
"modlu_kalan","0,189,80","167","2780,1852 -> 2795,1868","2780","1852","2795","1868","True","560","Chersonesus"
"modlu_kalan","0,192,150","523","5526,2797 -> 5557,2822","5526","2797","5557","2822","True","845","Gopbhum"
"modlu_kalan","0,192,195","446","2230,970 -> 2253,999","2230","970","2253","999","True","135","JEKABPILS"
