"subset_name","rgb","pixel_count","bbox","min_x","min_y","max_x","max_y","definition_found","source_id","source_name"
"orijinal_dogu","0,129,58","686","6840,2450 -> 6877,2476","6840","2450","6877","2476","True","13123","b_chenzhou_zixing_northwest"
"orijinal_dogu","0,130,56","1823","7208,1226 -> 7268,1274","7208","1226","7268","1274","True","11735","Liao_Changchun"
"orijinal_dogu","0,139,47","829","7236,2445 -> 7281,2483","7236","2445","7281","2483","True","8802","b_quanzhou_jinjiang"
"orijinal_dogu","0,147,15","509","5712,2817 -> 5742,2846","5712","2817","5742","2846","True","830","Pattikera"
"orijinal_dogu","0,18,84","2677","8009,1007 -> 8099,1058","8009","1007","8099","1058","True","11898","FIC_EMan_Dongning"
"orijinal_dogu","0,20,124","2062","6510,1078 -> 6568,1132","6510","1078","6568","1132","True","11587","FIC_Mong_Nogoontoos"
"orijinal_dogu","0,206,127","1877","6730,1725 -> 6796,1766","6730","1725","6796","1766","True","10086","b_zhenzhou_zhending"
"orijinal_dogu","0,31,5","740","6855,2679 -> 6894,2718","6855","2679","6894","2718","True","8907","b_enzhou_yangjiang"
"orijinal_dogu","0,50,252","4460","6438,1385 -> 6537,1467","6438","1385","6537","1467","True","12554","GOBI_Burdene_Bulag"
"orijinal_dogu","0,58,72","402","7993,1780 -> 8018,1803","7993","1780","8018","1803","True","10574","Yamagata"
"orijinal_dogu","0,80,191","887","6482,2328 -> 6520,2372","6482","2328","6520","2372","True","12955","b_tingzhou_liancheng_northeast"
"orijinal_dogu","1,102,63","1480","7243,1328 -> 7306,1374","7243","1328","7306","1374","True","11777","Liao_Suzhou"
"orijinal_dogu","1,105,16","644","6629,2575 -> 6679,2603","6629","2575","6679","2603","True","10246","b_liuzhou_langcangdong"
"orijinal_dogu","1,110,242","853","6295,2433 -> 6344,2464","6295","2433","6344","2464","True","13060","b_poyan_south"
"orijinal_dogu","1,15,240","2947","6779,1206 -> 6873,1249","6779","1206","6873","1249","True","11577","FIC_Mong_Beiheisha"
"orijinal_dogu","1,158,79","956","7323,1258 -> 7358,1298","7323","1258","7358","1298","True","11744","Liao_Xiangzhou"
"orijinal_dogu","1,17,248","2664","6897,1298 -> 6973,1366","6897","1298","6973","1366","True","11704","FIC_Liao_Ulanuer"
"orijinal_dogu","1,209,0","595","6741,2736 -> 6773,2760","6741","2736","6773","2760","True","10425","b_kangzhou_ducheng"
"orijinal_dogu","1,209,167","594","6525,2428 -> 6555,2466","6525","2428","6555","2466","True","10005","b_yizhou_yiquan"
"orijinal_dogu","1,242,104","588","7090,1989 -> 7127,2018","7090","1989","7127","2018","True","13113","b_suzhou_hong_southwest"
"orijinal_dogu","1,27,232","12042","6722,3683 -> 6883,3818","6722","3683","6883","3818","True","12720","sea_karimata_strait"
"orijinal_dogu","1,35,251","1102","6932,2075 -> 6974,2112","6932","2075","6974","2112","True","10253","b_guangzhou_gushi"
"orijinal_dogu","1,5,191","1415","6470,3748 -> 6517,3799","6470","3748","6517","3799","True","11280","SUM_Karitang"
"orijinal_dogu","10,104,12","850","7198,3769 -> 7229,3829","7198","3769","7229","3829","True","11232","IMPASSABLE Borneo Mountains 4"
"orijinal_dogu","10,13,16","30","7812,3552 -> 7830,3576","7812","3552","7830","3576","True","11215","IMPASSABLE Islands east of north Sulawesi"
"orijinal_dogu","10,145,70","255","8465,1640 -> 8491,1658","8465","1640","8491","1658","True","10769","Katori"
"orijinal_dogu","10,15,94","1721","7682,3002 -> 7751,3048","7682","3002","7751","3048","True","11047","PHI_Catarman"
"orijinal_dogu","10,153,221","345","8102,1802 -> 8136,1816","8102","1802","8136","1816","True","10511","Nakata"
"orijinal_dogu","10,156,192","485","6705,2578 -> 6733,2604","6705","2578","6733","2604","True","10247","b_xiangzhou_yangshou"
"orijinal_dogu","10,172,101","747","6461,1883 -> 6498,1910","6461","1883","6498","1910","True","13124","b_yanzhou_wuyuan_northwest"
"orijinal_dogu","10,181,88","840","6871,1799 -> 6909,1843","6871","1799","6909","1843","True","10359","b_beizhou_qinghe"
"orijinal_dogu","10,195,130","463","7617,1928 -> 7652,1951","7617","1928","7652","1951","True","9969","Goryeo_Tamna_WestTamna"
"orijinal_dogu","10,210,5","423","7772,1742 -> 7799,1765","7772","1742","7799","1765","True","9974","Goryeo_Gyeongsang_Ulju"
"orijinal_dogu","10,222,112","438","6759,2485 -> 6775,2520","6759","2485","6775","2520","True","13141","b_tanzhou_3"
"orijinal_dogu","10,230,253","815","6502,2585 -> 6550,2614","6502","2585","6550","2614","True","13093","b_shuangchengzhou_southwest"
"orijinal_dogu","10,237,195","347","6612,1815 -> 6634,1849","6612","1815","6634","1849","True","13169",""
