"rgb","modlu_id","modlu_name","modlu_pixel_count","modlu_bbox","orijinal_id","orijinal_name","orijinal_pixel_count","orijinal_bbox","same_id","same_name"
"10,195,130","10005","Linggo Co","20","5500,2245 -> 5504,2250","9969","Goryeo_Tamna_WestTamna","463","7617,1928 -> 7652,1951","False","False"
"10,210,5","10010","Zhuonai Lake","28","5658,2127 -> 5666,2131","9974","Goryeo_Gyeongsang_Ulju","423","7772,1742 -> 7799,1765","False","False"
"10,27,10","10020","Longmu Co","21","5078,2256 -> 5084,2260","9979","Goryeo_Gyeongsang_Andong","776","7721,1683 -> 7757,1716","False","False"
"10,57,15","10030","Maharloo Lake","53","3790,2715 -> 3800,2723","9984","Goryeo_Gyeongsang_Sangju","398","7691,1703 -> 7717,1727","False","False"
"10,72,145","10035","Lake Sevan","372","3378,2096 -> 3411,2125","9988","Goryeo_Gyeongsang_Geochang","542","7678,1748 -> 7711,1778","False","False"
"135,114,89","9978","Gomang Co","21","5560,2388 -> 5564,2393","9953","Goryeo_Jeolla_Jeonju","540","7609,1750 -> 7650,1779","False","False"
"135,147,59","9918","Ashtarak","197","3340,2110 -> 3361,2125","9913","Goryeo_Seohae_Anak","623","7456,1600 -> 7493,1627","False","False"
"135,159,224","9993","Dawa Lake","28","5338,2418 -> 5344,2422","9962","Goryeo_Jeolla_Imsil","459","7637,1775 -> 7658,1803","False","False"
"135,162,189","9923","Tercan","492","3161,2163 -> 3189,2195","9916","Goryeo_Seohae_Pungju","577","7427,1607 -> 7462,1637","False","False"
"135,174,99","9998","Ang Laren","132","5231,2411 -> 5254,2422","9965","Goryeo_Jeolla_Heungyang","392","7668,1823 -> 7699,1854","False","False"
"135,186,59","9718","Concordia","410","1655,1801 -> 1686,1818","9815","Lingnan_Qinzhou_Lingshan","1242","6650,2672 -> 6716,2701","False","False"
"135,192,194","9933","Issyk-Kul","2693","4845,1761 -> 4952,1812","9923","Goryeo_Yanggwan_Bukju","434","7602,1622 -> 7634,1644","False","False"
"135,195,159","9863","Qula","172","2933,2684 -> 2954,2694","9864","Goryeo_Donggye_Heupgok","693","7615,1540 -> 7648,1575","False","False"
"135,201,189","9723","Caminate","252","1604,1929 -> 1630,1947","9816","Lingnan_Qinzhou_Gusendong","725","6626,2694 -> 6660,2732","False","False"
"135,207,69","9938","Ailik Lake","286","5267,1518 -> 5292,1537","9926","Goryeo_Yanggwan_Wonju","637","7659,1648 -> 7704,1678","False","False"
"135,210,34","9868","TowerDavid","208","2947,2695 -> 2970,2712","9870","Goryeo_Gyoju_Inje","457","7664,1606 -> 7689,1632","False","False"
"135,24,74","9948","Taatsiin Tsagaan Nuur","26","6046,1399 -> 6053,1402","9934","Goryeo_Yanggwan_Goeju","610","7625,1688 -> 7671,1711","False","False"
"135,27,39","9878","Kantara","288","2877,2476 -> 2914,2508","9881","Goryeo_Gyoju_Hoengcheon","397","7654,1644 -> 7690,1660","False","False"
"135,75,139","9823","Madytos","200","2456,2193 -> 2471,2217","9845","Lingnan_Siming_Silingzhou","1117","6551,2697 -> 6605,2729","False","False"
"135,84,84","9968","Yamdrok Yumtso","140","5648,2495 -> 5672,2514","9948","Goryeo_Yanggwan_Jukju","440","7625,1669 -> 7659,1698","False","False"
"135,87,49","9898","Keselo","309","3365,1984 -> 3389,2002","9894","Goryeo_Bukgye_Taeju","457","7437,1524 -> 7462,1553","False","False"
"135,9,199","9943","Sangiin Dalai Nuur","574","5644,1375 -> 5720,1393","9932","Goryeo_Yanggwan_Jecheon","556","7677,1665 -> 7705,1691","False","False"
"136,189,129","10003","Dorsoidong Co","94","5568,2258 -> 5579,2274","9967","Goryeo_Jeolla_Haeyang","539","7624,1794 -> 7657,1824","False","False"
"136,204,4","10008","Xijir Ulan Lake","61","5575,2155 -> 5586,2161","9972","Goryeo_Gyeongsang_Yeju","599","7740,1700 -> 7782,1725","False","False"
"136,36,139","10023","Lumajangdong Co","94","5136,2282 -> 5152,2290","9981","Goryeo_Gyeongsang_Jinju","357","7711,1782 -> 7736,1815","False","False"
"136,6,134","10013","Lexie Wudan Lake","55","5560,2126 -> 5574,2131","9976","Goryeo_Gyeongsang_Cheongdo","571","7737,1745 -> 7772,1768","False","False"
"136,66,144","10033","Lake Van","917","3273,2212 -> 3327,2255","9986","Goryeo_Gyeongsang_Giju","401","7688,1683 -> 7720,1704","False","False"
"136,81,19","10038","Lake Tatta","795","2814,2253 -> 2854,2299","9991","Goryeo_Gyeongsang_Ilseon","773","7705,1723 -> 7742,1755","False","False"
"136,96,149","10043","Lake Polydorion","79","2671,2359 -> 2684,2375","9994","Goryeo_Gyeongsang_Yeongsan","404","7725,1748 -> 7750,1772","False","False"
"177,0,162","9869","Bethlehem","196","2941,2717 -> 2964,2727","9872","Goryeo_Gyoju_Yanggu","427","7646,1593 -> 7672,1619","False","False"
"177,102,87","9974","Pung Co","36","5649,2358 -> 5654,2368","9950","Goryeo_Jeolla_Mokpo","316","7605,1815 -> 7636,1838","False","False"
"177,12,72","9944","Ereen Nuur","71","5723,1364 -> 5732,1374","9927","Goryeo_Yanggwan_Cheonan","427","7607,1686 -> 7636,1714","False","False"
"177,132,92","9984","Urru Co","70","5488,2367 -> 5501,2376","9957","Goryeo_Jeolla_Jindong","398","7633,1732 -> 7658,1763","False","False"
"177,135,57","9914","Mahkanaberd","489","3358,2070 -> 3385,2096","9908","Goryeo_Seohae_Tosan","444","7504,1573 -> 7531,1599","False","False"
"177,15,37","9874","Amioun","200","2976,2543 -> 2998,2557","9882","Goryeo_Gyoju_Hongcheon","553","7642,1630 -> 7686,1652","False","False"
"177,150,187","9919","Amberd","268","3319,2119 -> 3352,2132","9914","Goryeo_Seohae_Bongju","553","7488,1608 -> 7516,1636","False","False"
"177,177,227","9999","Lagkor Co","24","5286,2383 -> 5292,2387","9966","Goryeo_Jeolla_Neungseong","399","7634,1810 -> 7660,1837","False","False"
