"source_title_id","source_tier","cluster_key","source_root_title","in_master","status","relation_type","rewrite_allowed","canonical_namespace","canonical_title_id"
"e_viet","e","e_viet","e_viet","yes","mapped","contextual","yes","mod","e_viet"
"c_liaozhou","c","h_china > k_hedong > d_hedong","h_china","yes","mapped","exact","yes","vanilla","c_liaozhou"
"b_tam_giang","b","h_china > k_viet > d_lam_tay","h_china","yes","mapped","exact","yes","vanilla","b_tam_giang"
"b_wutai","b","h_china > k_hedong > d_yanmen","h_china","yes","mapped","exact","yes","vanilla","b_wutai"
"b_shengzhou_yulin","b","h_china > k_daibei > d_xinan","h_china","yes","mapped","exact","yes","vanilla","b_shengzhou_yulin"
"b_guangshan","b","h_china > k_huainan > d_huaixi","h_china","yes","mapped","exact","yes","vanilla","b_guangshan"
"b_tunmen","b","h_china > k_lingnan > d_huixun","h_china","yes","mapped","exact","yes","vanilla","b_tunmen"
"b_thuong_nguyen","b","h_china > k_viet > d_hai_dong","h_china","yes","mapped","exact","yes","vanilla","b_thuong_nguyen"
"b_shenqiu","b","h_china > k_henan > d_biansong","h_china","yes","mapped","exact","yes","vanilla","b_shenqiu"
"c_tongchuan","c","h_china > k_dongchuan > d_dongchuan","h_china","yes","mapped","exact","yes","vanilla","c_tongchuan"
"b_daning","b","h_china > k_hedong > d_hezhong","h_china","yes","mapped","contextual","yes","mod","b_daning_china"
"b_dumeng","b","h_china > k_lingxi > d_guiguan","h_china","yes","mapped","exact","yes","vanilla","b_dumeng"
"b_fuli","b","h_china > k_qingxu > d_xusi","h_china","yes","mapped","exact","yes","vanilla","b_fuli"
"b_luoshui","b","h_china > k_lingnan > d_lingnan","h_china","yes","mapped","exact","yes","vanilla","b_luoshui"
"c_guizhou_2","c","h_china > k_youji > d_youzhou","h_china","yes","mapped","exact","yes","vanilla","c_guizhou_2"
"c_sizhou_2","c","h_china > k_qingxu > d_xusi","h_china","yes","mapped","exact","yes","vanilla","c_sizhou_2"
"b_jincheng_1","b","h_china > k_hexi > d_longyou","h_china","yes","mapped","contextual","yes","mod","b_jincheng"
"d_hezhong","d","h_china > k_hedong > d_hezhong","h_china","yes","mapped","contextual","yes","mod","d_hezhong_china"
"b_tongyi","b","h_china > k_xichuan > d_qiongnan","h_china","yes","mapped","exact","yes","vanilla","b_tongyi"
"b_tancheng","b","h_china > k_qingxu > d_xusi","h_china","yes","mapped","exact","yes","vanilla","b_tancheng"
"b_zunhua","b","h_china > k_youji > d_youzhou","h_china","yes","mapped","contextual","yes","mod","b_zunhua_china"
"c_laizhou","c","h_china > k_qingxu > d_ziqing","h_china","yes","mapped","contextual","yes","mod","c_laizhou_china"
"b_pengchi","b","h_china > k_xingyuan > d_lilang","h_china","yes","mapped","exact","yes","vanilla","b_pengchi"
"b_guangji","b","h_china > k_shannan > d_eyue","h_china","yes","mapped","exact","yes","vanilla","b_guangji"
"b_changxi","b","h_china > k_fujian > d_weiwu","h_china","yes","mapped","exact","yes","vanilla","b_changxi"
