"category","file_path","source_title_id","canonical_title_id","canonical_namespace","status","relation_type","rewrite_allowed","occurrence_count","line_numbers"
"history/titles","history\titles\00_ADMIN_TITLES.txt","e_japan","e_japan","mod","mapped","contextual","yes","19","10406|10456|10470|10494|10541|10573|10628|10674|10711|10786|10832|10872|10915|10946|10995|11065|11119|11150|11189"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_amis","c_amis","mod","mapped","contextual","yes","1","54345"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_bianzhou","c_bianzhou","mod","mapped","contextual","yes","2","39796|54620"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_caozhou","c_caozhou","mod","mapped","contextual","yes","1","42646"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_chengdu","c_chengdu","mod","mapped","contextual","yes","1","11630"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_dongguan","c_dongguan","mod","mapped","contextual","yes","1","23620"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_guangzhou_1","c_guangzhou_1","mod","mapped","contextual","yes","1","22785"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_hanyang","c_hanyang","mod","mapped","contextual","yes","1","39155"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_jiangning","c_jiangning","mod","mapped","contextual","yes","4","1498|6585|21700|21909"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_jingzhao","c_jingzhao","mod","mapped","contextual","yes","2","8470|54535"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_kuozhou","c_kuozhou","mod","mapped","contextual","yes","1","54166"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_luodian","c_luodian","mod","mapped","contextual","yes","1","51915"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_shanzhou","c_shanzhou","mod","mapped","contextual","yes","1","54091"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_xiuzhou","c_xiuzhou","mod","mapped","contextual","yes","1","21472"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_yazhou","c_yazhou","mod","mapped","contextual","yes","1","23816"
"history/titles","history\titles\00_ASIA_CHINA.txt","c_yingde","c_yingde","mod","mapped","contextual","yes","1","23404"
"history/titles","history\titles\00_ASIA_CHINA.txt","d_biansong","d_biansong","mod","mapped","contextual","yes","87","14753|15163|15174|15383|15389|15594|15604|15936|16255|16578|16706|16833|16981|17102|17311|17486|17615|17768|17924|17967"
"history/titles","history\titles\00_ASIA_CHINA.txt","d_jianning","d_jianning","mod","mapped","contextual","yes","1","6958"
"history/titles","history\titles\00_ASIA_CHINA.txt","d_lingling","d_lingling","mod","mapped","contextual","yes","1","7599"
"history/titles","history\titles\00_ASIA_CHINA.txt","d_luodian","d_luodian","mod","mapped","contextual","yes","2","52500|52588"
"history/titles","history\titles\00_ASIA_CHINA.txt","d_luoshi","d_luoshi","mod","mapped","contextual","yes","1","51943"
"history/titles","history\titles\00_ASIA_CHINA.txt","d_thang_long","d_thang_long","mod","mapped","contextual","yes","6","31289|31294|31307|31329|31334|31347"
"history/titles","history\titles\00_ASIA_CHINA.txt","d_zhexi","d_zhexi","mod","mapped","contextual","yes","54","6890|20604|20753|21219|21310|21345|21546|21628|21632|21639|21647|21921|21930|22175|22352|22356|22416|22431|22531|22582"
"history/titles","history\titles\00_ASIA_CHINA.txt","e_liangyi","e_liangyi","mod","mapped","contextual","yes","1","24802"
"history/titles","history\titles\00_ASIA_CHINA.txt","e_yongliang","e_yongliang","vanilla","mapped","exact","yes","1","1112"
"history/titles","history\titles\00_ASIA_CHINA.txt","h_china","h_china","mod","mapped","contextual","yes","825","121|129|137|145|154|172|501|505|516|543|547|592|597|653|698|725|826|830|844|875"
"history/titles","history\titles\00_ASIA_CHINA.txt","k_dali","k_dali","mod","mapped","contextual","yes","1","52679"
"history/titles","history\titles\00_ASIA_CHINA.txt","k_fujian","k_fujian","mod","mapped","contextual","yes","4","1556|6964|6980|7101"
"history/titles","history\titles\00_ASIA_CHINA.txt","k_goguryeo","k_goguryeo","mod","mapped","contextual","yes","1","53481"
"history/titles","history\titles\00_ASIA_CHINA.txt","k_henan","k_henan","mod","mapped","contextual","yes","8","168|2318|2575|5424|5923|8262|50196|50494"
"history/titles","history\titles\00_ASIA_CHINA.txt","k_jiangxi","k_jiangxi","mod","mapped","contextual","yes","4","126|6398|6615|6667"
"history/titles","history\titles\00_ASIA_CHINA.txt","k_kuizhou","k_kuizhou","mod","mapped","contextual","yes","8","958|3781|4019|7174|7259|7262|51830|52038"
"history/titles","history\titles\00_ASIA_CHINA.txt","k_liangzhe","k_liangzhe","mod","mapped","contextual","yes","5","1530|6679|6770|6878|6923"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_aki","c_aki","mod","mapped","contextual","yes","1","4176"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_amami","c_amami","mod","mapped","contextual","yes","1","8561"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_awa","c_awa","mod","mapped","contextual","yes","1","5936"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_awaji","c_awaji","mod","mapped","contextual","yes","1","6254"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_bingo","c_bingo","mod","mapped","contextual","yes","1","4266"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_bitchu","c_bitchu","mod","mapped","contextual","yes","1","5033"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_bizen","c_bizen","mod","mapped","contextual","yes","1","4773"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_buzen","c_buzen","mod","mapped","contextual","yes","1","6794"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_chikugo","c_chikugo","mod","mapped","contextual","yes","1","6729"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_chikuzen","c_chikuzen","mod","mapped","contextual","yes","1","6369"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_echigo","c_echigo","mod","mapped","contextual","yes","1","3812"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_echizen","c_echizen","mod","mapped","contextual","yes","1","3008"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_etchu","c_etchu","mod","mapped","contextual","yes","1","3485"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_harima","c_harima","mod","mapped","contextual","yes","1","4708"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_hida","c_hida","mod","mapped","contextual","yes","1","2266"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_higo","c_higo","mod","mapped","contextual","yes","1","7048"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_hitachi","c_hitachi","mod","mapped","contextual","yes","1","1875"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_hizen","c_hizen","mod","mapped","contextual","yes","1","6452"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_hoki","c_hoki","mod","mapped","contextual","yes","1","5499"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_hyuga","c_hyuga","mod","mapped","contextual","yes","1","7160"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_inaba","c_inaba","mod","mapped","contextual","yes","1","5585"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_isawa","c_isawa","mod","mapped","contextual","yes","1","7459"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_ise","c_ise","mod","mapped","contextual","yes","1","2374"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_iwaki","c_iwaki","mod","mapped","contextual","yes","1","7698"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_iwami","c_iwami","mod","mapped","contextual","yes","1","4382"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_iwase","c_iwase","mod","mapped","contextual","yes","1","7784"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_iyo","c_iyo","mod","mapped","contextual","yes","1","5816"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_izu","c_izu","mod","mapped","contextual","yes","1","2877"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_izumo","c_izumo","mod","mapped","contextual","yes","1","4485"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_kaga","c_kaga","mod","mapped","contextual","yes","1","3254"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_kai","c_kai","mod","mapped","contextual","yes","1","3714"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_kawachi","c_kawachi","mod","mapped","contextual","yes","1","1004"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_kazusa","c_kazusa","mod","mapped","contextual","yes","1","1980"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_kii","c_kii","mod","mapped","contextual","yes","1","6148"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_korehari","c_korehari","mod","mapped","contextual","yes","1","7594"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_kozuke","c_kozuke","mod","mapped","contextual","yes","1","1585"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_kusunkotan","c_kusunkotan","mod","mapped","contextual","yes","1","9433"
"history/titles","history\titles\00_ASIA_JAPAN.txt","c_mikawa","c_mikawa","mod","mapped","contextual","yes","1","2705"
