"source_title_id","source_tier","canonical_title_id","canonical_tier","canonical_namespace","cluster_key","relation_type","rewrite_allowed","source_root_title","source_kingdom","source_duchy","source_county","source_file","source_title_path","status","notes","auto_candidate_title_id","auto_candidate_tier","auto_match_method","auto_source_province_count","auto_expected_source_province_count","auto_candidate_province_count","auto_overlap_count","auto_source_coverage","auto_candidate_coverage"
"k_khitan","k","k_khitan_china","k","mod","e_andong > k_khitan","contextual","yes","e_andong","k_khitan","","","00_landed_titles.txt","e_andong > k_khitan","mapped","auto: mod_context_name_family_context","k_khitan_china","k","mod_context_name_family_context","39","0","73","0","0,000000","0,000000"
"d_LIAO_linhuang","d","d_xarmoron_china","d","mod","e_andong > k_khitan > d_LIAO_linhuang","contextual","yes","e_andong","k_khitan","d_LIAO_linhuang","","00_landed_titles.txt","e_andong > k_khitan > d_LIAO_linhuang","mapped","manual: backup_duchy_equivalent_by_member_counties","d_xarmoron_china","d","manual_context_backup_duchy","19","0","","","",""
"d_LIAO_shangjing","d","d_changchun_china","d","mod","e_andong > k_khitan > d_LIAO_shangjing","contextual","yes","e_andong","k_khitan","d_LIAO_shangjing","","00_landed_titles.txt","e_andong > k_khitan > d_LIAO_shangjing","mapped","manual: backup_duchy_equivalent_by_member_counties","d_changchun_china","d","manual_context_backup_duchy","20","0","","","",""
"d_LIAO_zhongjing","d","d_tohchen_china","d","mod","e_andong > k_raole > d_LIAO_zhongjing","contextual","yes","e_andong","k_raole","d_LIAO_zhongjing","","00_landed_titles.txt","e_andong > k_raole > d_LIAO_zhongjing","mapped","manual: backup_duchy_equivalent_by_member_counties","d_tohchen_china","d","manual_context_backup_duchy","19","0","","","",""
"d_liaoxi","d","d_liaoxi_china","d","mod","e_andong > k_raole > d_liaoxi","contextual","yes","e_andong","k_raole","d_liaoxi","","00_landed_titles.txt","e_andong > k_raole > d_liaoxi","mapped","auto: mod_context_name_family_context","d_liaoxi_china","d","mod_context_name_family_context","20","0","15","0","0,000000","0,000000"
"d_yanyun_yuyi","d","d_hiyaxu_china","d","mod","e_andong > k_raole > d_yanyun_yuyi","contextual","yes","e_andong","k_raole","d_yanyun_yuyi","","00_landed_titles.txt","e_andong > k_raole > d_yanyun_yuyi","mapped","manual: backup_duchy_equivalent_by_member_counties","d_hiyaxu_china","d","manual_context_backup_duchy","6","0","","","",""
"c_LIAO_guidezhou","c","c_guidezhou_china","c","mod","e_andong > k_balhae > d_LIAO_dongjing","contextual","yes","e_andong","k_balhae","d_LIAO_dongjing","c_LIAO_guidezhou","00_landed_titles.txt","e_andong > k_balhae > d_LIAO_dongjing > c_LIAO_guidezhou","mapped","auto: mod_context_name_family_context","c_guidezhou_china","c","mod_context_name_family_context","4","0","3","0","0,000000","0,000000"
"c_LIAO_yinzhou","c","c_yinzhou_china","c","mod","e_andong > k_balhae > d_LIAO_dongjing","contextual","yes","e_andong","k_balhae","d_LIAO_dongjing","c_LIAO_yinzhou","00_landed_titles.txt","e_andong > k_balhae > d_LIAO_dongjing > c_LIAO_yinzhou","mapped","auto: mod_context_name_family_context","c_yinzhou_china","c","mod_context_name_family_context","4","0","4","0","0,000000","0,000000"
"c_LIAO_xianzhou","c","c_xianzhou_china","c","mod","e_andong > k_raole > d_liaoxi","contextual","yes","e_andong","k_raole","d_liaoxi","c_LIAO_xianzhou","00_landed_titles.txt","e_andong > k_raole > d_liaoxi > c_LIAO_xianzhou","mapped","auto: mod_context_name_family_context","c_xianzhou_china","c","mod_context_name_family_context","3","0","2","0","0,000000","0,000000"
"b_Liao_Changling","b","b_changling_china","b","mod","e_andong > k_balhae > d_BAL_amnok_jangryeong","contextual","yes","e_andong","k_balhae","d_BAL_amnok_jangryeong","c_BAL_east_jangryeong","00_landed_titles.txt","e_andong > k_balhae > d_BAL_amnok_jangryeong > c_BAL_east_jangryeong > b_Liao_Changling","mapped","auto: mod_context_name_family_context","b_changling_china","b","mod_context_name_family_context","1","0","1","0","0,000000","0,000000"
