"source_title_id","source_tier","cluster_key","source_root_title","source_kingdom","source_duchy","source_county","source_file","source_title_path","source_province_count"
"e_viet","e","e_viet","e_viet","","","","00_landed_titles.txt","e_viet","0"
"c_liaozhou","c","h_china > k_hedong > d_hedong","h_china","k_hedong","d_hedong","c_liaozhou","02_china.txt","h_china > e_zhongyuan > k_hedong > d_hedong > c_liaozhou","4"
"b_tam_giang","b","h_china > k_viet > d_lam_tay","h_china","k_viet","d_lam_tay","c_lam_tay","02_china.txt","h_china > e_lingnan > k_viet > d_lam_tay > c_lam_tay > b_tam_giang","1"
"b_wutai","b","h_china > k_hedong > d_yanmen","h_china","k_hedong","d_yanmen","c_daizhou","02_china.txt","h_china > e_zhongyuan > k_hedong > d_yanmen > c_daizhou > b_wutai","1"
"b_shengzhou_yulin","b","h_china > k_daibei > d_xinan","h_china","k_daibei","d_xinan","c_shengzhou","02_china.txt","h_china > e_zhongyuan > k_daibei > d_xinan > c_shengzhou > b_shengzhou_yulin","1"
"b_guangshan","b","h_china > k_huainan > d_huaixi","h_china","k_huainan","d_huaixi","c_guangzhou","02_china.txt","h_china > e_jingyang > k_huainan > d_huaixi > c_guangzhou > b_guangshan","1"
"b_tunmen","b","h_china > k_lingnan > d_huixun","h_china","k_lingnan","d_huixun","c_dongguan","02_china.txt","h_china > e_lingnan > k_lingnan > d_huixun > c_dongguan > b_tunmen","1"
"b_thuong_nguyen","b","h_china > k_viet > d_hai_dong","h_china","k_viet","d_hai_dong","c_binh_nguyen","02_china.txt","h_china > e_lingnan > k_viet > d_hai_dong > c_binh_nguyen > b_thuong_nguyen","1"
"b_shenqiu","b","h_china > k_henan > d_biansong","h_china","k_henan","d_biansong","c_yingzhou","02_china.txt","h_china > e_zhongyuan > k_henan > d_biansong > c_yingzhou > b_shenqiu","1"
"c_tongchuan","c","h_china > k_dongchuan > d_dongchuan","h_china","k_dongchuan","d_dongchuan","c_tongchuan","02_china.txt","h_china > e_liangyi > k_dongchuan > d_dongchuan > c_tongchuan","4"
"b_daning","b","h_china > k_hedong > d_hezhong","h_china","k_hedong","d_hezhong","c_xizhou","02_china.txt","h_china > e_zhongyuan > k_hedong > d_hezhong > c_xizhou > b_daning","1"
"b_dumeng","b","h_china > k_lingxi > d_guiguan","h_china","k_lingxi","d_guiguan","c_qingyuan","02_china.txt","h_china > e_lingnan > k_lingxi > d_guiguan > c_qingyuan > b_dumeng","1"
"b_fuli","b","h_china > k_qingxu > d_xusi","h_china","k_qingxu","d_xusi","c_suzhou","02_china.txt","h_china > e_zhongyuan > k_qingxu > d_xusi > c_suzhou > b_fuli","1"
"b_luoshui","b","h_china > k_lingnan > d_lingnan","h_china","k_lingnan","d_lingnan","c_chunzhou","02_china.txt","h_china > e_lingnan > k_lingnan > d_lingnan > c_chunzhou > b_luoshui","1"
"c_guizhou_2","c","h_china > k_youji > d_youzhou","h_china","k_youji","d_youzhou","c_guizhou_2","02_china.txt","h_china > e_zhongyuan > k_youji > d_youzhou > c_guizhou_2","2"
"c_sizhou_2","c","h_china > k_qingxu > d_xusi","h_china","k_qingxu","d_xusi","c_sizhou_2","02_china.txt","h_china > e_zhongyuan > k_qingxu > d_xusi > c_sizhou_2","3"
"b_jincheng_1","b","h_china > k_hexi > d_longyou","h_china","k_hexi","d_longyou","c_lanzhou_1","02_china.txt","h_china > e_yongliang > k_hexi > d_longyou > c_lanzhou_1 > b_jincheng_1","1"
"d_hezhong","d","h_china > k_hedong > d_hezhong","h_china","k_hedong","d_hezhong","","02_china.txt","h_china > e_zhongyuan > k_hedong > d_hezhong","17"
"b_tongyi","b","h_china > k_xichuan > d_qiongnan","h_china","k_xichuan","d_qiongnan","c_meizhou","02_china.txt","h_china > e_liangyi > k_xichuan > d_qiongnan > c_meizhou > b_tongyi","1"
"b_tancheng","b","h_china > k_qingxu > d_xusi","h_china","k_qingxu","d_xusi","c_huaiyang","02_china.txt","h_china > e_zhongyuan > k_qingxu > d_xusi > c_huaiyang > b_tancheng","1"
"b_zunhua","b","h_china > k_youji > d_youzhou","h_china","k_youji","d_youzhou","c_jizhou_1","02_china.txt","h_china > e_zhongyuan > k_youji > d_youzhou > c_jizhou_1 > b_zunhua","1"
"c_laizhou","c","h_china > k_qingxu > d_ziqing","h_china","k_qingxu","d_ziqing","c_laizhou","02_china.txt","h_china > e_zhongyuan > k_qingxu > d_ziqing > c_laizhou","4"
"b_pengchi","b","h_china > k_xingyuan > d_lilang","h_china","k_xingyuan","d_lilang","c_pengzhou_2","02_china.txt","h_china > e_liangyi > k_xingyuan > d_lilang > c_pengzhou_2 > b_pengchi","1"
"b_guangji","b","h_china > k_shannan > d_eyue","h_china","k_shannan","d_eyue","c_qizhou_1","02_china.txt","h_china > e_jingyang > k_shannan > d_eyue > c_qizhou_1 > b_guangji","1"
"b_changxi","b","h_china > k_fujian > d_weiwu","h_china","k_fujian","d_weiwu","c_funing","02_china.txt","h_china > e_jingyang > k_fujian > d_weiwu > c_funing > b_changxi","1"
"b_semnyi","b","h_china > k_hexi > d_qilian","h_china","k_hexi","d_qilian","c_qilin","02_china.txt","h_china > e_yongliang > k_hexi > d_qilian > c_qilin > b_semnyi","0"
"b_huairen_2","b","h_china > k_daibei > d_yunshuo","h_china","k_daibei","d_yunshuo","c_datong_2","02_china.txt","h_china > e_zhongyuan > k_daibei > d_yunshuo > c_datong_2 > b_huairen_2","1"
"b_tongchuan","b","h_china > k_guannei > d_binning","h_china","k_guannei","d_binning","c_qingyang","02_china.txt","h_china > e_yongliang > k_guannei > d_binning > c_qingyang > b_tongchuan","1"
"b_liuhe","b","h_china > k_huainan > d_huainan","h_china","k_huainan","d_huainan","c_yangzhou","02_china.txt","h_china > e_jingyang > k_huainan > d_huainan > c_yangzhou > b_liuhe","1"
"c_suizhou_1","c","h_china > k_shannan > d_xiangdeng","h_china","k_shannan","d_xiangdeng","c_suizhou_1","02_china.txt","h_china > e_jingyang > k_shannan > d_xiangdeng > c_suizhou_1","4"
"b_songkou","b","h_china > k_lingnan > d_huixun","h_china","k_lingnan","d_huixun","c_meizhou_1","02_china.txt","h_china > e_lingnan > k_lingnan > d_huixun > c_meizhou_1 > b_songkou","1"
"b_nanchong","b","h_china > k_xingyuan > d_lilang","h_china","k_xingyuan","d_lilang","c_guozhou_1","02_china.txt","h_china > e_liangyi > k_xingyuan > d_lilang > c_guozhou_1 > b_nanchong","1"
"b_yucheng","b","h_china > k_henan > d_biansong","h_china","k_henan","d_biansong","c_songzhou","02_china.txt","h_china > e_zhongyuan > k_henan > d_biansong > c_songzhou > b_yucheng","1"
"b_jincheng","b","h_china > k_daibei > d_yunshuo","h_china","k_daibei","d_yunshuo","c_yingzhou_5","02_china.txt","h_china > e_zhongyuan > k_daibei > d_yunshuo > c_yingzhou_5 > b_jincheng","1"
"c_yongzhou","c","h_china > k_hunan > d_lingling","h_china","k_hunan","d_lingling","c_yongzhou","02_china.txt","h_china > e_jingyang > k_hunan > d_lingling > c_yongzhou","3"
"c_huaining","c","h_china > k_henan > d_chenxu","h_china","k_henan","d_chenxu","c_huaining","02_china.txt","h_china > e_zhongyuan > k_henan > d_chenxu > c_huaining","3"
"c_pengzhou_2","c","h_china > k_xingyuan > d_lilang","h_china","k_xingyuan","d_lilang","c_pengzhou_2","02_china.txt","h_china > e_liangyi > k_xingyuan > d_lilang > c_pengzhou_2","2"
"c_lanzhou","c","h_china > k_hedong > d_hedong","h_china","k_hedong","d_hedong","c_lanzhou","02_china.txt","h_china > e_zhongyuan > k_hedong > d_hedong > c_lanzhou","4"
"b_zhuti","b","h_china > k_qianzhong > d_shimen","h_china","k_qianzhong","d_shimen","c_quzhou_1","02_china.txt","h_china > e_liangyi > k_qianzhong > d_shimen > c_quzhou_1 > b_zhuti","1"
"b_yongxing","b","h_china > k_daibei > d_sanggan","h_china","k_daibei","d_sanggan","c_yongxing","02_china.txt","h_china > e_zhongyuan > k_daibei > d_sanggan > c_yongxing > b_yongxing","1"
"c_zhanyin","c","h_china > k_hexi > d_hexi","h_china","k_hexi","d_hexi","c_zhanyin","02_china.txt","h_china > e_yongliang > k_hexi > d_hexi > c_zhanyin","3"
"c_jingzhao","c","h_china > k_guannei > d_yongxing","h_china","k_guannei","d_yongxing","c_jingzhao","02_china.txt","h_china > e_yongliang > k_guannei > d_yongxing > c_jingzhao","5"
"b_xiangyin","b","h_china > k_shannan > d_eyue","h_china","k_shannan","d_eyue","c_yuezhou_1","02_china.txt","h_china > e_jingyang > k_shannan > d_eyue > c_yuezhou_1 > b_xiangyin","1"
"b_songwai","b","h_china > k_dali > d_jianchuan","h_china","k_dali","d_jianchuan","c_chengji","02_china.txt","h_china > e_liangyi > k_dali > d_jianchuan > c_chengji > b_songwai","1"
"c_quanzhou","c","h_china > k_fujian > d_pinghai","h_china","k_fujian","d_pinghai","c_quanzhou","02_china.txt","h_china > e_jingyang > k_fujian > d_pinghai > c_quanzhou","4"
"b_teng","b","h_china > k_qingxu > d_xusi","h_china","k_qingxu","d_xusi","c_xuzhou_1","02_china.txt","h_china > e_zhongyuan > k_qingxu > d_xusi > c_xuzhou_1 > b_teng","1"
"b_rongcheng_1","b","h_china > k_lingxi > d_rongguan","h_china","k_lingxi","d_rongguan","c_tengzhou","02_china.txt","h_china > e_lingnan > k_lingxi > d_rongguan > c_tengzhou > b_rongcheng_1","1"
"b_humu","b","h_china > k_qianzhong > d_shimen","h_china","k_qianzhong","d_shimen","c_jingzhou_2","02_china.txt","h_china > e_liangyi > k_qianzhong > d_shimen > c_jingzhou_2 > b_humu","1"
"b_fanyang","b","h_china > k_youji > d_youzhou","h_china","k_youji","d_youzhou","c_zhuozhou","02_china.txt","h_china > e_zhongyuan > k_youji > d_youzhou > c_zhuozhou > b_fanyang","1"
"c_quanzhou_2","c","h_china > k_hunan > d_lingling","h_china","k_hunan","d_lingling","c_quanzhou_2","02_china.txt","h_china > e_jingyang > k_hunan > d_lingling > c_quanzhou_2","3"
"b_ganquan","b","h_china > k_hexi > d_guasha","h_china","k_hexi","d_guasha","c_ziting","02_china.txt","h_china > e_yongliang > k_hexi > d_guasha > c_ziting > b_ganquan","0"
"k_hexi","k","h_china > k_hexi","h_china","k_hexi","","","02_china.txt","h_china > e_yongliang > k_hexi","10"
"b_muyuan","b","h_china > k_qianzhong > d_shimen","h_china","k_qianzhong","d_shimen","c_yinzhou_1","02_china.txt","h_china > e_liangyi > k_qianzhong > d_shimen > c_yinzhou_1 > b_muyuan","1"
"b_chengji_1","b","h_china > k_dali > d_jianchuan","h_china","k_dali","d_jianchuan","c_chengji","02_china.txt","h_china > e_liangyi > k_dali > d_jianchuan > c_chengji > b_chengji_1","1"
"b_zhijiang","b","h_china > k_shannan > d_jingnan","h_china","k_shannan","d_jingnan","c_jiangling","02_china.txt","h_china > e_jingyang > k_shannan > d_jingnan > c_jiangling > b_zhijiang","1"
"b_hukou","b","h_china > k_jiangxi > d_dingjiang","h_china","k_jiangxi","d_dingjiang","c_nankang","02_china.txt","h_china > e_jingyang > k_jiangxi > d_dingjiang > c_nankang > b_hukou","1"
"b_jiande","b","h_china > k_liangzhe > d_zhexi","h_china","k_liangzhe","d_zhexi","c_muzhou","02_china.txt","h_china > e_jingyang > k_liangzhe > d_zhexi > c_muzhou > b_jiande","1"
"c_qingzhou","c","h_china > k_qingxu > d_ziqing","h_china","k_qingxu","d_ziqing","c_qingzhou","02_china.txt","h_china > e_zhongyuan > k_qingxu > d_ziqing > c_qingzhou","4"
"b_tongcheng","b","h_china > k_huainan > d_huaixi","h_china","k_huainan","d_huaixi","c_shuzhou","02_china.txt","h_china > e_jingyang > k_huainan > d_huaixi > c_shuzhou > b_tongcheng","1"
"c_chuzhou_2","c","h_china > k_huainan > d_huainan","h_china","k_huainan","d_huainan","c_chuzhou_2","02_china.txt","h_china > e_jingyang > k_huainan > d_huainan > c_chuzhou_2","3"
"b_linfen","b","h_china > k_hedong > d_hezhong","h_china","k_hedong","d_hezhong","c_pingyang","02_china.txt","h_china > e_zhongyuan > k_hedong > d_hezhong > c_pingyang > b_linfen","1"
"b_zhanyin","b","h_china > k_hexi > d_hexi","h_china","k_hexi","d_hexi","c_zhanyin","02_china.txt","h_china > e_yongliang > k_hexi > d_hexi > c_zhanyin > b_zhanyin","1"
"b_huang","b","h_china > k_qingxu > d_ziqing","h_china","k_qingxu","d_ziqing","c_dengzhou","02_china.txt","h_china > e_zhongyuan > k_qingxu > d_ziqing > c_dengzhou > b_huang","1"
"b_kuaiji","b","h_china > k_liangzhe > d_zhedong","h_china","k_liangzhe","d_zhedong","c_yuezhou","02_china.txt","h_china > e_jingyang > k_liangzhe > d_zhedong > c_yuezhou > b_kuaiji","1"
"b_shen","b","h_china > k_huainan > d_huaixi","h_china","k_huainan","d_huaixi","c_lujiang","02_china.txt","h_china > e_jingyang > k_huainan > d_huaixi > c_lujiang > b_shen","1"
"c_zezhou","c","h_china > k_hedong > d_zelu","h_china","k_hedong","d_zelu","c_zezhou","02_china.txt","h_china > e_zhongyuan > k_hedong > d_zelu > c_zezhou","3"
"b_huojing","b","h_china > k_xichuan > d_qiongnan","h_china","k_xichuan","d_qiongnan","c_qiongzhou","02_china.txt","h_china > e_liangyi > k_xichuan > d_qiongnan > c_qiongzhou > b_huojing","1"
"c_xiaoguan","c","h_china > k_guannei > d_jingyuan","h_china","k_guannei","d_jingyuan","c_xiaoguan","02_china.txt","h_china > e_yongliang > k_guannei > d_jingyuan > c_xiaoguan","2"
