"source_title_id","source_tier","canonical_title_id","canonical_tier","canonical_namespace","cluster_key","relation_type","rewrite_allowed","source_root_title","source_kingdom","source_duchy","source_county","source_file","source_title_path","status","notes","auto_candidate_title_id","auto_candidate_tier","auto_match_method","auto_source_province_count","auto_expected_source_province_count","auto_candidate_province_count","auto_overlap_count","auto_source_coverage","auto_candidate_coverage"
"e_amur","e","e_amur","e","vanilla","e_amur","exact","yes","e_amur","","","","00_landed_titles.txt","e_amur","mapped","auto: vanilla_same_title_id","","","vanilla_same_title_id","130","1","","","",""
"k_amur","k","k_amur","k","mod","e_amur > k_amur","contextual","yes","e_amur","k_amur","","","00_landed_titles.txt","e_amur > k_amur","mapped","auto: mod_context_name_family_context","k_amur","k","mod_context_name_family_context","65","1","65","1","1,000000","0,015385"
"k_aynumosir","k","k_aynumosir","k","vanilla","e_amur > k_aynumosir","exact","yes","e_amur","k_aynumosir","","","00_landed_titles.txt","e_amur > k_aynumosir","mapped","auto: vanilla_same_title_id","","","vanilla_same_title_id","38","0","","","",""
"k_hitakami","k","k_hitakami","k","mod","e_amur > k_hitakami","contextual","yes","e_amur","k_hitakami","","","00_landed_titles.txt","e_amur > k_hitakami","mapped","auto: mod_context_name_family_context","k_hitakami","k","mod_context_name_family_context","27","0","31","0","0,000000","0,000000"
"d_eman_amar","d","d_eman_amar","d","mod","e_amur > k_amur > d_eman_amar","contextual","yes","e_amur","k_amur","d_eman_amar","","00_landed_titles.txt","e_amur > k_amur > d_eman_amar","mapped","auto: mod_context_name_family_context","d_eman_amar","d","mod_context_name_family_context","12","0","12","0","0,000000","0,000000"
"d_eman_boli","d","d_eman_boli","d","mod","e_amur > k_amur > d_eman_boli","contextual","yes","e_amur","k_amur","d_eman_boli","","00_landed_titles.txt","e_amur > k_amur > d_eman_boli","mapped","auto: mod_context_name_family_context","d_eman_boli","d","mod_context_name_family_context","14","0","14","0","0,000000","0,000000"
"d_eman_bureya","d","d_eman_bureya","d","vanilla","e_amur > k_amur > d_eman_bureya","exact","yes","e_amur","k_amur","d_eman_bureya","","00_landed_titles.txt","e_amur > k_amur > d_eman_bureya","mapped","auto: vanilla_same_title_id","d_eman_bureya","d","vanilla_same_title_id","7","1","7","0","0,000000","0,000000"
"d_eman_nivkhia","d","d_eman_nivkhia","d","mod","e_amur > k_amur > d_eman_nivkhia","contextual","yes","e_amur","k_amur","d_eman_nivkhia","","00_landed_titles.txt","e_amur > k_amur > d_eman_nivkhia","mapped","auto: mod_context_name_family_context","d_eman_nivkhia","d","mod_context_name_family_context","10","0","10","0","0,000000","0,000000"
"d_eman_samagero","d","d_eman_samagero","d","mod","e_amur > k_amur > d_eman_samagero","contextual","yes","e_amur","k_amur","d_eman_samagero","","00_landed_titles.txt","e_amur > k_amur > d_eman_samagero","mapped","auto: mod_context_name_family_context","d_eman_samagero","d","mod_context_name_family_context","11","0","11","0","0,000000","0,000000"
"d_eman_sikhotebei","d","d_eman_sikhotebei","d","mod","e_amur > k_amur > d_eman_sikhotebei","contextual","yes","e_amur","k_amur","d_eman_sikhotebei","","00_landed_titles.txt","e_amur > k_amur > d_eman_sikhotebei","mapped","auto: mod_context_name_family_context","d_eman_sikhotebei","d","mod_context_name_family_context","11","0","11","0","0,000000","0,000000"
